Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Haar-Eglfing Q 11"
Messstellen-Nr.:;16005
Ostwert:;704195;Nordwert:;5332811;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2008-02-11;524,86;Rohdaten
2008-02-12;524,86;Rohdaten
2008-02-13;524,85;Rohdaten
2008-02-14;524,85;Rohdaten
2008-02-15;524,85;Rohdaten
2008-02-16;524,85;Rohdaten
2008-02-17;524,85;Rohdaten
2008-02-18;524,84;Rohdaten
2008-02-19;524,84;Rohdaten
2008-02-20;524,84;Rohdaten
2008-02-21;524,84;Rohdaten
2008-02-22;524,83;Rohdaten
2008-02-23;524,83;Rohdaten
2008-02-24;524,83;Rohdaten
2008-02-25;524,83;Rohdaten
2008-02-26;524,82;Rohdaten
2008-02-27;524,82;Rohdaten
2008-02-28;524,82;Rohdaten
2008-02-29;524,82;Rohdaten
2008-03-01;524,81;Rohdaten
2008-03-02;524,81;Rohdaten
2008-03-03;524,81;Rohdaten
2008-03-04;524,81;Rohdaten
2008-03-05;524,80;Rohdaten
2008-03-06;524,80;Rohdaten
2008-03-07;524,80;Rohdaten
2008-03-08;524,80;Rohdaten
2008-03-09;524,80;Rohdaten
2008-03-10;524,79;Rohdaten
2008-03-11;524,79;Rohdaten
2008-03-12;524,79;Rohdaten
2008-03-13;524,78;Rohdaten
2008-03-14;524,78;Rohdaten
2008-03-15;524,78;Rohdaten
2008-03-16;524,79;Rohdaten
2008-03-17;524,78;Rohdaten
2008-03-18;524,78;Rohdaten
2008-03-19;524,78;Rohdaten
2008-03-20;524,78;Rohdaten
2008-03-21;524,78;Rohdaten
2008-03-22;524,78;Rohdaten
2008-03-23;524,78;Rohdaten
2008-03-24;524,78;Rohdaten
2008-03-25;524,78;Rohdaten
2008-03-26;524,78;Rohdaten
2008-03-27;524,78;Rohdaten
2008-03-28;524,78;Rohdaten
2008-03-29;524,77;Rohdaten
2008-03-30;524,77;Rohdaten
2008-03-31;524,77;Rohdaten
