Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"LOHHOF 275A"
Messstellen-Nr.:;16118
Ostwert:;691149;Nordwert:;5351053;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;467,66;Rohdaten
2023-01-02;467,66;Rohdaten
2023-01-03;467,66;Rohdaten
2023-01-04;467,65;Rohdaten
2023-01-05;467,66;Rohdaten
2023-01-06;467,67;Rohdaten
2023-01-07;467,67;Rohdaten
2023-01-08;467,67;Rohdaten
2023-01-09;467,66;Rohdaten
2023-01-10;467,66;Rohdaten
2023-01-11;467,67;Rohdaten
2023-01-12;467,67;Rohdaten
2023-01-13;467,67;Rohdaten
2023-01-14;467,67;Rohdaten
2023-01-15;467,67;Rohdaten
2023-01-16;467,67;Rohdaten
2023-01-17;467,67;Rohdaten
2023-01-18;467,67;Rohdaten
2023-01-19;467,67;Rohdaten
2023-01-20;467,67;Rohdaten
2023-01-21;467,67;Rohdaten
2023-01-22;467,67;Rohdaten
2023-01-23;467,67;Rohdaten
2023-01-24;467,67;Rohdaten
2023-01-25;467,67;Rohdaten
2023-01-26;467,67;Rohdaten
2023-01-27;467,67;Rohdaten
2023-01-28;467,67;Rohdaten
2023-01-29;467,67;Rohdaten
2023-01-30;467,66;Rohdaten
2023-01-31;467,66;Rohdaten
2023-02-01;467,66;Rohdaten
2023-02-02;467,66;Rohdaten
2023-02-03;467,67;Rohdaten
2023-02-04;467,68;Rohdaten
2023-02-05;467,67;Rohdaten
2023-02-06;467,67;Rohdaten
2023-02-07;467,67;Rohdaten
2023-02-08;467,67;Rohdaten
2023-02-09;467,67;Rohdaten
2023-02-10;467,67;Rohdaten
2023-02-11;467,67;Rohdaten
2023-02-12;467,66;Rohdaten
2023-02-13;467,66;Rohdaten
2023-02-14;467,66;Rohdaten
2023-02-15;467,66;Rohdaten
2023-02-16;467,65;Rohdaten
2023-02-17;467,65;Rohdaten
2023-02-18;467,65;Rohdaten
2023-02-19;467,65;Rohdaten
2023-02-20;467,65;Rohdaten
2023-02-21;467,64;Rohdaten
2023-02-22;467,64;Rohdaten
2023-02-23;467,64;Rohdaten
2023-02-24;467,64;Rohdaten
2023-02-25;467,66;Rohdaten
2023-02-26;467,66;Rohdaten
2023-02-27;467,66;Rohdaten
2023-02-28;467,66;Rohdaten
2023-03-01;467,65;Rohdaten
2023-03-02;467,65;Rohdaten
2023-03-03;467,64;Rohdaten
2023-03-04;467,64;Rohdaten
2023-03-05;467,64;Rohdaten
2023-03-06;467,63;Rohdaten
2023-03-07;467,63;Rohdaten
2023-03-08;467,62;Rohdaten
2023-03-09;467,63;Rohdaten
