Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"DORNACH 553"
Messstellen-Nr.:;16195
Ostwert:;700053;Nordwert:;5336952;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;511,95;Rohdaten
2023-11-02;511,95;Rohdaten
2023-11-03;511,97;Rohdaten
2023-11-04;511,97;Rohdaten
2023-11-05;511,96;Rohdaten
2023-11-06;511,96;Rohdaten
2023-11-07;511,95;Rohdaten
2023-11-08;511,95;Rohdaten
2023-11-09;511,95;Rohdaten
2023-11-10;511,94;Rohdaten
2023-11-11;511,94;Rohdaten
2023-11-12;511,93;Rohdaten
2023-11-13;511,97;Rohdaten
2023-11-14;511,99;Rohdaten
2023-11-15;512,04;Rohdaten
2023-11-16;512,08;Rohdaten
2023-11-17;512,16;Rohdaten
