Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"DORNACH 553"
Messstellen-Nr.:;16195
Ostwert:;700053;Nordwert:;5336952;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
1972-07-03;510,32;Rohdaten
1972-07-04;;Rohdaten
1972-07-05;;Rohdaten
1972-07-06;;Rohdaten
1972-07-07;;Rohdaten
1972-07-08;;Rohdaten
1972-07-09;;Rohdaten
1972-07-10;510,27;Rohdaten
1972-07-11;;Rohdaten
1972-07-12;;Rohdaten
1972-07-13;;Rohdaten
1972-07-14;;Rohdaten
1972-07-15;;Rohdaten
1972-07-16;;Rohdaten
1972-07-17;510,24;Rohdaten
1972-07-18;;Rohdaten
1972-07-19;;Rohdaten
1972-07-20;;Rohdaten
1972-07-21;;Rohdaten
1972-07-22;;Rohdaten
1972-07-23;;Rohdaten
1972-07-24;510,19;Rohdaten
1972-07-25;;Rohdaten
1972-07-26;;Rohdaten
1972-07-27;;Rohdaten
1972-07-28;;Rohdaten
1972-07-29;;Rohdaten
1972-07-30;;Rohdaten
1972-07-31;510,18;Rohdaten
1972-08-01;;Rohdaten
1972-08-02;;Rohdaten
1972-08-03;;Rohdaten
1972-08-04;;Rohdaten
1972-08-05;;Rohdaten
1972-08-06;;Rohdaten
1972-08-07;510,11;Rohdaten
1972-08-08;;Rohdaten
1972-08-09;;Rohdaten
1972-08-10;;Rohdaten
1972-08-11;;Rohdaten
1972-08-12;;Rohdaten
1972-08-13;;Rohdaten
1972-08-14;510,09;Rohdaten
1972-08-15;;Rohdaten
1972-08-16;;Rohdaten
1972-08-17;;Rohdaten
1972-08-18;;Rohdaten
1972-08-19;;Rohdaten
1972-08-20;;Rohdaten
1972-08-21;510,07;Rohdaten
1972-08-22;;Rohdaten
1972-08-23;;Rohdaten
1972-08-24;;Rohdaten
1972-08-25;;Rohdaten
1972-08-26;;Rohdaten
1972-08-27;;Rohdaten
1972-08-28;510,05;Rohdaten
1972-08-29;;Rohdaten
1972-08-30;;Rohdaten
1972-08-31;;Rohdaten
1972-09-01;;Rohdaten
1972-09-02;;Rohdaten
1972-09-03;;Rohdaten
1972-09-04;510,01;Rohdaten
1972-09-05;;Rohdaten
1972-09-06;;Rohdaten
1972-09-07;;Rohdaten
1972-09-08;;Rohdaten
1972-09-09;;Rohdaten
1972-09-10;;Rohdaten
1972-09-11;509,98;Rohdaten
1972-09-12;;Rohdaten
1972-09-13;;Rohdaten
1972-09-14;;Rohdaten
1972-09-15;;Rohdaten
1972-09-16;;Rohdaten
1972-09-17;;Rohdaten
1972-09-18;509,96;Rohdaten
1972-09-19;;Rohdaten
1972-09-20;;Rohdaten
1972-09-21;;Rohdaten
1972-09-22;;Rohdaten
1972-09-23;;Rohdaten
1972-09-24;;Rohdaten
1972-09-25;509,93;Rohdaten
1972-09-26;;Rohdaten
1972-09-27;;Rohdaten
1972-09-28;;Rohdaten
1972-09-29;;Rohdaten
1972-09-30;;Rohdaten
1972-10-01;;Rohdaten
1972-10-02;509,93;Rohdaten
1972-10-03;;Rohdaten
1972-10-04;;Rohdaten
1972-10-05;;Rohdaten
1972-10-06;;Rohdaten
1972-10-07;;Rohdaten
1972-10-08;;Rohdaten
1972-10-09;509,85;Rohdaten
1972-10-10;;Rohdaten
1972-10-11;;Rohdaten
1972-10-12;;Rohdaten
1972-10-13;;Rohdaten
1972-10-14;;Rohdaten
1972-10-15;;Rohdaten
1972-10-16;509,81;Rohdaten
1972-10-17;;Rohdaten
1972-10-18;;Rohdaten
1972-10-19;;Rohdaten
1972-10-20;;Rohdaten
1972-10-21;;Rohdaten
1972-10-22;;Rohdaten
1972-10-23;509,76;Rohdaten
1972-10-24;;Rohdaten
1972-10-25;;Rohdaten
1972-10-26;;Rohdaten
1972-10-27;;Rohdaten
1972-10-28;;Rohdaten
1972-10-29;;Rohdaten
1972-10-30;509,73;Rohdaten
1972-10-31;;Rohdaten
1972-11-01;;Rohdaten
1972-11-02;;Rohdaten
1972-11-03;;Rohdaten
1972-11-04;;Rohdaten
1972-11-05;;Rohdaten
1972-11-06;509,69;Rohdaten
1972-11-07;;Rohdaten
1972-11-08;;Rohdaten
1972-11-09;;Rohdaten
1972-11-10;;Rohdaten
1972-11-11;;Rohdaten
1972-11-12;;Rohdaten
1972-11-13;509,67;Rohdaten
1972-11-14;;Rohdaten
1972-11-15;;Rohdaten
1972-11-16;;Rohdaten
1972-11-17;;Rohdaten
1972-11-18;;Rohdaten
1972-11-19;;Rohdaten
1972-11-20;509,86;Rohdaten
1972-11-21;;Rohdaten
1972-11-22;;Rohdaten
1972-11-23;;Rohdaten
1972-11-24;;Rohdaten
1972-11-25;;Rohdaten
1972-11-26;;Rohdaten
1972-11-27;510,15;Rohdaten
1972-11-28;;Rohdaten
1972-11-29;;Rohdaten
1972-11-30;;Rohdaten
1972-12-01;;Rohdaten
1972-12-02;;Rohdaten
1972-12-03;;Rohdaten
1972-12-04;510,29;Rohdaten
1972-12-05;;Rohdaten
1972-12-06;;Rohdaten
1972-12-07;;Rohdaten
1972-12-08;;Rohdaten
1972-12-09;;Rohdaten
1972-12-10;;Rohdaten
1972-12-11;510,31;Rohdaten
1972-12-12;;Rohdaten
1972-12-13;;Rohdaten
1972-12-14;;Rohdaten
1972-12-15;;Rohdaten
1972-12-16;;Rohdaten
1972-12-17;;Rohdaten
1972-12-18;510,27;Rohdaten
1972-12-19;;Rohdaten
1972-12-20;;Rohdaten
1972-12-21;;Rohdaten
1972-12-22;;Rohdaten
1972-12-23;;Rohdaten
1972-12-24;;Rohdaten
1972-12-25;510,21;Rohdaten
1972-12-26;;Rohdaten
1972-12-27;;Rohdaten
1972-12-28;;Rohdaten
1972-12-29;;Rohdaten
1972-12-30;;Rohdaten
1972-12-31;;Rohdaten
1973-01-01;510,13;Rohdaten
1973-01-02;;Rohdaten
1973-01-03;;Rohdaten
1973-01-04;;Rohdaten
1973-01-05;;Rohdaten
1973-01-06;;Rohdaten
1973-01-07;;Rohdaten
1973-01-08;510,06;Rohdaten
1973-01-09;;Rohdaten
1973-01-10;;Rohdaten
1973-01-11;;Rohdaten
1973-01-12;;Rohdaten
1973-01-13;;Rohdaten
1973-01-14;;Rohdaten
1973-01-15;510,01;Rohdaten
1973-01-16;;Rohdaten
1973-01-17;;Rohdaten
1973-01-18;;Rohdaten
1973-01-19;;Rohdaten
1973-01-20;;Rohdaten
1973-01-21;;Rohdaten
1973-01-22;509,97;Rohdaten
1973-01-23;;Rohdaten
1973-01-24;;Rohdaten
1973-01-25;;Rohdaten
1973-01-26;;Rohdaten
1973-01-27;;Rohdaten
1973-01-28;;Rohdaten
1973-01-29;509,92;Rohdaten
1973-01-30;;Rohdaten
1973-01-31;;Rohdaten
1973-02-01;;Rohdaten
1973-02-02;;Rohdaten
1973-02-03;;Rohdaten
1973-02-04;;Rohdaten
1973-02-05;509,91;Rohdaten
1973-02-06;;Rohdaten
1973-02-07;;Rohdaten
1973-02-08;;Rohdaten
1973-02-09;;Rohdaten
1973-02-10;;Rohdaten
1973-02-11;;Rohdaten
1973-02-12;509,87;Rohdaten
1973-02-13;;Rohdaten
1973-02-14;;Rohdaten
1973-02-15;;Rohdaten
1973-02-16;;Rohdaten
1973-02-17;;Rohdaten
1973-02-18;;Rohdaten
1973-02-19;509,81;Rohdaten
1973-02-20;;Rohdaten
1973-02-21;;Rohdaten
1973-02-22;;Rohdaten
1973-02-23;;Rohdaten
1973-02-24;;Rohdaten
1973-02-25;;Rohdaten
1973-02-26;509,78;Rohdaten
1973-02-27;;Rohdaten
1973-02-28;;Rohdaten
1973-03-01;;Rohdaten
1973-03-02;;Rohdaten
1973-03-03;;Rohdaten
1973-03-04;;Rohdaten
1973-03-05;509,76;Rohdaten
1973-03-06;;Rohdaten
1973-03-07;;Rohdaten
1973-03-08;;Rohdaten
1973-03-09;;Rohdaten
1973-03-10;;Rohdaten
1973-03-11;;Rohdaten
1973-03-12;509,81;Rohdaten
1973-03-13;;Rohdaten
1973-03-14;;Rohdaten
1973-03-15;;Rohdaten
1973-03-16;;Rohdaten
1973-03-17;;Rohdaten
1973-03-18;;Rohdaten
1973-03-19;509,93;Rohdaten
1973-03-20;;Rohdaten
1973-03-21;;Rohdaten
1973-03-22;;Rohdaten
1973-03-23;;Rohdaten
1973-03-24;;Rohdaten
1973-03-25;;Rohdaten
1973-03-26;509,95;Rohdaten
1973-03-27;;Rohdaten
1973-03-28;;Rohdaten
1973-03-29;;Rohdaten
1973-03-30;;Rohdaten
1973-03-31;;Rohdaten
1973-04-01;;Rohdaten
1973-04-02;509,93;Rohdaten
1973-04-03;;Rohdaten
1973-04-04;;Rohdaten
1973-04-05;;Rohdaten
1973-04-06;;Rohdaten
1973-04-07;;Rohdaten
1973-04-08;;Rohdaten
1973-04-09;509,87;Rohdaten
1973-04-10;;Rohdaten
1973-04-11;;Rohdaten
1973-04-12;;Rohdaten
1973-04-13;;Rohdaten
1973-04-14;;Rohdaten
1973-04-15;;Rohdaten
1973-04-16;509,83;Rohdaten
1973-04-17;;Rohdaten
1973-04-18;;Rohdaten
1973-04-19;;Rohdaten
1973-04-20;;Rohdaten
1973-04-21;;Rohdaten
1973-04-22;;Rohdaten
1973-04-23;509,81;Rohdaten
1973-04-24;;Rohdaten
1973-04-25;;Rohdaten
1973-04-26;;Rohdaten
1973-04-27;;Rohdaten
1973-04-28;;Rohdaten
1973-04-29;;Rohdaten
1973-04-30;509,89;Rohdaten
1973-05-01;;Rohdaten
1973-05-02;;Rohdaten
1973-05-03;;Rohdaten
1973-05-04;;Rohdaten
1973-05-05;;Rohdaten
1973-05-06;;Rohdaten
1973-05-07;509,97;Rohdaten
1973-05-08;;Rohdaten
1973-05-09;;Rohdaten
1973-05-10;;Rohdaten
1973-05-11;;Rohdaten
1973-05-12;;Rohdaten
1973-05-13;;Rohdaten
1973-05-14;510,01;Rohdaten
1973-05-15;;Rohdaten
1973-05-16;;Rohdaten
1973-05-17;;Rohdaten
1973-05-18;;Rohdaten
1973-05-19;;Rohdaten
1973-05-20;;Rohdaten
1973-05-21;510,01;Rohdaten
1973-05-22;;Rohdaten
1973-05-23;;Rohdaten
1973-05-24;;Rohdaten
1973-05-25;;Rohdaten
1973-05-26;;Rohdaten
1973-05-27;;Rohdaten
1973-05-28;510,01;Rohdaten
1973-05-29;;Rohdaten
1973-05-30;;Rohdaten
1973-05-31;;Rohdaten
1973-06-01;;Rohdaten
1973-06-02;;Rohdaten
1973-06-03;;Rohdaten
1973-06-04;510,01;Rohdaten
1973-06-05;;Rohdaten
1973-06-06;;Rohdaten
1973-06-07;;Rohdaten
1973-06-08;;Rohdaten
1973-06-09;;Rohdaten
1973-06-10;;Rohdaten
1973-06-11;510,01;Rohdaten
1973-06-12;;Rohdaten
1973-06-13;;Rohdaten
1973-06-14;;Rohdaten
1973-06-15;;Rohdaten
1973-06-16;;Rohdaten
1973-06-17;;Rohdaten
1973-06-18;509,97;Rohdaten
1973-06-19;;Rohdaten
1973-06-20;;Rohdaten
1973-06-21;;Rohdaten
1973-06-22;;Rohdaten
1973-06-23;;Rohdaten
1973-06-24;;Rohdaten
1973-06-25;510,04;Rohdaten
1973-06-26;;Rohdaten
1973-06-27;;Rohdaten
1973-06-28;;Rohdaten
1973-06-29;;Rohdaten
1973-06-30;;Rohdaten
1973-07-01;;Rohdaten
1973-07-02;510,17;Rohdaten
1973-07-03;;Rohdaten
1973-07-04;;Rohdaten
1973-07-05;;Rohdaten
1973-07-06;;Rohdaten
1973-07-07;;Rohdaten
1973-07-08;;Rohdaten
1973-07-09;510,28;Rohdaten
1973-07-10;;Rohdaten
1973-07-11;;Rohdaten
1973-07-12;;Rohdaten
