Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"KIRCHHEIM I 554"
Messstellen-Nr.:;16196
Ostwert:;704345;Nordwert:;5339530;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;504,77;Rohdaten
2023-11-02;504,77;Rohdaten
2023-11-03;504,79;Rohdaten
2023-11-04;504,78;Rohdaten
2023-11-05;504,78;Rohdaten
2023-11-06;504,77;Rohdaten
2023-11-07;504,77;Rohdaten
2023-11-08;504,77;Rohdaten
2023-11-09;504,76;Rohdaten
2023-11-10;504,75;Rohdaten
2023-11-11;504,75;Rohdaten
2023-11-12;504,74;Rohdaten
2023-11-13;504,78;Rohdaten
2023-11-14;504,81;Rohdaten
2023-11-15;504,84;Rohdaten
2023-11-16;504,85;Rohdaten
2023-11-17;504,91;Rohdaten
