Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"KREUZSTR. OSCHLH.D 38"
Messstellen-Nr.:;16245
Ostwert:;692606;Nordwert:;5349002;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;469,84;Rohdaten
2023-11-02;469,83;Rohdaten
2023-11-03;469,83;Rohdaten
2023-11-04;469,83;Rohdaten
2023-11-05;469,82;Rohdaten
2023-11-06;469,82;Rohdaten
2023-11-07;469,81;Rohdaten
2023-11-08;469,81;Rohdaten
2023-11-09;469,80;Rohdaten
2023-11-10;469,80;Rohdaten
2023-11-11;469,79;Rohdaten
2023-11-12;469,79;Rohdaten
2023-11-13;469,79;Rohdaten
2023-11-14;469,80;Rohdaten
2023-11-15;469,80;Rohdaten
2023-11-16;469,80;Rohdaten
2023-11-17;469,81;Rohdaten
