Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"OBERHACHING D 62"
Messstellen-Nr.:;16262
Ostwert:;693836;Nordwert:;5322087;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;568,14;Rohdaten
2023-11-02;568,14;Rohdaten
2023-11-03;568,14;Rohdaten
2023-11-04;568,14;Rohdaten
2023-11-05;568,14;Rohdaten
2023-11-06;568,13;Rohdaten
2023-11-07;568,13;Rohdaten
2023-11-08;568,13;Rohdaten
2023-11-09;568,12;Rohdaten
2023-11-10;568,12;Rohdaten
2023-11-11;568,11;Rohdaten
2023-11-12;568,11;Rohdaten
2023-11-13;568,11;Rohdaten
2023-11-14;568,13;Rohdaten
2023-11-15;568,15;Rohdaten
2023-11-16;568,16;Rohdaten
2023-11-17;568,17;Rohdaten
