Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"PLANEGG D 82"
Messstellen-Nr.:;16267
Ostwert:;680462;Nordwert:;5330726;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;530,14;Rohdaten
2023-01-02;530,14;Rohdaten
2023-01-03;530,14;Rohdaten
2023-01-04;530,15;Rohdaten
2023-01-05;530,15;Rohdaten
2023-01-06;530,15;Rohdaten
2023-01-07;530,15;Rohdaten
2023-01-08;530,15;Rohdaten
2023-01-09;530,15;Rohdaten
2023-01-10;530,15;Rohdaten
2023-01-11;530,16;Rohdaten
2023-01-12;530,16;Rohdaten
2023-01-13;530,16;Rohdaten
2023-01-14;530,16;Rohdaten
2023-01-15;530,16;Rohdaten
2023-01-16;530,16;Rohdaten
2023-01-17;530,16;Rohdaten
2023-01-18;530,16;Rohdaten
2023-01-19;530,16;Rohdaten
2023-01-20;530,16;Rohdaten
2023-01-21;530,16;Rohdaten
2023-01-22;530,16;Rohdaten
2023-01-23;530,16;Rohdaten
2023-01-24;530,16;Rohdaten
2023-01-25;530,16;Rohdaten
2023-01-26;530,16;Rohdaten
2023-01-27;530,16;Rohdaten
2023-01-28;530,16;Rohdaten
2023-01-29;530,15;Rohdaten
2023-01-30;530,15;Rohdaten
2023-01-31;530,15;Rohdaten
2023-02-01;530,15;Rohdaten
2023-02-02;530,15;Rohdaten
2023-02-03;530,15;Rohdaten
2023-02-04;530,15;Rohdaten
2023-02-05;530,15;Rohdaten
2023-02-06;530,15;Rohdaten
2023-02-07;530,15;Rohdaten
2023-02-08;530,15;Rohdaten
2023-02-09;530,15;Rohdaten
2023-02-10;530,14;Rohdaten
2023-02-11;530,14;Rohdaten
2023-02-12;530,14;Rohdaten
2023-02-13;530,14;Rohdaten
2023-02-14;530,14;Rohdaten
2023-02-15;530,13;Rohdaten
2023-02-16;530,13;Rohdaten
2023-02-17;530,13;Rohdaten
2023-02-18;530,13;Rohdaten
2023-02-19;530,13;Rohdaten
2023-02-20;530,12;Rohdaten
2023-02-21;530,12;Rohdaten
2023-02-22;530,12;Rohdaten
2023-02-23;530,12;Rohdaten
2023-02-24;530,12;Rohdaten
2023-02-25;530,12;Rohdaten
2023-02-26;530,12;Rohdaten
2023-02-27;530,12;Rohdaten
2023-02-28;530,12;Rohdaten
2023-03-01;530,12;Rohdaten
2023-03-02;530,12;Rohdaten
2023-03-03;530,12;Rohdaten
2023-03-04;530,12;Rohdaten
2023-03-05;530,11;Rohdaten
2023-03-06;530,11;Rohdaten
2023-03-07;530,11;Rohdaten
2023-03-08;530,11;Rohdaten
2023-03-09;530,11;Rohdaten
2023-03-10;530,11;Rohdaten
2023-03-11;530,10;Rohdaten
2023-03-12;530,10;Rohdaten
2023-03-13;530,10;Rohdaten
2023-03-14;530,10;Rohdaten
2023-03-15;530,10;Rohdaten
2023-03-16;530,10;Rohdaten
2023-03-17;530,10;Rohdaten
2023-03-18;530,10;Rohdaten
2023-03-19;530,09;Rohdaten
2023-03-20;530,09;Rohdaten
2023-03-21;530,09;Rohdaten
2023-03-22;530,09;Rohdaten
2023-03-23;530,08;Rohdaten
2023-03-24;530,08;Rohdaten
2023-03-25;530,08;Rohdaten
2023-03-26;530,08;Rohdaten
2023-03-27;530,08;Rohdaten
2023-03-28;530,07;Rohdaten
2023-03-29;530,07;Rohdaten
2023-03-30;530,07;Rohdaten
2023-03-31;530,07;Rohdaten
2023-04-01;530,07;Rohdaten
2023-04-02;530,07;Rohdaten
2023-04-03;530,07;Rohdaten
2023-04-04;530,07;Rohdaten
2023-04-05;530,07;Rohdaten
2023-04-06;530,07;Rohdaten
2023-04-07;530,07;Rohdaten
2023-04-08;530,07;Rohdaten
2023-04-09;530,07;Rohdaten
2023-04-10;530,07;Rohdaten
2023-04-11;530,06;Rohdaten
2023-04-12;530,06;Rohdaten
2023-04-13;530,07;Rohdaten
2023-04-14;530,07;Rohdaten
2023-04-15;530,08;Rohdaten
2023-04-16;530,09;Rohdaten
2023-04-17;530,10;Rohdaten
2023-04-18;530,10;Rohdaten
2023-04-19;530,10;Rohdaten
2023-04-20;530,10;Rohdaten
2023-04-21;530,11;Rohdaten
2023-04-22;530,11;Rohdaten
2023-04-23;530,12;Rohdaten
2023-04-24;530,12;Rohdaten
2023-04-25;530,13;Rohdaten
2023-04-26;530,13;Rohdaten
2023-04-27;530,14;Rohdaten
2023-04-28;530,14;Rohdaten
2023-04-29;530,15;Rohdaten
2023-04-30;530,17;Rohdaten
2023-05-01;530,18;Rohdaten
2023-05-02;530,19;Rohdaten
2023-05-03;530,20;Rohdaten
2023-05-04;530,22;Rohdaten
2023-05-05;530,23;Rohdaten
2023-05-06;530,24;Rohdaten
2023-05-07;530,25;Rohdaten
2023-05-08;530,26;Rohdaten
2023-05-09;530,27;Rohdaten
2023-05-10;530,28;Rohdaten
2023-05-11;530,30;Rohdaten
2023-05-12;530,34;Rohdaten
2023-05-13;530,37;Rohdaten
2023-05-14;530,39;Rohdaten
2023-05-15;530,40;Rohdaten
2023-05-16;530,42;Rohdaten
2023-05-17;530,44;Rohdaten
2023-05-18;530,46;Rohdaten
2023-05-19;530,49;Rohdaten
2023-05-20;530,51;Rohdaten
2023-05-21;530,53;Rohdaten
2023-05-22;530,55;Rohdaten
2023-05-23;530,57;Rohdaten
2023-05-24;530,59;Rohdaten
2023-05-25;530,61;Rohdaten
2023-05-26;530,63;Rohdaten
