Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;OBERSCHLEISSHEIM
Messstellen-Nr.:;16269
Ostwert:;689543;Nordwert:;5347649;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;476,18;Rohdaten
2023-11-02;476,18;Rohdaten
2023-11-03;476,20;Rohdaten
2023-11-04;476,20;Rohdaten
2023-11-05;476,19;Rohdaten
2023-11-06;476,18;Rohdaten
2023-11-07;476,17;Rohdaten
2023-11-08;476,17;Rohdaten
2023-11-09;476,16;Rohdaten
2023-11-10;476,16;Rohdaten
2023-11-11;476,16;Rohdaten
2023-11-12;476,15;Rohdaten
2023-11-13;476,18;Rohdaten
2023-11-14;476,20;Rohdaten
2023-11-15;476,22;Rohdaten
2023-11-16;476,22;Rohdaten
2023-11-17;476,27;Rohdaten
