Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;UNTERSCHLEISSHEIM/RATH
Messstellen-Nr.:;16272
Ostwert:;690731;Nordwert:;5349729;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;470,56;Rohdaten
2023-11-02;470,56;Rohdaten
2023-11-03;470,58;Rohdaten
2023-11-04;470,57;Rohdaten
2023-11-05;470,57;Rohdaten
2023-11-06;470,56;Rohdaten
2023-11-07;470,55;Rohdaten
2023-11-08;470,55;Rohdaten
2023-11-09;470,54;Rohdaten
2023-11-10;470,54;Rohdaten
2023-11-11;470,53;Rohdaten
2023-11-12;470,53;Rohdaten
2023-11-13;470,55;Rohdaten
2023-11-14;470,57;Rohdaten
2023-11-15;470,58;Rohdaten
2023-11-16;470,58;Rohdaten
2023-11-17;470,66;Rohdaten
