Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Hochmutting Süd"
Messstellen-Nr.:;16273
Ostwert:;691890;Nordwert:;5345057;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;482,44;Rohdaten
2023-01-02;482,45;Rohdaten
2023-01-03;482,47;Rohdaten
2023-01-04;482,48;Rohdaten
2023-01-05;482,49;Rohdaten
2023-01-06;482,50;Rohdaten
2023-01-07;482,51;Rohdaten
2023-01-08;482,53;Rohdaten
2023-01-09;482,53;Rohdaten
2023-01-10;482,54;Rohdaten
2023-01-11;482,54;Rohdaten
2023-01-12;482,55;Rohdaten
2023-01-13;482,55;Rohdaten
2023-01-14;482,56;Rohdaten
2023-01-15;482,56;Rohdaten
2023-01-16;482,56;Rohdaten
2023-01-17;482,56;Rohdaten
2023-01-18;482,56;Rohdaten
2023-01-19;482,55;Rohdaten
2023-01-20;482,55;Rohdaten
2023-01-21;482,55;Rohdaten
2023-01-22;482,55;Rohdaten
2023-01-23;482,54;Rohdaten
2023-01-24;482,54;Rohdaten
2023-01-25;482,54;Rohdaten
2023-01-26;482,53;Rohdaten
2023-01-27;482,53;Rohdaten
2023-01-28;482,53;Rohdaten
2023-01-29;482,52;Rohdaten
2023-01-30;482,51;Rohdaten
2023-01-31;482,51;Rohdaten
2023-02-01;482,50;Rohdaten
2023-02-02;482,50;Rohdaten
2023-02-03;482,49;Rohdaten
2023-02-04;482,48;Rohdaten
2023-02-05;482,48;Rohdaten
2023-02-06;482,47;Rohdaten
2023-02-07;482,46;Rohdaten
2023-02-08;482,46;Rohdaten
2023-02-09;482,45;Rohdaten
2023-02-10;482,44;Rohdaten
2023-02-11;482,44;Rohdaten
2023-02-12;482,43;Rohdaten
2023-02-13;482,42;Rohdaten
2023-02-14;482,41;Rohdaten
2023-02-15;482,41;Rohdaten
2023-02-16;482,40;Rohdaten
2023-02-17;482,39;Rohdaten
2023-02-18;482,39;Rohdaten
2023-02-19;482,38;Rohdaten
2023-02-20;482,37;Rohdaten
