Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Siegertsbrunn 2"
Messstellen-Nr.:;16274
Ostwert:;704183;Nordwert:;5322959;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;549,97;Rohdaten
2023-01-02;549,96;Rohdaten
2023-01-03;549,96;Rohdaten
2023-01-04;549,95;Rohdaten
2023-01-05;549,95;Rohdaten
2023-01-06;549,94;Rohdaten
2023-01-07;549,94;Rohdaten
2023-01-08;549,93;Rohdaten
2023-01-09;549,93;Rohdaten
2023-01-10;549,93;Rohdaten
2023-01-11;549,92;Rohdaten
2023-01-12;549,92;Rohdaten
2023-01-13;549,91;Rohdaten
2023-01-14;549,91;Rohdaten
2023-01-15;549,91;Rohdaten
2023-01-16;549,90;Rohdaten
2023-01-17;549,90;Rohdaten
2023-01-18;549,89;Rohdaten
2023-01-19;549,89;Rohdaten
2023-01-20;549,89;Rohdaten
2023-01-21;549,89;Rohdaten
2023-01-22;549,89;Rohdaten
2023-01-23;549,88;Rohdaten
2023-01-24;549,88;Rohdaten
2023-01-25;549,88;Rohdaten
2023-01-26;549,88;Rohdaten
2023-01-27;549,88;Rohdaten
2023-01-28;549,88;Rohdaten
2023-01-29;549,88;Rohdaten
2023-01-30;549,87;Rohdaten
2023-01-31;549,87;Rohdaten
2023-02-01;549,87;Rohdaten
2023-02-02;549,87;Rohdaten
2023-02-03;549,87;Rohdaten
2023-02-04;549,87;Rohdaten
2023-02-05;549,87;Rohdaten
2023-02-06;549,87;Rohdaten
2023-02-07;549,86;Rohdaten
2023-02-08;549,86;Rohdaten
2023-02-09;549,86;Rohdaten
2023-02-10;549,86;Rohdaten
2023-02-11;549,86;Rohdaten
2023-02-12;549,85;Rohdaten
2023-02-13;549,85;Rohdaten
2023-02-14;549,84;Rohdaten
2023-02-15;549,84;Rohdaten
2023-02-16;549,83;Rohdaten
2023-02-17;549,83;Rohdaten
2023-02-18;549,83;Rohdaten
2023-02-19;549,82;Rohdaten
2023-02-20;549,82;Rohdaten
2023-02-21;549,82;Rohdaten
2023-02-22;549,82;Rohdaten
2023-02-23;549,82;Rohdaten
2023-02-24;549,82;Rohdaten
2023-02-25;549,81;Rohdaten
2023-02-26;549,81;Rohdaten
2023-02-27;549,81;Rohdaten
2023-02-28;549,81;Rohdaten
2023-03-01;549,80;Rohdaten
2023-03-02;549,80;Rohdaten
2023-03-03;549,80;Rohdaten
2023-03-04;549,80;Rohdaten
2023-03-05;549,79;Rohdaten
2023-03-06;549,79;Rohdaten
2023-03-07;549,79;Rohdaten
2023-03-08;549,78;Rohdaten
2023-03-09;549,78;Rohdaten
2023-03-10;549,78;Rohdaten
2023-03-11;549,77;Rohdaten
2023-03-12;549,77;Rohdaten
2023-03-13;549,76;Rohdaten
2023-03-14;549,76;Rohdaten
2023-03-15;549,76;Rohdaten
2023-03-16;549,75;Rohdaten
2023-03-17;549,75;Rohdaten
2023-03-18;549,75;Rohdaten
2023-03-19;549,74;Rohdaten
2023-03-20;549,74;Rohdaten
2023-03-21;549,73;Rohdaten
2023-03-22;549,73;Rohdaten
2023-03-23;549,72;Rohdaten
2023-03-24;549,72;Rohdaten
2023-03-25;549,72;Rohdaten
2023-03-26;549,71;Rohdaten
2023-03-27;549,70;Rohdaten
2023-03-28;549,70;Rohdaten
2023-03-29;549,69;Rohdaten
2023-03-30;549,69;Rohdaten
2023-03-31;549,68;Rohdaten
2023-04-01;549,68;Rohdaten
2023-04-02;549,68;Rohdaten
2023-04-03;549,67;Rohdaten
2023-04-04;549,67;Rohdaten
2023-04-05;549,66;Rohdaten
2023-04-06;549,66;Rohdaten
2023-04-07;549,65;Rohdaten
2023-04-08;549,65;Rohdaten
2023-04-09;549,64;Rohdaten
2023-04-10;549,64;Rohdaten
2023-04-11;549,63;Rohdaten
2023-04-12;549,63;Rohdaten
2023-04-13;549,62;Rohdaten
2023-04-14;549,62;Rohdaten
2023-04-15;549,61;Rohdaten
2023-04-16;549,61;Rohdaten
2023-04-17;549,61;Rohdaten
2023-04-18;549,60;Rohdaten
2023-04-19;549,60;Rohdaten
2023-04-20;549,59;Rohdaten
2023-04-21;549,59;Rohdaten
2023-04-22;549,59;Rohdaten
2023-04-23;549,58;Rohdaten
2023-04-24;549,58;Rohdaten
2023-04-25;549,57;Rohdaten
2023-04-26;549,57;Rohdaten
2023-04-27;549,57;Rohdaten
2023-04-28;549,56;Rohdaten
2023-04-29;549,56;Rohdaten
2023-04-30;549,55;Rohdaten
2023-05-01;549,55;Rohdaten
