Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Siegertsbrunn 2"
Messstellen-Nr.:;16274
Ostwert:;704183;Nordwert:;5322959;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2002-03-21;554,73;Rohdaten
2002-03-22;554,73;Rohdaten
2002-03-23;554,73;Rohdaten
2002-03-24;554,72;Rohdaten
2002-03-25;554,72;Rohdaten
2002-03-26;554,71;Rohdaten
2002-03-27;554,71;Rohdaten
2002-03-28;554,70;Rohdaten
2002-03-29;554,70;Rohdaten
2002-03-30;554,69;Rohdaten
2002-03-31;554,68;Rohdaten
2002-04-01;554,68;Rohdaten
2002-04-02;554,67;Rohdaten
2002-04-03;554,67;Rohdaten
2002-04-04;554,67;Rohdaten
2002-04-05;554,66;Rohdaten
2002-04-06;554,65;Rohdaten
2002-04-07;554,65;Rohdaten
2002-04-08;554,65;Rohdaten
2002-04-09;554,65;Rohdaten
2002-04-10;554,65;Rohdaten
2002-04-11;554,64;Rohdaten
2002-04-12;554,64;Rohdaten
2002-04-13;554,64;Rohdaten
2002-04-14;554,63;Rohdaten
2002-04-15;554,63;Rohdaten
2002-04-16;554,63;Rohdaten
2002-04-17;554,62;Rohdaten
2002-04-18;554,62;Rohdaten
2002-04-19;554,62;Rohdaten
2002-04-20;554,61;Rohdaten
2002-04-21;554,60;Rohdaten
2002-04-22;554,60;Rohdaten
2002-04-23;554,60;Rohdaten
2002-04-24;554,60;Rohdaten
2002-04-25;554,59;Rohdaten
2002-04-26;554,59;Rohdaten
2002-04-27;554,58;Rohdaten
2002-04-28;554,58;Rohdaten
2002-04-29;554,58;Rohdaten
2002-04-30;554,57;Rohdaten
2002-05-01;554,57;Rohdaten
2002-05-02;554,56;Rohdaten
2002-05-03;554,56;Rohdaten
2002-05-04;554,55;Rohdaten
2002-05-05;554,55;Rohdaten
2002-05-06;554,54;Rohdaten
2002-05-07;554,54;Rohdaten
2002-05-08;554,54;Rohdaten
2002-05-09;554,53;Rohdaten
2002-05-10;554,52;Rohdaten
2002-05-11;554,52;Rohdaten
2002-05-12;554,51;Rohdaten
2002-05-13;554,50;Rohdaten
2002-05-14;554,49;Rohdaten
2002-05-15;554,49;Rohdaten
2002-05-16;554,49;Rohdaten
2002-05-17;554,48;Rohdaten
2002-05-18;554,48;Rohdaten
2002-05-19;554,46;Rohdaten
2002-05-20;554,46;Rohdaten
2002-05-21;554,46;Rohdaten
2002-05-22;554,45;Rohdaten
2002-05-23;554,45;Rohdaten
2002-05-24;554,43;Rohdaten
2002-05-25;554,43;Rohdaten
2002-05-26;554,42;Rohdaten
2002-05-27;554,42;Rohdaten
2002-05-28;554,41;Rohdaten
2002-05-29;554,40;Rohdaten
2002-05-30;554,40;Rohdaten
2002-05-31;554,39;Rohdaten
2002-06-01;554,39;Rohdaten
2002-06-02;554,38;Rohdaten
2002-06-03;554,38;Rohdaten
2002-06-04;554,37;Rohdaten
2002-06-05;554,37;Rohdaten
2002-06-06;554,36;Rohdaten
2002-06-07;554,35;Rohdaten
2002-06-08;554,34;Rohdaten
2002-06-09;;Rohdaten
2002-06-10;554,33;Rohdaten
2002-06-11;;Rohdaten
2002-06-12;;Rohdaten
2002-06-13;;Rohdaten
2002-06-14;;Rohdaten
2002-06-15;;Rohdaten
2002-06-16;;Rohdaten
2002-06-17;554,28;Rohdaten
2002-06-18;;Rohdaten
2002-06-19;;Rohdaten
2002-06-20;;Rohdaten
2002-06-21;;Rohdaten
2002-06-22;;Rohdaten
