Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Neuried 2"
Messstellen-Nr.:;16275
Ostwert:;682903;Nordwert:;5328804;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;551,85;Rohdaten
2023-11-02;551,85;Rohdaten
2023-11-03;551,85;Rohdaten
2023-11-04;551,84;Rohdaten
2023-11-05;551,84;Rohdaten
2023-11-06;551,83;Rohdaten
2023-11-07;551,83;Rohdaten
2023-11-08;551,82;Rohdaten
2023-11-09;551,82;Rohdaten
2023-11-10;551,81;Rohdaten
2023-11-11;551,81;Rohdaten
2023-11-12;551,81;Rohdaten
2023-11-13;551,81;Rohdaten
2023-11-14;551,82;Rohdaten
2023-11-15;551,83;Rohdaten
2023-11-16;551,83;Rohdaten
2023-11-17;551,84;Rohdaten
