Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Sauerlach Q 9"
Messstellen-Nr.:;16293
Ostwert:;699538;Nordwert:;5318863;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2007-06-25;568,86;Rohdaten
2007-06-26;568,86;Rohdaten
2007-06-27;568,86;Rohdaten
2007-06-28;568,87;Rohdaten
2007-06-29;568,87;Rohdaten
2007-06-30;568,87;Rohdaten
2007-07-01;568,88;Rohdaten
2007-07-02;568,88;Rohdaten
2007-07-03;568,88;Rohdaten
2007-07-04;568,89;Rohdaten
2007-07-05;568,89;Rohdaten
2007-07-06;568,89;Rohdaten
2007-07-07;568,90;Rohdaten
2007-07-08;568,90;Rohdaten
2007-07-09;568,90;Rohdaten
2007-07-10;568,90;Rohdaten
2007-07-11;568,90;Rohdaten
2007-07-12;568,91;Rohdaten
2007-07-13;568,91;Rohdaten
2007-07-14;568,91;Rohdaten
2007-07-15;568,92;Rohdaten
2007-07-16;568,92;Rohdaten
2007-07-17;568,92;Rohdaten
2007-07-18;568,92;Rohdaten
2007-07-19;568,93;Rohdaten
2007-07-20;568,93;Rohdaten
2007-07-21;568,93;Rohdaten
2007-07-22;568,93;Rohdaten
2007-07-23;568,94;Rohdaten
2007-07-24;568,94;Rohdaten
2007-07-25;568,94;Rohdaten
2007-07-26;568,94;Rohdaten
2007-07-27;568,94;Rohdaten
2007-07-28;568,94;Rohdaten
2007-07-29;568,95;Rohdaten
2007-07-30;568,95;Rohdaten
2007-07-31;568,95;Rohdaten
2007-08-01;568,95;Rohdaten
2007-08-02;568,96;Rohdaten
2007-08-03;568,96;Rohdaten
2007-08-04;568,96;Rohdaten
2007-08-05;568,96;Rohdaten
2007-08-06;568,96;Rohdaten
2007-08-07;;Rohdaten
2007-08-08;;Rohdaten
2007-08-09;;Rohdaten
2007-08-10;;Rohdaten
2007-08-11;;Rohdaten
2007-08-12;;Rohdaten
2007-08-13;;Rohdaten
2007-08-14;;Rohdaten
2007-08-15;;Rohdaten
2007-08-16;;Rohdaten
2007-08-17;;Rohdaten
2007-08-18;;Rohdaten
2007-08-19;;Rohdaten
2007-08-20;;Rohdaten
2007-08-21;;Rohdaten
2007-08-22;;Rohdaten
2007-08-23;;Rohdaten
2007-08-24;;Rohdaten
2007-08-25;;Rohdaten
2007-08-26;;Rohdaten
2007-08-27;569,03;Rohdaten
2007-08-28;569,03;Rohdaten
2007-08-29;569,03;Rohdaten
2007-08-30;569,04;Rohdaten
2007-08-31;569,04;Rohdaten
2007-09-01;569,05;Rohdaten
2007-09-02;569,05;Rohdaten
2007-09-03;569,06;Rohdaten
2007-09-04;569,06;Rohdaten
2007-09-05;569,07;Rohdaten
2007-09-06;569,07;Rohdaten
2007-09-07;569,08;Rohdaten
2007-09-08;569,08;Rohdaten
2007-09-09;569,09;Rohdaten
2007-09-10;569,09;Rohdaten
2007-09-11;569,10;Rohdaten
2007-09-12;569,10;Rohdaten
2007-09-13;569,11;Rohdaten
2007-09-14;569,12;Rohdaten
2007-09-15;569,13;Rohdaten
2007-09-16;569,14;Rohdaten
2007-09-17;569,15;Rohdaten
2007-09-18;569,16;Rohdaten
2007-09-19;569,17;Rohdaten
2007-09-20;569,19;Rohdaten
2007-09-21;569,20;Rohdaten
2007-09-22;569,21;Rohdaten
2007-09-23;569,23;Rohdaten
2007-09-24;569,24;Rohdaten
2007-09-25;569,26;Rohdaten
2007-09-26;569,27;Rohdaten
2007-09-27;569,29;Rohdaten
2007-09-28;569,30;Rohdaten
2007-09-29;569,31;Rohdaten
2007-09-30;569,32;Rohdaten
2007-10-01;;Rohdaten
2007-10-02;;Rohdaten
2007-10-03;;Rohdaten
2007-10-04;569,37;Rohdaten
2007-10-05;;Rohdaten
2007-10-06;;Rohdaten
2007-10-07;;Rohdaten
2007-10-08;569,43;Rohdaten
2007-10-09;569,44;Rohdaten
2007-10-10;569,46;Rohdaten
2007-10-11;569,47;Rohdaten
2007-10-12;569,49;Rohdaten
2007-10-13;569,50;Rohdaten
2007-10-14;569,52;Rohdaten
2007-10-15;569,53;Rohdaten
2007-10-16;569,54;Rohdaten
2007-10-17;569,56;Rohdaten
