Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Aying Q 10"
Messstellen-Nr.:;16294
Ostwert:;706856;Nordwert:;5316381;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;572,30;Rohdaten
2023-11-02;572,31;Rohdaten
2023-11-03;572,30;Rohdaten
2023-11-04;572,30;Rohdaten
2023-11-05;572,30;Rohdaten
2023-11-06;572,29;Rohdaten
2023-11-07;572,29;Rohdaten
2023-11-08;572,29;Rohdaten
2023-11-09;572,29;Rohdaten
2023-11-10;572,29;Rohdaten
2023-11-11;572,29;Rohdaten
2023-11-12;572,29;Rohdaten
2023-11-13;572,28;Rohdaten
2023-11-14;572,28;Rohdaten
2023-11-15;572,28;Rohdaten
2023-11-16;572,28;Rohdaten
2023-11-17;572,28;Rohdaten
