Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Aying Q 10"
Messstellen-Nr.:;16294
Ostwert:;706856;Nordwert:;5316381;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2007-05-31;573,24;Rohdaten
2007-06-01;573,24;Rohdaten
2007-06-02;573,24;Rohdaten
2007-06-03;573,24;Rohdaten
2007-06-04;573,24;Rohdaten
2007-06-05;573,24;Rohdaten
2007-06-06;573,24;Rohdaten
2007-06-07;573,25;Rohdaten
2007-06-08;573,25;Rohdaten
2007-06-09;573,25;Rohdaten
2007-06-10;573,25;Rohdaten
2007-06-11;573,25;Rohdaten
2007-06-12;573,25;Rohdaten
2007-06-13;573,25;Rohdaten
2007-06-14;573,25;Rohdaten
2007-06-15;573,25;Rohdaten
2007-06-16;573,25;Rohdaten
2007-06-17;573,26;Rohdaten
2007-06-18;573,26;Rohdaten
2007-06-19;573,25;Rohdaten
2007-06-20;;Rohdaten
2007-06-21;573,26;Rohdaten
2007-06-22;573,26;Rohdaten
2007-06-23;573,26;Rohdaten
2007-06-24;573,27;Rohdaten
2007-06-25;573,27;Rohdaten
2007-06-26;573,27;Rohdaten
2007-06-27;;Rohdaten
2007-06-28;;Rohdaten
2007-06-29;573,27;Rohdaten
2007-06-30;573,27;Rohdaten
2007-07-01;573,28;Rohdaten
2007-07-02;573,28;Rohdaten
2007-07-03;573,28;Rohdaten
2007-07-04;573,28;Rohdaten
2007-07-05;573,17;Rohdaten
2007-07-06;573,06;Rohdaten
2007-07-07;573,06;Rohdaten
2007-07-08;573,06;Rohdaten
2007-07-09;573,06;Rohdaten
2007-07-10;573,06;Rohdaten
2007-07-11;573,06;Rohdaten
2007-07-12;573,06;Rohdaten
2007-07-13;573,06;Rohdaten
2007-07-14;573,06;Rohdaten
2007-07-15;573,06;Rohdaten
2007-07-16;573,06;Rohdaten
2007-07-17;573,06;Rohdaten
2007-07-18;573,06;Rohdaten
2007-07-19;573,06;Rohdaten
2007-07-20;573,07;Rohdaten
2007-07-21;573,07;Rohdaten
2007-07-22;573,07;Rohdaten
2007-07-23;573,07;Rohdaten
2007-07-24;573,07;Rohdaten
2007-07-25;573,07;Rohdaten
2007-07-26;573,08;Rohdaten
2007-07-27;573,09;Rohdaten
2007-07-28;573,09;Rohdaten
2007-07-29;573,10;Rohdaten
2007-07-30;573,09;Rohdaten
2007-07-31;573,09;Rohdaten
2007-08-01;573,10;Rohdaten
2007-08-02;573,10;Rohdaten
2007-08-03;573,10;Rohdaten
2007-08-04;573,10;Rohdaten
2007-08-05;573,11;Rohdaten
2007-08-06;573,12;Rohdaten
2007-08-07;573,13;Rohdaten
2007-08-08;573,13;Rohdaten
2007-08-09;573,13;Rohdaten
2007-08-10;573,13;Rohdaten
2007-08-11;573,13;Rohdaten
2007-08-12;573,13;Rohdaten
2007-08-13;573,13;Rohdaten
2007-08-14;573,13;Rohdaten
2007-08-15;573,13;Rohdaten
2007-08-16;573,15;Rohdaten
2007-08-17;573,14;Rohdaten
2007-08-18;573,15;Rohdaten
2007-08-19;573,15;Rohdaten
2007-08-20;573,16;Rohdaten
2007-08-21;573,16;Rohdaten
2007-08-22;573,16;Rohdaten
2007-08-23;573,15;Rohdaten
2007-08-24;573,15;Rohdaten
2007-08-25;573,15;Rohdaten
2007-08-26;573,16;Rohdaten
2007-08-27;573,17;Rohdaten
2007-08-28;;Rohdaten
2007-08-29;573,17;Rohdaten
2007-08-30;573,17;Rohdaten
2007-08-31;573,17;Rohdaten
2007-09-01;573,17;Rohdaten
2007-09-02;573,18;Rohdaten
2007-09-03;573,18;Rohdaten
2007-09-04;573,18;Rohdaten
2007-09-05;573,17;Rohdaten
2007-09-06;573,18;Rohdaten
2007-09-07;573,19;Rohdaten
2007-09-08;573,20;Rohdaten
2007-09-09;573,21;Rohdaten
2007-09-10;573,22;Rohdaten
2007-09-11;;Rohdaten
2007-09-12;573,23;Rohdaten
2007-09-13;573,24;Rohdaten
2007-09-14;573,26;Rohdaten
2007-09-15;573,27;Rohdaten
2007-09-16;573,29;Rohdaten
2007-09-17;573,30;Rohdaten
2007-09-18;573,31;Rohdaten
2007-09-19;573,32;Rohdaten
2007-09-20;573,33;Rohdaten
2007-09-21;573,34;Rohdaten
2007-09-22;573,35;Rohdaten
2007-09-23;573,36;Rohdaten
2007-09-24;573,37;Rohdaten
2007-09-25;573,38;Rohdaten
2007-09-26;573,39;Rohdaten
2007-09-27;573,40;Rohdaten
2007-09-28;573,41;Rohdaten
2007-09-29;573,41;Rohdaten
2007-09-30;573,41;Rohdaten
2007-10-01;573,42;Rohdaten
2007-10-02;573,43;Rohdaten
2007-10-03;573,44;Rohdaten
2007-10-04;573,45;Rohdaten
2007-10-05;573,45;Rohdaten
2007-10-06;573,46;Rohdaten
2007-10-07;573,47;Rohdaten
2007-10-08;573,48;Rohdaten
2007-10-09;573,49;Rohdaten
2007-10-10;573,50;Rohdaten
2007-10-11;573,51;Rohdaten
2007-10-12;573,52;Rohdaten
2007-10-13;573,52;Rohdaten
2007-10-14;573,53;Rohdaten
2007-10-15;573,54;Rohdaten
2007-10-16;573,55;Rohdaten
2007-10-17;573,55;Rohdaten
2007-10-18;573,56;Rohdaten
2007-10-19;573,56;Rohdaten
2007-10-20;573,57;Rohdaten
2007-10-21;573,58;Rohdaten
2007-10-22;573,59;Rohdaten
2007-10-23;573,59;Rohdaten
2007-10-24;573,60;Rohdaten
2007-10-25;;Rohdaten
2007-10-26;;Rohdaten
2007-10-27;;Rohdaten
2007-10-28;;Rohdaten
2007-10-29;;Rohdaten
2007-10-30;;Rohdaten
2007-10-31;;Rohdaten
2007-11-01;;Rohdaten
2007-11-02;;Rohdaten
2007-11-03;;Rohdaten
2007-11-04;;Rohdaten
2007-11-05;;Rohdaten
2007-11-06;;Rohdaten
2007-11-07;;Rohdaten
2007-11-08;;Rohdaten
2007-11-09;;Rohdaten
2007-11-10;;Rohdaten
2007-11-11;;Rohdaten
2007-11-12;;Rohdaten
2007-11-13;;Rohdaten
2007-11-14;;Rohdaten
2007-11-15;;Rohdaten
2007-11-16;;Rohdaten
2007-11-17;;Rohdaten
2007-11-18;;Rohdaten
2007-11-19;;Rohdaten
2007-11-20;;Rohdaten
2007-11-21;;Rohdaten
2007-11-22;;Rohdaten
2007-11-23;;Rohdaten
2007-11-24;;Rohdaten
2007-11-25;;Rohdaten
2007-11-26;;Rohdaten
2007-11-27;;Rohdaten
2007-11-28;;Rohdaten
2007-11-29;573,65;Rohdaten
2007-11-30;573,65;Rohdaten
2007-12-01;573,66;Rohdaten
2007-12-02;573,66;Rohdaten
2007-12-03;573,67;Rohdaten
2007-12-04;573,66;Rohdaten
2007-12-05;573,66;Rohdaten
2007-12-06;573,67;Rohdaten
2007-12-07;573,68;Rohdaten
2007-12-08;573,68;Rohdaten
2007-12-09;573,70;Rohdaten
2007-12-10;573,70;Rohdaten
2007-12-11;573,69;Rohdaten
2007-12-12;573,68;Rohdaten
2007-12-13;573,69;Rohdaten
2007-12-14;573,69;Rohdaten
2007-12-15;573,70;Rohdaten
2007-12-16;573,71;Rohdaten
2007-12-17;573,71;Rohdaten
2007-12-18;573,72;Rohdaten
2007-12-19;573,72;Rohdaten
2007-12-20;573,73;Rohdaten
2007-12-21;573,74;Rohdaten
2007-12-22;573,75;Rohdaten
2007-12-23;573,76;Rohdaten
2007-12-24;573,77;Rohdaten
2007-12-25;573,78;Rohdaten
2007-12-26;573,79;Rohdaten
2007-12-27;573,79;Rohdaten
