Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Wenzsiedlung 2"
Messstellen-Nr.:;16702
Ostwert:;689059;Nordwert:;5327916;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;527,87;Rohdaten
2023-01-02;527,87;Rohdaten
2023-01-03;527,87;Rohdaten
2023-01-04;527,86;Rohdaten
2023-01-05;527,86;Rohdaten
2023-01-06;527,87;Rohdaten
2023-01-07;527,86;Rohdaten
2023-01-08;527,86;Rohdaten
2023-01-09;527,86;Rohdaten
2023-01-10;527,86;Rohdaten
2023-01-11;527,86;Rohdaten
2023-01-12;527,86;Rohdaten
2023-01-13;527,86;Rohdaten
2023-01-14;527,86;Rohdaten
2023-01-15;527,86;Rohdaten
2023-01-16;527,86;Rohdaten
2023-01-17;527,85;Rohdaten
2023-01-18;527,86;Rohdaten
2023-01-19;527,86;Rohdaten
2023-01-20;527,86;Rohdaten
2023-01-21;527,86;Rohdaten
2023-01-22;527,86;Rohdaten
2023-01-23;527,85;Rohdaten
2023-01-24;527,86;Rohdaten
2023-01-25;527,86;Rohdaten
2023-01-26;527,87;Rohdaten
2023-01-27;527,87;Rohdaten
2023-01-28;527,86;Rohdaten
2023-01-29;527,86;Rohdaten
2023-01-30;527,85;Rohdaten
2023-01-31;527,86;Rohdaten
2023-02-01;527,86;Rohdaten
2023-02-02;527,86;Rohdaten
2023-02-03;527,86;Rohdaten
2023-02-04;527,87;Rohdaten
2023-02-05;527,87;Rohdaten
2023-02-06;527,86;Rohdaten
2023-02-07;527,86;Rohdaten
2023-02-08;527,86;Rohdaten
2023-02-09;527,86;Rohdaten
2023-02-10;527,86;Rohdaten
2023-02-11;527,86;Rohdaten
2023-02-12;527,85;Rohdaten
2023-02-13;527,86;Rohdaten
2023-02-14;527,85;Rohdaten
2023-02-15;527,85;Rohdaten
2023-02-16;527,85;Rohdaten
2023-02-17;527,85;Rohdaten
2023-02-18;527,86;Rohdaten
2023-02-19;527,87;Rohdaten
2023-02-20;527,87;Rohdaten
2023-02-21;527,86;Rohdaten
2023-02-22;527,86;Rohdaten
2023-02-23;527,86;Rohdaten
2023-02-24;527,86;Rohdaten
2023-02-25;527,89;Rohdaten
2023-02-26;527,87;Rohdaten
2023-02-27;527,87;Rohdaten
2023-02-28;527,87;Rohdaten
2023-03-01;527,87;Rohdaten
2023-03-02;527,87;Rohdaten
2023-03-03;527,88;Rohdaten
2023-03-04;527,88;Rohdaten
2023-03-05;527,88;Rohdaten
2023-03-06;527,88;Rohdaten
2023-03-07;527,88;Rohdaten
2023-03-08;527,87;Rohdaten
2023-03-09;527,89;Rohdaten
2023-03-10;527,90;Rohdaten
2023-03-11;527,90;Rohdaten
2023-03-12;527,89;Rohdaten
2023-03-13;527,89;Rohdaten
2023-03-14;527,93;Rohdaten
2023-03-15;528,04;Rohdaten
2023-03-16;527,99;Rohdaten
2023-03-17;527,93;Rohdaten
2023-03-18;527,91;Rohdaten
2023-03-19;527,90;Rohdaten
2023-03-20;527,90;Rohdaten
2023-03-21;527,90;Rohdaten
2023-03-22;527,90;Rohdaten
2023-03-23;527,90;Rohdaten
2023-03-24;527,90;Rohdaten
2023-03-25;527,90;Rohdaten
2023-03-26;527,89;Rohdaten
2023-03-27;527,88;Rohdaten
2023-03-28;527,88;Rohdaten
2023-03-29;527,88;Rohdaten
2023-03-30;527,89;Rohdaten
2023-03-31;528,05;Rohdaten
2023-04-01;528,13;Rohdaten
2023-04-02;528,03;Rohdaten
2023-04-03;527,97;Rohdaten
2023-04-04;527,96;Rohdaten
2023-04-05;527,94;Rohdaten
2023-04-06;527,93;Rohdaten
2023-04-07;527,92;Rohdaten
2023-04-08;527,92;Rohdaten
2023-04-09;527,92;Rohdaten
2023-04-10;527,92;Rohdaten
2023-04-11;527,91;Rohdaten
2023-04-12;527,92;Rohdaten
2023-04-13;528,02;Rohdaten
2023-04-14;528,15;Rohdaten
2023-04-15;528,30;Rohdaten
2023-04-16;528,27;Rohdaten
2023-04-17;528,26;Rohdaten
2023-04-18;528,24;Rohdaten
2023-04-19;528,20;Rohdaten
2023-04-20;528,19;Rohdaten
2023-04-21;528,17;Rohdaten
2023-04-22;528,07;Rohdaten
2023-04-23;527,99;Rohdaten
2023-04-24;528,00;Rohdaten
2023-04-25;528,09;Rohdaten
2023-04-26;528,12;Rohdaten
2023-04-27;528,14;Rohdaten
2023-04-28;528,12;Rohdaten
2023-04-29;528,31;Rohdaten
2023-04-30;528,42;Rohdaten
2023-05-01;528,31;Rohdaten
2023-05-02;528,29;Rohdaten
2023-05-03;528,38;Rohdaten
2023-05-04;528,30;Rohdaten
2023-05-05;528,33;Rohdaten
2023-05-06;528,34;Rohdaten
2023-05-07;528,28;Rohdaten
2023-05-08;528,22;Rohdaten
2023-05-09;528,36;Rohdaten
2023-05-10;528,49;Rohdaten
2023-05-11;528,77;Rohdaten
2023-05-12;528,92;Rohdaten
2023-05-13;528,86;Rohdaten
2023-05-14;528,74;Rohdaten
2023-05-15;528,70;Rohdaten
2023-05-16;528,68;Rohdaten
2023-05-17;528,79;Rohdaten
2023-05-18;528,88;Rohdaten
2023-05-19;528,80;Rohdaten
2023-05-20;528,63;Rohdaten
2023-05-21;528,46;Rohdaten
2023-05-22;528,38;Rohdaten
2023-05-23;528,35;Rohdaten
2023-05-24;528,45;Rohdaten
2023-05-25;528,47;Rohdaten
2023-05-26;528,41;Rohdaten
2023-05-27;528,33;Rohdaten
2023-05-28;528,26;Rohdaten
2023-05-29;528,16;Rohdaten
2023-05-30;528,12;Rohdaten
2023-05-31;528,16;Rohdaten
2023-06-01;528,21;Rohdaten
2023-06-02;528,19;Rohdaten
2023-06-03;528,19;Rohdaten
2023-06-04;528,15;Rohdaten
2023-06-05;528,12;Rohdaten
2023-06-06;528,13;Rohdaten
2023-06-07;528,10;Rohdaten
2023-06-08;528,05;Rohdaten
2023-06-09;528,02;Rohdaten
2023-06-10;528,02;Rohdaten
2023-06-11;528,01;Rohdaten
2023-06-12;527,99;Rohdaten
2023-06-13;527,98;Rohdaten
2023-06-14;527,98;Rohdaten
2023-06-15;527,98;Rohdaten
2023-06-16;527,99;Rohdaten
2023-06-17;528,00;Rohdaten
2023-06-18;528,00;Rohdaten
2023-06-19;528,00;Rohdaten
2023-06-20;528,00;Rohdaten
2023-06-21;528,00;Rohdaten
2023-06-22;528,00;Rohdaten
2023-06-23;528,01;Rohdaten
2023-06-24;528,00;Rohdaten
2023-06-25;527,99;Rohdaten
2023-06-26;527,98;Rohdaten
2023-06-27;527,98;Rohdaten
2023-06-28;527,98;Rohdaten
2023-06-29;527,99;Rohdaten
2023-06-30;528,00;Rohdaten
2023-07-01;528,08;Rohdaten
2023-07-02;528,07;Rohdaten
2023-07-03;528,04;Rohdaten
2023-07-04;528,03;Rohdaten
2023-07-05;528,04;Rohdaten
2023-07-06;528,04;Rohdaten
2023-07-07;528,03;Rohdaten
2023-07-08;528,02;Rohdaten
2023-07-09;528,01;Rohdaten
2023-07-10;528,00;Rohdaten
2023-07-11;528,00;Rohdaten
2023-07-12;528,00;Rohdaten
2023-07-13;528,00;Rohdaten
2023-07-14;527,99;Rohdaten
2023-07-15;527,99;Rohdaten
2023-07-16;527,99;Rohdaten
2023-07-17;528,00;Rohdaten
2023-07-18;528,00;Rohdaten
2023-07-19;528,02;Rohdaten
2023-07-20;528,08;Rohdaten
2023-07-21;528,04;Rohdaten
2023-07-22;528,03;Rohdaten
2023-07-23;528,02;Rohdaten
2023-07-24;528,00;Rohdaten
2023-07-25;528,04;Rohdaten
2023-07-26;528,15;Rohdaten
