Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"LAUFZORN SCHLOSS 247"
Messstellen-Nr.:;16001
Ostwert:;690356;Nordwert:;5320959;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;573,72;Rohdaten
2023-01-02;573,72;Rohdaten
2023-01-03;573,71;Rohdaten
2023-01-04;573,72;Rohdaten
2023-01-05;573,72;Rohdaten
2023-01-06;573,72;Rohdaten
2023-01-07;573,72;Rohdaten
2023-01-08;573,72;Rohdaten
2023-01-09;573,72;Rohdaten
2023-01-10;573,72;Rohdaten
2023-01-11;573,72;Rohdaten
2023-01-12;573,73;Rohdaten
2023-01-13;573,73;Rohdaten
2023-01-14;573,73;Rohdaten
2023-01-15;573,73;Rohdaten
2023-01-16;573,74;Rohdaten
2023-01-17;573,74;Rohdaten
2023-01-18;573,73;Rohdaten
2023-01-19;573,74;Rohdaten
2023-01-20;573,74;Rohdaten
2023-01-21;573,74;Rohdaten
2023-01-22;573,74;Rohdaten
2023-01-23;573,75;Rohdaten
2023-01-24;573,75;Rohdaten
2023-01-25;573,76;Rohdaten
2023-01-26;573,76;Rohdaten
2023-01-27;573,76;Rohdaten
2023-01-28;573,76;Rohdaten
2023-01-29;573,76;Rohdaten
2023-01-30;573,76;Rohdaten
2023-01-31;573,76;Rohdaten
2023-02-01;573,77;Rohdaten
2023-02-02;573,76;Rohdaten
2023-02-03;573,77;Rohdaten
2023-02-04;573,77;Rohdaten
2023-02-05;573,77;Rohdaten
2023-02-06;573,77;Rohdaten
2023-02-07;573,78;Rohdaten
2023-02-08;573,78;Rohdaten
2023-02-09;573,78;Rohdaten
2023-02-10;573,78;Rohdaten
2023-02-11;573,78;Rohdaten
2023-02-12;573,78;Rohdaten
2023-02-13;573,78;Rohdaten
2023-02-14;573,78;Rohdaten
2023-02-15;573,78;Rohdaten
2023-02-16;573,78;Rohdaten
2023-02-17;573,78;Rohdaten
2023-02-18;573,79;Rohdaten
2023-02-19;573,78;Rohdaten
2023-02-20;573,79;Rohdaten
2023-02-21;573,79;Rohdaten
2023-02-22;573,79;Rohdaten
2023-02-23;573,79;Rohdaten
2023-02-24;573,79;Rohdaten
2023-02-25;573,79;Rohdaten
