Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"EGLFING LEHRER 265B"
Messstellen-Nr.:;16006
Ostwert:;704219;Nordwert:;5332868;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;523,54;Rohdaten
2023-01-02;523,55;Rohdaten
2023-01-03;523,56;Rohdaten
2023-01-04;523,57;Rohdaten
2023-01-05;523,58;Rohdaten
2023-01-06;523,58;Rohdaten
2023-01-07;523,59;Rohdaten
2023-01-08;523,59;Rohdaten
2023-01-09;523,60;Rohdaten
2023-01-10;523,60;Rohdaten
2023-01-11;523,60;Rohdaten
2023-01-12;523,61;Rohdaten
2023-01-13;523,61;Rohdaten
2023-01-14;523,61;Rohdaten
2023-01-15;523,61;Rohdaten
2023-01-16;523,61;Rohdaten
2023-01-17;523,61;Rohdaten
2023-01-18;523,60;Rohdaten
2023-01-19;523,60;Rohdaten
2023-01-20;523,60;Rohdaten
2023-01-21;523,59;Rohdaten
2023-01-22;523,59;Rohdaten
2023-01-23;523,59;Rohdaten
2023-01-24;523,58;Rohdaten
2023-01-25;523,58;Rohdaten
2023-01-26;523,57;Rohdaten
2023-01-27;523,57;Rohdaten
2023-01-28;523,56;Rohdaten
2023-01-29;523,56;Rohdaten
2023-01-30;523,55;Rohdaten
2023-01-31;523,54;Rohdaten
2023-02-01;523,54;Rohdaten
2023-02-02;523,53;Rohdaten
2023-02-03;523,53;Rohdaten
2023-02-04;523,52;Rohdaten
2023-02-05;523,52;Rohdaten
2023-02-06;523,51;Rohdaten
2023-02-07;523,51;Rohdaten
2023-02-08;523,50;Rohdaten
2023-02-09;523,49;Rohdaten
2023-02-10;523,49;Rohdaten
2023-02-11;523,48;Rohdaten
2023-02-12;523,48;Rohdaten
2023-02-13;523,47;Rohdaten
2023-02-14;523,47;Rohdaten
2023-02-15;523,46;Rohdaten
2023-02-16;523,46;Rohdaten
2023-02-17;523,45;Rohdaten
2023-02-18;523,44;Rohdaten
2023-02-19;523,44;Rohdaten
2023-02-20;523,43;Rohdaten
2023-02-21;523,43;Rohdaten
2023-02-22;523,42;Rohdaten
2023-02-23;523,42;Rohdaten
2023-02-24;523,41;Rohdaten
2023-02-25;523,40;Rohdaten
2023-02-26;523,40;Rohdaten
2023-02-27;523,40;Rohdaten
2023-02-28;523,39;Rohdaten
2023-03-01;523,39;Rohdaten
