Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"FELDMOCHING 295"
Messstellen-Nr.:;16012
Ostwert:;687858;Nordwert:;5343079;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;490,70;Rohdaten
2023-11-02;490,70;Rohdaten
2023-11-03;490,72;Rohdaten
2023-11-04;490,71;Rohdaten
2023-11-05;490,71;Rohdaten
2023-11-06;490,71;Rohdaten
2023-11-07;490,71;Rohdaten
2023-11-08;490,70;Rohdaten
2023-11-09;490,70;Rohdaten
2023-11-10;490,69;Rohdaten
2023-11-11;490,69;Rohdaten
2023-11-12;490,69;Rohdaten
2023-11-13;490,73;Rohdaten
2023-11-14;490,75;Rohdaten
2023-11-15;490,78;Rohdaten
2023-11-16;490,80;Rohdaten
2023-11-17;490,89;Rohdaten
