Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"LOHHOF 275A"
Messstellen-Nr.:;16118
Ostwert:;691149;Nordwert:;5351053;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;467,77;Rohdaten
2023-11-02;467,77;Rohdaten
2023-11-03;467,80;Rohdaten
2023-11-04;467,80;Rohdaten
2023-11-05;467,79;Rohdaten
2023-11-06;467,78;Rohdaten
2023-11-07;467,77;Rohdaten
2023-11-08;467,76;Rohdaten
2023-11-09;467,76;Rohdaten
2023-11-10;467,75;Rohdaten
2023-11-11;467,75;Rohdaten
2023-11-12;467,74;Rohdaten
2023-11-13;467,78;Rohdaten
2023-11-14;467,82;Rohdaten
2023-11-15;467,85;Rohdaten
