Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"DORNACH 553"
Messstellen-Nr.:;16195
Ostwert:;700053;Nordwert:;5336952;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;512,46;Rohdaten
2023-01-02;512,45;Rohdaten
2023-01-03;512,45;Rohdaten
2023-01-04;512,44;Rohdaten
2023-01-05;512,44;Rohdaten
2023-01-06;512,43;Rohdaten
2023-01-07;512,42;Rohdaten
2023-01-08;512,42;Rohdaten
2023-01-09;512,41;Rohdaten
2023-01-10;512,40;Rohdaten
2023-01-11;512,39;Rohdaten
2023-01-12;512,39;Rohdaten
2023-01-13;512,38;Rohdaten
2023-01-14;512,37;Rohdaten
2023-01-15;512,36;Rohdaten
2023-01-16;512,36;Rohdaten
2023-01-17;512,35;Rohdaten
2023-01-18;512,34;Rohdaten
2023-01-19;512,33;Rohdaten
2023-01-20;512,32;Rohdaten
2023-01-21;512,31;Rohdaten
2023-01-22;512,31;Rohdaten
2023-01-23;512,30;Rohdaten
2023-01-24;512,29;Rohdaten
2023-01-25;512,28;Rohdaten
2023-01-26;512,28;Rohdaten
2023-01-27;512,27;Rohdaten
2023-01-28;512,26;Rohdaten
2023-01-29;512,25;Rohdaten
2023-01-30;512,24;Rohdaten
2023-01-31;512,24;Rohdaten
2023-02-01;512,23;Rohdaten
2023-02-02;512,21;Rohdaten
2023-02-03;512,20;Rohdaten
2023-02-04;512,20;Rohdaten
2023-02-05;512,18;Rohdaten
2023-02-06;512,17;Rohdaten
2023-02-07;512,17;Rohdaten
2023-02-08;512,16;Rohdaten
2023-02-09;512,15;Rohdaten
2023-02-10;512,14;Rohdaten
2023-02-11;512,14;Rohdaten
2023-02-12;512,13;Rohdaten
2023-02-13;512,12;Rohdaten
2023-02-14;512,09;Rohdaten
2023-02-15;512,06;Rohdaten
2023-02-16;512,04;Rohdaten
2023-02-17;512,02;Rohdaten
2023-02-18;512,01;Rohdaten
2023-02-19;512,00;Rohdaten
2023-02-20;511,97;Rohdaten
2023-02-21;511,96;Rohdaten
2023-02-22;511,98;Rohdaten
2023-02-23;511,97;Rohdaten
2023-02-24;511,96;Rohdaten
2023-02-25;512,01;Rohdaten
2023-02-26;512,00;Rohdaten
2023-02-27;512,00;Rohdaten
2023-02-28;511,99;Rohdaten
2023-03-01;511,98;Rohdaten
2023-03-02;511,98;Rohdaten
2023-03-03;511,98;Rohdaten
2023-03-04;511,97;Rohdaten
2023-03-05;511,97;Rohdaten
2023-03-06;511,97;Rohdaten
2023-03-07;511,96;Rohdaten
2023-03-08;511,95;Rohdaten
2023-03-09;511,95;Rohdaten
2023-03-10;511,95;Rohdaten
2023-03-11;511,95;Rohdaten
2023-03-12;511,95;Rohdaten
2023-03-13;511,94;Rohdaten
2023-03-14;511,94;Rohdaten
2023-03-15;511,94;Rohdaten
2023-03-16;511,94;Rohdaten
2023-03-17;511,93;Rohdaten
2023-03-18;511,93;Rohdaten
2023-03-19;511,93;Rohdaten
2023-03-20;511,93;Rohdaten
2023-03-21;511,93;Rohdaten
2023-03-22;511,93;Rohdaten
2023-03-23;511,93;Rohdaten
2023-03-24;511,93;Rohdaten
2023-03-25;511,92;Rohdaten
2023-03-26;511,91;Rohdaten
2023-03-27;511,92;Rohdaten
2023-03-28;511,93;Rohdaten
2023-03-29;511,91;Rohdaten
2023-03-30;511,93;Rohdaten
2023-03-31;511,95;Rohdaten
2023-04-01;511,95;Rohdaten
2023-04-02;511,95;Rohdaten
2023-04-03;511,94;Rohdaten
2023-04-04;511,93;Rohdaten
2023-04-05;511,93;Rohdaten
2023-04-06;511,92;Rohdaten
2023-04-07;511,91;Rohdaten
2023-04-08;511,91;Rohdaten
2023-04-09;511,91;Rohdaten
2023-04-10;511,90;Rohdaten
2023-04-11;511,90;Rohdaten
2023-04-12;511,90;Rohdaten
2023-04-13;511,94;Rohdaten
2023-04-14;511,95;Rohdaten
2023-04-15;511,96;Rohdaten
2023-04-16;511,96;Rohdaten
2023-04-17;511,96;Rohdaten
2023-04-18;511,96;Rohdaten
2023-04-19;511,97;Rohdaten
2023-04-20;511,99;Rohdaten
2023-04-21;511,99;Rohdaten
2023-04-22;511,99;Rohdaten
2023-04-23;511,99;Rohdaten
2023-04-24;512,01;Rohdaten
2023-04-25;512,02;Rohdaten
2023-04-26;512,02;Rohdaten
2023-04-27;512,03;Rohdaten
2023-04-28;512,05;Rohdaten
2023-04-29;512,12;Rohdaten
2023-04-30;512,19;Rohdaten
2023-05-01;512,24;Rohdaten
2023-05-02;512,28;Rohdaten
2023-05-03;512,31;Rohdaten
2023-05-04;512,32;Rohdaten
2023-05-05;512,34;Rohdaten
2023-05-06;512,36;Rohdaten
2023-05-07;512,36;Rohdaten
2023-05-08;512,37;Rohdaten
2023-05-09;512,37;Rohdaten
2023-05-10;512,38;Rohdaten
2023-05-11;512,42;Rohdaten
2023-05-12;512,45;Rohdaten
2023-05-13;512,49;Rohdaten
2023-05-14;512,52;Rohdaten
2023-05-15;512,54;Rohdaten
2023-05-16;512,55;Rohdaten
2023-05-17;512,55;Rohdaten
2023-05-18;512,54;Rohdaten
2023-05-19;512,54;Rohdaten
2023-05-20;512,53;Rohdaten
2023-05-21;512,52;Rohdaten
2023-05-22;512,51;Rohdaten
2023-05-23;512,49;Rohdaten
2023-05-24;512,48;Rohdaten
2023-05-25;512,46;Rohdaten
2023-05-26;512,45;Rohdaten
2023-05-27;512,44;Rohdaten
2023-05-28;512,43;Rohdaten
2023-05-29;512,41;Rohdaten
2023-05-30;512,40;Rohdaten
2023-05-31;512,38;Rohdaten
2023-06-01;512,36;Rohdaten
2023-06-02;512,35;Rohdaten
2023-06-03;512,34;Rohdaten
2023-06-04;512,33;Rohdaten
2023-06-05;512,32;Rohdaten
2023-06-06;512,31;Rohdaten
2023-06-07;512,29;Rohdaten
2023-06-08;512,28;Rohdaten
2023-06-09;512,27;Rohdaten
2023-06-10;512,26;Rohdaten
2023-06-11;512,25;Rohdaten
2023-06-12;512,25;Rohdaten
2023-06-13;512,24;Rohdaten
2023-06-14;512,23;Rohdaten
2023-06-15;512,22;Rohdaten
2023-06-16;512,21;Rohdaten
2023-06-17;512,20;Rohdaten
2023-06-18;512,19;Rohdaten
2023-06-19;512,19;Rohdaten
2023-06-20;512,18;Rohdaten
2023-06-21;512,17;Rohdaten
2023-06-22;512,16;Rohdaten
2023-06-23;512,16;Rohdaten
2023-06-24;512,15;Rohdaten
2023-06-25;512,14;Rohdaten
2023-06-26;512,13;Rohdaten
2023-06-27;512,12;Rohdaten
2023-06-28;512,11;Rohdaten
2023-06-29;512,11;Rohdaten
2023-06-30;512,10;Rohdaten
2023-07-01;512,10;Rohdaten
2023-07-02;512,10;Rohdaten
2023-07-03;512,09;Rohdaten
2023-07-04;512,08;Rohdaten
2023-07-05;512,08;Rohdaten
2023-07-06;512,07;Rohdaten
