Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"OBERHACHING D 62"
Messstellen-Nr.:;16262
Ostwert:;693836;Nordwert:;5322087;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;567,97;Rohdaten
2023-01-02;567,97;Rohdaten
2023-01-03;567,97;Rohdaten
2023-01-04;567,97;Rohdaten
2023-01-05;567,97;Rohdaten
2023-01-06;567,97;Rohdaten
2023-01-07;567,97;Rohdaten
2023-01-08;567,97;Rohdaten
2023-01-09;567,97;Rohdaten
2023-01-10;567,97;Rohdaten
2023-01-11;567,97;Rohdaten
2023-01-12;567,97;Rohdaten
2023-01-13;567,96;Rohdaten
2023-01-14;567,96;Rohdaten
2023-01-15;567,96;Rohdaten
2023-01-16;567,96;Rohdaten
2023-01-17;567,96;Rohdaten
2023-01-18;567,96;Rohdaten
2023-01-19;567,96;Rohdaten
2023-01-20;567,96;Rohdaten
2023-01-21;567,96;Rohdaten
2023-01-22;567,97;Rohdaten
2023-01-23;567,97;Rohdaten
2023-01-24;567,97;Rohdaten
2023-01-25;567,97;Rohdaten
2023-01-26;567,97;Rohdaten
2023-01-27;567,97;Rohdaten
2023-01-28;567,97;Rohdaten
2023-01-29;567,97;Rohdaten
2023-01-30;567,97;Rohdaten
2023-01-31;567,97;Rohdaten
2023-02-01;567,97;Rohdaten
2023-02-02;567,97;Rohdaten
2023-02-03;567,97;Rohdaten
2023-02-04;567,96;Rohdaten
2023-02-05;567,96;Rohdaten
2023-02-06;567,96;Rohdaten
2023-02-07;567,96;Rohdaten
2023-02-08;567,96;Rohdaten
2023-02-09;567,96;Rohdaten
2023-02-10;567,95;Rohdaten
2023-02-11;567,95;Rohdaten
2023-02-12;567,95;Rohdaten
2023-02-13;567,94;Rohdaten
2023-02-14;567,94;Rohdaten
2023-02-15;567,94;Rohdaten
2023-02-16;567,93;Rohdaten
2023-02-17;567,93;Rohdaten
2023-02-18;567,93;Rohdaten
2023-02-19;567,92;Rohdaten
2023-02-20;567,92;Rohdaten
2023-02-21;567,92;Rohdaten
2023-02-22;567,91;Rohdaten
2023-02-23;567,91;Rohdaten
2023-02-24;567,91;Rohdaten
2023-02-25;567,91;Rohdaten
2023-02-26;567,91;Rohdaten
2023-02-27;567,91;Rohdaten
2023-02-28;567,90;Rohdaten
2023-03-01;567,90;Rohdaten
2023-03-02;567,89;Rohdaten
2023-03-03;567,89;Rohdaten
2023-03-04;567,89;Rohdaten
