Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"PLANEGG D 82"
Messstellen-Nr.:;16267
Ostwert:;680462;Nordwert:;5330726;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;531,11;Rohdaten
2023-11-02;531,10;Rohdaten
2023-11-03;531,10;Rohdaten
2023-11-04;531,10;Rohdaten
2023-11-05;531,09;Rohdaten
2023-11-06;531,08;Rohdaten
2023-11-07;531,07;Rohdaten
2023-11-08;531,06;Rohdaten
2023-11-09;531,06;Rohdaten
2023-11-10;531,05;Rohdaten
2023-11-11;531,04;Rohdaten
2023-11-12;531,03;Rohdaten
2023-11-13;531,03;Rohdaten
2023-11-14;531,03;Rohdaten
2023-11-15;531,06;Rohdaten
2023-11-16;531,08;Rohdaten
2023-11-17;531,09;Rohdaten
