Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;OBERSCHLEISSHEIM
Messstellen-Nr.:;16269
Ostwert:;689543;Nordwert:;5347649;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;476,24;Rohdaten
2023-01-02;476,25;Rohdaten
2023-01-03;476,25;Rohdaten
2023-01-04;476,26;Rohdaten
2023-01-05;476,27;Rohdaten
2023-01-06;476,27;Rohdaten
2023-01-07;476,28;Rohdaten
2023-01-08;476,28;Rohdaten
2023-01-09;476,28;Rohdaten
2023-01-10;476,29;Rohdaten
2023-01-11;476,29;Rohdaten
2023-01-12;476,29;Rohdaten
2023-01-13;476,29;Rohdaten
2023-01-14;476,29;Rohdaten
2023-01-15;476,29;Rohdaten
2023-01-16;476,29;Rohdaten
2023-01-17;476,29;Rohdaten
2023-01-18;476,29;Rohdaten
2023-01-19;476,29;Rohdaten
2023-01-20;476,29;Rohdaten
2023-01-21;476,28;Rohdaten
2023-01-22;476,28;Rohdaten
2023-01-23;476,28;Rohdaten
2023-01-24;476,27;Rohdaten
2023-01-25;476,27;Rohdaten
2023-01-26;476,27;Rohdaten
2023-01-27;476,27;Rohdaten
2023-01-28;476,26;Rohdaten
2023-01-29;476,26;Rohdaten
2023-01-30;476,25;Rohdaten
2023-01-31;476,25;Rohdaten
2023-02-01;476,24;Rohdaten
2023-02-02;476,24;Rohdaten
2023-02-03;476,24;Rohdaten
2023-02-04;476,24;Rohdaten
2023-02-05;476,24;Rohdaten
2023-02-06;476,23;Rohdaten
2023-02-07;476,23;Rohdaten
2023-02-08;476,22;Rohdaten
2023-02-09;476,21;Rohdaten
2023-02-10;476,21;Rohdaten
2023-02-11;476,20;Rohdaten
2023-02-12;476,20;Rohdaten
2023-02-13;476,19;Rohdaten
2023-02-14;476,19;Rohdaten
2023-02-15;476,18;Rohdaten
2023-02-16;476,17;Rohdaten
2023-02-17;476,17;Rohdaten
2023-02-18;476,16;Rohdaten
2023-02-19;476,15;Rohdaten
2023-02-20;476,15;Rohdaten
2023-02-21;476,15;Rohdaten
2023-02-22;476,14;Rohdaten
2023-02-23;476,13;Rohdaten
2023-02-24;476,13;Rohdaten
2023-02-25;476,14;Rohdaten
2023-02-26;476,14;Rohdaten
2023-02-27;476,13;Rohdaten
2023-02-28;476,12;Rohdaten
2023-03-01;476,12;Rohdaten
2023-03-02;476,11;Rohdaten
2023-03-03;476,11;Rohdaten
2023-03-04;476,10;Rohdaten
2023-03-05;476,10;Rohdaten
2023-03-06;476,09;Rohdaten
2023-03-07;476,08;Rohdaten
