Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Hochmutting Süd"
Messstellen-Nr.:;16273
Ostwert:;691890;Nordwert:;5345057;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2001-06-24;482,79;Rohdaten
2001-06-25;482,79;Rohdaten
2001-06-26;482,81;Rohdaten
2001-06-27;482,83;Rohdaten
2001-06-28;482,85;Rohdaten
2001-06-29;482,86;Rohdaten
2001-06-30;482,87;Rohdaten
2001-07-01;482,89;Rohdaten
2001-07-02;482,90;Rohdaten
2001-07-03;482,91;Rohdaten
2001-07-04;482,92;Rohdaten
2001-07-05;482,92;Rohdaten
2001-07-06;482,92;Rohdaten
2001-07-07;482,92;Rohdaten
2001-07-08;482,92;Rohdaten
2001-07-09;482,92;Rohdaten
2001-07-10;482,92;Rohdaten
2001-07-11;482,91;Rohdaten
2001-07-12;482,91;Rohdaten
2001-07-13;482,91;Rohdaten
2001-07-14;482,90;Rohdaten
2001-07-15;482,89;Rohdaten
2001-07-16;482,89;Rohdaten
2001-07-17;482,88;Rohdaten
2001-07-18;482,87;Rohdaten
2001-07-19;482,87;Rohdaten
2001-07-20;482,86;Rohdaten
2001-07-21;482,85;Rohdaten
2001-07-22;482,85;Rohdaten
2001-07-23;482,85;Rohdaten
2001-07-24;482,85;Rohdaten
2001-07-25;482,85;Rohdaten
2001-07-26;482,85;Rohdaten
2001-07-27;482,84;Rohdaten
2001-07-28;482,84;Rohdaten
2001-07-29;482,84;Rohdaten
2001-07-30;482,84;Rohdaten
2001-07-31;482,84;Rohdaten
2001-08-01;482,84;Rohdaten
2001-08-02;482,84;Rohdaten
2001-08-03;482,83;Rohdaten
2001-08-04;482,78;Rohdaten
2001-08-05;482,70;Rohdaten
2001-08-06;482,70;Rohdaten
2001-08-07;482,69;Rohdaten
2001-08-08;482,68;Rohdaten
2001-08-09;482,67;Rohdaten
2001-08-10;482,66;Rohdaten
2001-08-11;482,66;Rohdaten
2001-08-12;482,64;Rohdaten
2001-08-13;482,63;Rohdaten
2001-08-14;482,62;Rohdaten
2001-08-15;482,62;Rohdaten
2001-08-16;482,61;Rohdaten
2001-08-17;482,60;Rohdaten
2001-08-18;482,59;Rohdaten
2001-08-19;482,58;Rohdaten
2001-08-20;482,57;Rohdaten
2001-08-21;482,57;Rohdaten
2001-08-22;482,56;Rohdaten
2001-08-23;482,55;Rohdaten
2001-08-24;482,55;Rohdaten
2001-08-25;482,54;Rohdaten
2001-08-26;482,53;Rohdaten
2001-08-27;482,52;Rohdaten
2001-08-28;482,52;Rohdaten
2001-08-29;482,52;Rohdaten
2001-08-30;482,51;Rohdaten
2001-08-31;482,51;Rohdaten
2001-09-01;482,50;Rohdaten
2001-09-02;482,51;Rohdaten
2001-09-03;482,50;Rohdaten
2001-09-04;482,49;Rohdaten
2001-09-05;482,49;Rohdaten
2001-09-06;482,49;Rohdaten
2001-09-07;482,48;Rohdaten
2001-09-08;482,48;Rohdaten
2001-09-09;482,49;Rohdaten
2001-09-10;482,49;Rohdaten
2001-09-11;482,48;Rohdaten
2001-09-12;482,47;Rohdaten
2001-09-13;482,47;Rohdaten
2001-09-14;482,46;Rohdaten
2001-09-15;482,46;Rohdaten
2001-09-16;482,46;Rohdaten
2001-09-17;482,46;Rohdaten
2001-09-18;482,46;Rohdaten
2001-09-19;482,46;Rohdaten
2001-09-20;482,46;Rohdaten
2001-09-21;482,46;Rohdaten
2001-09-22;482,47;Rohdaten
2001-09-23;482,47;Rohdaten
2001-09-24;482,47;Rohdaten
2001-09-25;482,47;Rohdaten
2001-09-26;482,47;Rohdaten
2001-09-27;482,48;Rohdaten
2001-09-28;482,48;Rohdaten
2001-09-29;482,49;Rohdaten
2001-09-30;482,49;Rohdaten
2001-10-01;482,50;Rohdaten
2001-10-02;482,50;Rohdaten
2001-10-03;482,51;Rohdaten
2001-10-04;482,52;Rohdaten
2001-10-05;482,52;Rohdaten
2001-10-06;482,53;Rohdaten
2001-10-07;482,53;Rohdaten
2001-10-08;482,54;Rohdaten
2001-10-09;482,54;Rohdaten
2001-10-10;482,55;Rohdaten
2001-10-11;482,55;Rohdaten
2001-10-12;482,55;Rohdaten
2001-10-13;482,55;Rohdaten
2001-10-14;482,56;Rohdaten
2001-10-15;482,56;Rohdaten
