Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Siegertsbrunn 2"
Messstellen-Nr.:;16274
Ostwert:;704183;Nordwert:;5322959;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;549,63;Rohdaten
2023-11-02;549,63;Rohdaten
2023-11-03;549,62;Rohdaten
2023-11-04;549,62;Rohdaten
2023-11-05;549,62;Rohdaten
2023-11-06;549,61;Rohdaten
2023-11-07;549,61;Rohdaten
2023-11-08;549,60;Rohdaten
2023-11-09;549,59;Rohdaten
2023-11-10;549,59;Rohdaten
2023-11-11;549,58;Rohdaten
2023-11-12;549,58;Rohdaten
2023-11-13;549,57;Rohdaten
2023-11-14;549,57;Rohdaten
2023-11-15;549,57;Rohdaten
2023-11-16;549,56;Rohdaten
2023-11-17;549,56;Rohdaten
