Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Neuried 2"
Messstellen-Nr.:;16275
Ostwert:;682903;Nordwert:;5328804;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;551,63;Rohdaten
2023-01-02;551,63;Rohdaten
2023-01-03;551,63;Rohdaten
2023-01-04;551,63;Rohdaten
2023-01-05;551,64;Rohdaten
2023-01-06;551,64;Rohdaten
2023-01-07;551,64;Rohdaten
2023-01-08;551,65;Rohdaten
2023-01-09;551,65;Rohdaten
2023-01-10;551,66;Rohdaten
2023-01-11;551,66;Rohdaten
2023-01-12;551,67;Rohdaten
2023-01-13;551,67;Rohdaten
2023-01-14;551,67;Rohdaten
2023-01-15;551,68;Rohdaten
2023-01-16;551,68;Rohdaten
2023-01-17;551,68;Rohdaten
2023-01-18;551,69;Rohdaten
2023-01-19;551,69;Rohdaten
2023-01-20;551,69;Rohdaten
2023-01-21;551,69;Rohdaten
2023-01-22;551,70;Rohdaten
2023-01-23;551,70;Rohdaten
2023-01-24;551,70;Rohdaten
2023-01-25;551,70;Rohdaten
2023-01-26;551,70;Rohdaten
2023-01-27;551,70;Rohdaten
2023-01-28;551,71;Rohdaten
2023-01-29;551,71;Rohdaten
2023-01-30;551,71;Rohdaten
2023-01-31;551,71;Rohdaten
2023-02-01;551,71;Rohdaten
2023-02-02;551,71;Rohdaten
2023-02-03;551,72;Rohdaten
2023-02-04;551,72;Rohdaten
2023-02-05;551,72;Rohdaten
2023-02-06;551,72;Rohdaten
2023-02-07;551,72;Rohdaten
2023-02-08;551,72;Rohdaten
2023-02-09;551,72;Rohdaten
2023-02-10;551,73;Rohdaten
2023-02-11;551,73;Rohdaten
2023-02-12;551,73;Rohdaten
2023-02-13;551,73;Rohdaten
2023-02-14;551,73;Rohdaten
2023-02-15;551,73;Rohdaten
2023-02-16;551,73;Rohdaten
2023-02-17;551,73;Rohdaten
2023-02-18;551,73;Rohdaten
2023-02-19;551,73;Rohdaten
2023-02-20;551,73;Rohdaten
2023-02-21;551,73;Rohdaten
2023-02-22;551,73;Rohdaten
2023-02-23;551,74;Rohdaten
2023-02-24;551,74;Rohdaten
2023-02-25;551,74;Rohdaten
2023-02-26;551,75;Rohdaten
2023-02-27;551,75;Rohdaten
2023-02-28;551,75;Rohdaten
2023-03-01;551,75;Rohdaten
2023-03-02;551,75;Rohdaten
2023-03-03;551,75;Rohdaten
2023-03-04;551,75;Rohdaten
2023-03-05;551,75;Rohdaten
2023-03-06;551,76;Rohdaten
2023-03-07;551,76;Rohdaten
2023-03-08;551,76;Rohdaten
2023-03-09;551,76;Rohdaten
2023-03-10;551,76;Rohdaten
2023-03-11;551,77;Rohdaten
2023-03-12;551,77;Rohdaten
2023-03-13;551,77;Rohdaten
2023-03-14;551,77;Rohdaten
2023-03-15;551,77;Rohdaten
2023-03-16;551,77;Rohdaten
2023-03-17;551,78;Rohdaten
2023-03-18;551,78;Rohdaten
