Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Neuried 2"
Messstellen-Nr.:;16275
Ostwert:;682903;Nordwert:;5328804;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2002-03-21;552,37;Rohdaten
2002-03-22;552,37;Rohdaten
2002-03-23;552,37;Rohdaten
2002-03-24;552,37;Rohdaten
2002-03-25;552,37;Rohdaten
2002-03-26;552,37;Rohdaten
2002-03-27;552,37;Rohdaten
2002-03-28;552,37;Rohdaten
2002-03-29;552,38;Rohdaten
2002-03-30;552,39;Rohdaten
2002-03-31;552,40;Rohdaten
2002-04-01;552,41;Rohdaten
2002-04-02;552,41;Rohdaten
2002-04-03;552,41;Rohdaten
2002-04-04;552,42;Rohdaten
2002-04-05;552,42;Rohdaten
2002-04-06;552,42;Rohdaten
2002-04-07;552,42;Rohdaten
2002-04-08;552,42;Rohdaten
2002-04-09;552,42;Rohdaten
2002-04-10;552,42;Rohdaten
2002-04-11;552,42;Rohdaten
2002-04-12;552,42;Rohdaten
2002-04-13;552,42;Rohdaten
2002-04-14;552,42;Rohdaten
2002-04-15;552,42;Rohdaten
2002-04-16;552,42;Rohdaten
2002-04-17;552,42;Rohdaten
2002-04-18;552,42;Rohdaten
2002-04-19;552,42;Rohdaten
2002-04-20;552,42;Rohdaten
2002-04-21;552,42;Rohdaten
2002-04-22;552,42;Rohdaten
2002-04-23;552,42;Rohdaten
2002-04-24;552,42;Rohdaten
2002-04-25;552,42;Rohdaten
2002-04-26;552,42;Rohdaten
2002-04-27;552,42;Rohdaten
2002-04-28;552,42;Rohdaten
2002-04-29;552,42;Rohdaten
2002-04-30;552,42;Rohdaten
2002-05-01;552,43;Rohdaten
2002-05-02;552,43;Rohdaten
2002-05-03;552,43;Rohdaten
2002-05-04;552,43;Rohdaten
2002-05-05;552,43;Rohdaten
2002-05-06;552,43;Rohdaten
2002-05-07;552,43;Rohdaten
2002-05-08;552,43;Rohdaten
2002-05-09;552,43;Rohdaten
2002-05-10;552,43;Rohdaten
2002-05-11;552,43;Rohdaten
2002-05-12;552,44;Rohdaten
2002-05-13;552,44;Rohdaten
2002-05-14;552,44;Rohdaten
2002-05-15;552,44;Rohdaten
2002-05-16;552,44;Rohdaten
2002-05-17;552,44;Rohdaten
2002-05-18;552,44;Rohdaten
2002-05-19;552,47;Rohdaten
2002-05-20;552,47;Rohdaten
2002-05-21;552,47;Rohdaten
2002-05-22;552,47;Rohdaten
2002-05-23;552,48;Rohdaten
2002-05-24;;Rohdaten
2002-05-25;;Rohdaten
2002-05-26;;Rohdaten
2002-05-27;;Rohdaten
2002-05-28;;Rohdaten
2002-05-29;;Rohdaten
2002-05-30;;Rohdaten
2002-05-31;;Rohdaten
2002-06-01;;Rohdaten
2002-06-02;;Rohdaten
2002-06-03;;Rohdaten
2002-06-04;;Rohdaten
2002-06-05;552,48;Rohdaten
2002-06-06;552,48;Rohdaten
2002-06-07;552,48;Rohdaten
2002-06-08;552,48;Rohdaten
2002-06-09;552,48;Rohdaten
2002-06-10;552,48;Rohdaten
2002-06-11;552,48;Rohdaten
2002-06-12;552,48;Rohdaten
2002-06-13;552,48;Rohdaten
2002-06-14;552,47;Rohdaten
2002-06-15;552,47;Rohdaten
2002-06-16;552,47;Rohdaten
2002-06-17;552,47;Rohdaten
2002-06-18;552,47;Rohdaten
2002-06-19;552,47;Rohdaten
2002-06-20;552,46;Rohdaten
2002-06-21;552,46;Rohdaten
2002-06-22;552,46;Rohdaten
2002-06-23;552,46;Rohdaten
2002-06-24;552,46;Rohdaten
2002-06-25;552,46;Rohdaten
2002-06-26;552,46;Rohdaten
2002-06-27;552,46;Rohdaten
2002-06-28;552,46;Rohdaten
2002-06-29;552,46;Rohdaten
2002-06-30;552,46;Rohdaten
2002-07-01;552,46;Rohdaten
2002-07-02;552,46;Rohdaten
2002-07-03;552,46;Rohdaten
2002-07-04;552,46;Rohdaten
2002-07-05;552,46;Rohdaten
2002-07-06;552,46;Rohdaten
2002-07-07;552,47;Rohdaten
2002-07-08;552,47;Rohdaten
2002-07-09;552,47;Rohdaten
2002-07-10;552,47;Rohdaten
2002-07-11;552,47;Rohdaten
2002-07-12;552,47;Rohdaten
2002-07-13;552,47;Rohdaten
2002-07-14;552,47;Rohdaten
