Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"JOHANNESKIRCHEN KPA 222"
Messstellen-Nr.:;16277
Ostwert:;696784;Nordwert:;5338502;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;506,61;Rohdaten
2023-01-02;506,61;Rohdaten
2023-01-03;506,60;Rohdaten
2023-01-04;506,60;Rohdaten
2023-01-05;506,60;Rohdaten
2023-01-06;506,60;Rohdaten
2023-01-07;506,59;Rohdaten
2023-01-08;506,59;Rohdaten
2023-01-09;506,58;Rohdaten
2023-01-10;506,58;Rohdaten
2023-01-11;506,57;Rohdaten
2023-01-12;506,57;Rohdaten
2023-01-13;506,56;Rohdaten
2023-01-14;506,56;Rohdaten
2023-01-15;506,55;Rohdaten
2023-01-16;506,55;Rohdaten
2023-01-17;506,54;Rohdaten
2023-01-18;506,53;Rohdaten
2023-01-19;506,52;Rohdaten
2023-01-20;506,52;Rohdaten
2023-01-21;506,51;Rohdaten
2023-01-22;506,50;Rohdaten
2023-01-23;506,49;Rohdaten
2023-01-24;506,48;Rohdaten
2023-01-25;506,48;Rohdaten
2023-01-26;506,47;Rohdaten
2023-01-27;506,46;Rohdaten
2023-01-28;506,46;Rohdaten
2023-01-29;506,45;Rohdaten
2023-01-30;506,44;Rohdaten
2023-01-31;506,44;Rohdaten
2023-02-01;506,43;Rohdaten
2023-02-02;506,43;Rohdaten
2023-02-03;506,43;Rohdaten
2023-02-04;506,42;Rohdaten
2023-02-05;506,42;Rohdaten
2023-02-06;506,41;Rohdaten
2023-02-07;506,41;Rohdaten
2023-02-08;506,40;Rohdaten
2023-02-09;506,40;Rohdaten
2023-02-10;506,39;Rohdaten
2023-02-11;506,38;Rohdaten
2023-02-12;506,38;Rohdaten
2023-02-13;506,37;Rohdaten
2023-02-14;506,37;Rohdaten
2023-02-15;506,36;Rohdaten
2023-02-16;506,36;Rohdaten
