Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"GARCHING 2"
Messstellen-Nr.:;16282
Ostwert:;695999;Nordwert:;5347584;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;476,79;Rohdaten
2023-11-02;476,78;Rohdaten
2023-11-03;476,80;Rohdaten
2023-11-04;476,79;Rohdaten
2023-11-05;476,79;Rohdaten
2023-11-06;476,78;Rohdaten
2023-11-07;476,78;Rohdaten
2023-11-08;476,77;Rohdaten
2023-11-09;476,77;Rohdaten
2023-11-10;476,76;Rohdaten
2023-11-11;476,75;Rohdaten
2023-11-12;476,75;Rohdaten
2023-11-13;476,77;Rohdaten
2023-11-14;476,78;Rohdaten
2023-11-15;476,80;Rohdaten
2023-11-16;476,80;Rohdaten
2023-11-17;476,85;Rohdaten
