Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Grünwald Q 6"
Messstellen-Nr.:;16290
Ostwert:;688204;Nordwert:;5321889;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;574,88;Rohdaten
2023-11-02;574,88;Rohdaten
2023-11-03;574,88;Rohdaten
2023-11-04;574,88;Rohdaten
2023-11-05;574,88;Rohdaten
2023-11-06;574,88;Rohdaten
2023-11-07;574,88;Rohdaten
2023-11-08;574,88;Rohdaten
2023-11-09;574,88;Rohdaten
2023-11-10;574,88;Rohdaten
2023-11-11;574,87;Rohdaten
2023-11-12;574,87;Rohdaten
2023-11-13;574,87;Rohdaten
2023-11-14;574,87;Rohdaten
2023-11-15;574,87;Rohdaten
2023-11-16;574,87;Rohdaten
2023-11-17;574,87;Rohdaten
