Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Unterbiberg Q 7"
Messstellen-Nr.:;16292
Ostwert:;696546;Nordwert:;5328842;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;530,59;Rohdaten
2023-01-02;530,59;Rohdaten
2023-01-03;530,59;Rohdaten
2023-01-04;530,59;Rohdaten
2023-01-05;530,59;Rohdaten
2023-01-06;530,60;Rohdaten
2023-01-07;530,60;Rohdaten
2023-01-08;530,60;Rohdaten
2023-01-09;530,60;Rohdaten
2023-01-10;530,61;Rohdaten
2023-01-11;530,61;Rohdaten
2023-01-12;530,61;Rohdaten
2023-01-13;530,62;Rohdaten
2023-01-14;530,62;Rohdaten
2023-01-15;530,62;Rohdaten
2023-01-16;530,62;Rohdaten
2023-01-17;530,62;Rohdaten
2023-01-18;530,62;Rohdaten
2023-01-19;530,62;Rohdaten
2023-01-20;530,62;Rohdaten
2023-01-21;530,61;Rohdaten
2023-01-22;530,61;Rohdaten
2023-01-23;530,61;Rohdaten
2023-01-24;530,61;Rohdaten
2023-01-25;530,61;Rohdaten
2023-01-26;530,61;Rohdaten
2023-01-27;530,60;Rohdaten
2023-01-28;530,60;Rohdaten
2023-01-29;530,60;Rohdaten
2023-01-30;530,59;Rohdaten
2023-01-31;530,59;Rohdaten
2023-02-01;530,58;Rohdaten
2023-02-02;530,58;Rohdaten
2023-02-03;530,58;Rohdaten
2023-02-04;530,57;Rohdaten
2023-02-05;530,57;Rohdaten
2023-02-06;530,56;Rohdaten
2023-02-07;530,56;Rohdaten
2023-02-08;530,55;Rohdaten
2023-02-09;530,55;Rohdaten
2023-02-10;530,54;Rohdaten
2023-02-11;530,54;Rohdaten
2023-02-12;530,53;Rohdaten
2023-02-13;530,53;Rohdaten
2023-02-14;530,52;Rohdaten
2023-02-15;530,52;Rohdaten
2023-02-16;530,51;Rohdaten
2023-02-17;530,50;Rohdaten
2023-02-18;530,50;Rohdaten
2023-02-19;530,49;Rohdaten
2023-02-20;530,49;Rohdaten
2023-02-21;530,48;Rohdaten
2023-02-22;530,48;Rohdaten
2023-02-23;530,47;Rohdaten
2023-02-24;530,46;Rohdaten
2023-02-25;530,47;Rohdaten
2023-02-26;530,47;Rohdaten
2023-02-27;530,46;Rohdaten
2023-02-28;530,45;Rohdaten
2023-03-01;530,44;Rohdaten
2023-03-02;530,43;Rohdaten
2023-03-03;530,43;Rohdaten
2023-03-04;530,42;Rohdaten
2023-03-05;530,41;Rohdaten
2023-03-06;530,41;Rohdaten
2023-03-07;530,40;Rohdaten
2023-03-08;530,39;Rohdaten
2023-03-09;530,39;Rohdaten
2023-03-10;530,38;Rohdaten
2023-03-11;530,37;Rohdaten
2023-03-12;530,36;Rohdaten
2023-03-13;530,36;Rohdaten
2023-03-14;530,35;Rohdaten
2023-03-15;530,34;Rohdaten
2023-03-16;530,34;Rohdaten
2023-03-17;530,33;Rohdaten
2023-03-18;530,32;Rohdaten
2023-03-19;530,31;Rohdaten
2023-03-20;530,31;Rohdaten
2023-03-21;530,30;Rohdaten
2023-03-22;530,29;Rohdaten
2023-03-23;530,28;Rohdaten
2023-03-24;530,28;Rohdaten
2023-03-25;530,27;Rohdaten
2023-03-26;530,26;Rohdaten
2023-03-27;530,26;Rohdaten
2023-03-28;530,25;Rohdaten
2023-03-29;530,24;Rohdaten
2023-03-30;530,24;Rohdaten
2023-03-31;530,24;Rohdaten
2023-04-01;530,24;Rohdaten
2023-04-02;530,23;Rohdaten
2023-04-03;530,22;Rohdaten
2023-04-04;530,21;Rohdaten
2023-04-05;530,21;Rohdaten
2023-04-06;530,20;Rohdaten
2023-04-07;530,19;Rohdaten
2023-04-08;530,19;Rohdaten
2023-04-09;530,18;Rohdaten
2023-04-10;530,17;Rohdaten
2023-04-11;530,15;Rohdaten
2023-04-12;530,14;Rohdaten
2023-04-13;530,16;Rohdaten
2023-04-14;530,16;Rohdaten
2023-04-15;530,18;Rohdaten
2023-04-16;530,17;Rohdaten
2023-04-17;530,17;Rohdaten
2023-04-18;530,17;Rohdaten
2023-04-19;530,17;Rohdaten
2023-04-20;530,18;Rohdaten
2023-04-21;530,18;Rohdaten
2023-04-22;530,18;Rohdaten
2023-04-23;530,18;Rohdaten
2023-04-24;530,18;Rohdaten
2023-04-25;530,19;Rohdaten
2023-04-26;530,19;Rohdaten
2023-04-27;530,20;Rohdaten
2023-04-28;530,20;Rohdaten
2023-04-29;530,23;Rohdaten
2023-04-30;530,23;Rohdaten
2023-05-01;530,24;Rohdaten
2023-05-02;530,25;Rohdaten
2023-05-03;530,26;Rohdaten
2023-05-04;530,27;Rohdaten
2023-05-05;530,28;Rohdaten
2023-05-06;530,30;Rohdaten
2023-05-07;530,30;Rohdaten
2023-05-08;530,31;Rohdaten
2023-05-09;530,32;Rohdaten
2023-05-10;530,33;Rohdaten
2023-05-11;530,37;Rohdaten
2023-05-12;530,41;Rohdaten
2023-05-13;530,41;Rohdaten
2023-05-14;530,43;Rohdaten
2023-05-15;530,45;Rohdaten
2023-05-16;530,48;Rohdaten
2023-05-17;530,52;Rohdaten
2023-05-18;530,55;Rohdaten
2023-05-19;530,56;Rohdaten
2023-05-20;530,58;Rohdaten
2023-05-21;530,60;Rohdaten
2023-05-22;530,62;Rohdaten
2023-05-23;530,63;Rohdaten
2023-05-24;530,65;Rohdaten
2023-05-25;530,66;Rohdaten
2023-05-26;530,68;Rohdaten
2023-05-27;530,69;Rohdaten
2023-05-28;530,71;Rohdaten
2023-05-29;530,72;Rohdaten
2023-05-30;530,74;Rohdaten
2023-05-31;530,75;Rohdaten
2023-06-01;530,76;Rohdaten
2023-06-02;530,77;Rohdaten
2023-06-03;530,77;Rohdaten
2023-06-04;530,78;Rohdaten
2023-06-05;530,79;Rohdaten
2023-06-06;530,80;Rohdaten
2023-06-07;530,80;Rohdaten
2023-06-08;530,81;Rohdaten
2023-06-09;530,82;Rohdaten
2023-06-10;530,83;Rohdaten
2023-06-11;530,83;Rohdaten
2023-06-12;530,84;Rohdaten
2023-06-13;530,84;Rohdaten
2023-06-14;530,85;Rohdaten
2023-06-15;530,85;Rohdaten
2023-06-16;530,85;Rohdaten
2023-06-17;530,86;Rohdaten
2023-06-18;530,86;Rohdaten
2023-06-19;530,86;Rohdaten
2023-06-20;530,87;Rohdaten
2023-06-21;530,87;Rohdaten
2023-06-22;530,88;Rohdaten
2023-06-23;530,89;Rohdaten
2023-06-24;530,89;Rohdaten
2023-06-25;530,89;Rohdaten
2023-06-26;530,89;Rohdaten
2023-06-27;530,89;Rohdaten
2023-06-28;530,89;Rohdaten
2023-06-29;530,90;Rohdaten
2023-06-30;530,90;Rohdaten
2023-07-01;530,93;Rohdaten
2023-07-02;530,92;Rohdaten
2023-07-03;530,92;Rohdaten
2023-07-04;530,92;Rohdaten
2023-07-05;530,92;Rohdaten
2023-07-06;530,92;Rohdaten
2023-07-07;530,93;Rohdaten
2023-07-08;530,93;Rohdaten
2023-07-09;530,93;Rohdaten
2023-07-10;530,93;Rohdaten
2023-07-11;530,92;Rohdaten
2023-07-12;530,92;Rohdaten
2023-07-13;530,93;Rohdaten
2023-07-14;530,93;Rohdaten
2023-07-15;530,93;Rohdaten
2023-07-16;530,93;Rohdaten
2023-07-17;530,94;Rohdaten
2023-07-18;530,95;Rohdaten
2023-07-19;530,94;Rohdaten
2023-07-20;530,94;Rohdaten
2023-07-21;530,94;Rohdaten
2023-07-22;530,94;Rohdaten
2023-07-23;530,94;Rohdaten
2023-07-24;530,94;Rohdaten
2023-07-25;530,94;Rohdaten
2023-07-26;530,94;Rohdaten
2023-07-27;530,94;Rohdaten
2023-07-28;530,93;Rohdaten
2023-07-29;530,93;Rohdaten
2023-07-30;530,93;Rohdaten
2023-07-31;530,92;Rohdaten
2023-08-01;530,91;Rohdaten
2023-08-02;530,91;Rohdaten
2023-08-03;530,90;Rohdaten
2023-08-04;530,89;Rohdaten
2023-08-05;530,89;Rohdaten
2023-08-06;530,90;Rohdaten
2023-08-07;530,90;Rohdaten
2023-08-08;530,89;Rohdaten
2023-08-09;530,89;Rohdaten
2023-08-10;530,89;Rohdaten
2023-08-11;530,88;Rohdaten
2023-08-12;530,88;Rohdaten
2023-08-13;530,87;Rohdaten
2023-08-14;530,87;Rohdaten
2023-08-15;530,86;Rohdaten
2023-08-16;530,88;Rohdaten
2023-08-17;530,86;Rohdaten
2023-08-18;530,85;Rohdaten
2023-08-19;530,85;Rohdaten
2023-08-20;530,85;Rohdaten
2023-08-21;530,84;Rohdaten
2023-08-22;530,82;Rohdaten
