Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Unterbiberg Q 7"
Messstellen-Nr.:;16292
Ostwert:;696546;Nordwert:;5328842;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2007-05-22;531,34;Rohdaten
2007-05-23;;Rohdaten
2007-05-24;;Rohdaten
2007-05-25;;Rohdaten
2007-05-26;;Rohdaten
2007-05-27;;Rohdaten
2007-05-28;;Rohdaten
2007-05-29;;Rohdaten
2007-05-30;;Rohdaten
2007-05-31;;Rohdaten
2007-06-01;;Rohdaten
2007-06-02;;Rohdaten
2007-06-03;;Rohdaten
2007-06-04;;Rohdaten
2007-06-05;;Rohdaten
2007-06-06;;Rohdaten
2007-06-07;;Rohdaten
2007-06-08;;Rohdaten
2007-06-09;531,68;Rohdaten
2007-06-10;531,69;Rohdaten
2007-06-11;;Rohdaten
2007-06-12;;Rohdaten
2007-06-13;531,74;Rohdaten
2007-06-14;531,77;Rohdaten
2007-06-15;;Rohdaten
2007-06-16;531,81;Rohdaten
2007-06-17;531,83;Rohdaten
2007-06-18;531,83;Rohdaten
2007-06-19;531,82;Rohdaten
2007-06-20;531,82;Rohdaten
2007-06-21;531,84;Rohdaten
2007-06-22;;Rohdaten
2007-06-23;531,88;Rohdaten
2007-06-24;531,89;Rohdaten
2007-06-25;531,90;Rohdaten
2007-06-26;531,92;Rohdaten
2007-06-27;;Rohdaten
2007-06-28;531,94;Rohdaten
2007-06-29;531,95;Rohdaten
2007-06-30;531,96;Rohdaten
2007-07-01;531,96;Rohdaten
2007-07-02;;Rohdaten
2007-07-03;532,00;Rohdaten
2007-07-04;532,01;Rohdaten
2007-07-05;;Rohdaten
2007-07-06;532,03;Rohdaten
2007-07-07;532,03;Rohdaten
2007-07-08;532,04;Rohdaten
2007-07-09;;Rohdaten
2007-07-10;532,08;Rohdaten
2007-07-11;532,08;Rohdaten
2007-07-12;532,09;Rohdaten
2007-07-13;532,10;Rohdaten
2007-07-14;532,10;Rohdaten
2007-07-15;532,11;Rohdaten
2007-07-16;532,11;Rohdaten
2007-07-17;532,11;Rohdaten
2007-07-18;532,11;Rohdaten
2007-07-19;532,11;Rohdaten
2007-07-20;532,12;Rohdaten
2007-07-21;532,21;Rohdaten
2007-07-22;532,24;Rohdaten
2007-07-23;532,26;Rohdaten
2007-07-24;532,28;Rohdaten
2007-07-25;532,31;Rohdaten
2007-07-26;532,33;Rohdaten
2007-07-27;532,36;Rohdaten
2007-07-28;532,38;Rohdaten
2007-07-29;532,40;Rohdaten
2007-07-30;532,44;Rohdaten
2007-07-31;532,45;Rohdaten
2007-08-01;532,47;Rohdaten
2007-08-02;532,48;Rohdaten
2007-08-03;532,49;Rohdaten
2007-08-04;532,51;Rohdaten
2007-08-05;532,52;Rohdaten
2007-08-06;532,53;Rohdaten
2007-08-07;532,54;Rohdaten
2007-08-08;532,56;Rohdaten
2007-08-09;532,57;Rohdaten
2007-08-10;;Rohdaten
2007-08-11;532,59;Rohdaten
2007-08-12;;Rohdaten
2007-08-13;;Rohdaten
2007-08-14;;Rohdaten
2007-08-15;;Rohdaten
2007-08-16;;Rohdaten
2007-08-17;;Rohdaten
2007-08-18;;Rohdaten
2007-08-19;;Rohdaten
2007-08-20;;Rohdaten
2007-08-21;;Rohdaten
2007-08-22;;Rohdaten
2007-08-23;;Rohdaten
2007-08-24;;Rohdaten
2007-08-25;;Rohdaten
2007-08-26;;Rohdaten
2007-08-27;;Rohdaten
2007-08-28;;Rohdaten
2007-08-29;;Rohdaten
2007-08-30;532,76;Rohdaten
2007-08-31;532,76;Rohdaten
2007-09-01;532,76;Rohdaten
2007-09-02;532,76;Rohdaten
2007-09-03;;Rohdaten
2007-09-04;;Rohdaten
2007-09-05;;Rohdaten
2007-09-06;;Rohdaten
2007-09-07;532,82;Rohdaten
2007-09-08;532,82;Rohdaten
2007-09-09;532,83;Rohdaten
2007-09-10;;Rohdaten
2007-09-11;532,85;Rohdaten
2007-09-12;532,86;Rohdaten
2007-09-13;532,86;Rohdaten
2007-09-14;532,87;Rohdaten
2007-09-15;532,87;Rohdaten
2007-09-16;532,88;Rohdaten
2007-09-17;;Rohdaten
2007-09-18;532,89;Rohdaten
2007-09-19;532,90;Rohdaten
