Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Sauerlach Q 9"
Messstellen-Nr.:;16293
Ostwert:;699538;Nordwert:;5318863;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;567,88;Rohdaten
2023-01-02;567,88;Rohdaten
2023-01-03;567,87;Rohdaten
2023-01-04;567,87;Rohdaten
2023-01-05;567,87;Rohdaten
2023-01-06;567,86;Rohdaten
2023-01-07;567,86;Rohdaten
2023-01-08;567,86;Rohdaten
2023-01-09;567,86;Rohdaten
2023-01-10;567,85;Rohdaten
2023-01-11;567,85;Rohdaten
2023-01-12;567,85;Rohdaten
2023-01-13;567,85;Rohdaten
2023-01-14;567,85;Rohdaten
2023-01-15;567,85;Rohdaten
2023-01-16;567,84;Rohdaten
2023-01-17;567,84;Rohdaten
2023-01-18;567,84;Rohdaten
2023-01-19;567,84;Rohdaten
2023-01-20;567,84;Rohdaten
2023-01-21;567,84;Rohdaten
2023-01-22;567,84;Rohdaten
2023-01-23;567,84;Rohdaten
2023-01-24;567,84;Rohdaten
2023-01-25;567,84;Rohdaten
2023-01-26;567,84;Rohdaten
2023-01-27;567,84;Rohdaten
2023-01-28;567,84;Rohdaten
2023-01-29;567,84;Rohdaten
2023-01-30;567,84;Rohdaten
2023-01-31;567,84;Rohdaten
2023-02-01;567,84;Rohdaten
2023-02-02;567,84;Rohdaten
2023-02-03;567,84;Rohdaten
2023-02-04;567,84;Rohdaten
2023-02-05;567,84;Rohdaten
2023-02-06;567,84;Rohdaten
2023-02-07;567,83;Rohdaten
2023-02-08;567,83;Rohdaten
2023-02-09;567,83;Rohdaten
2023-02-10;567,83;Rohdaten
2023-02-11;567,83;Rohdaten
2023-02-12;567,83;Rohdaten
2023-02-13;567,83;Rohdaten
2023-02-14;567,83;Rohdaten
2023-02-15;567,82;Rohdaten
2023-02-16;567,82;Rohdaten
2023-02-17;567,82;Rohdaten
2023-02-18;567,82;Rohdaten
2023-02-19;567,82;Rohdaten
2023-02-20;567,81;Rohdaten
2023-02-21;567,81;Rohdaten
2023-02-22;567,81;Rohdaten
2023-02-23;567,81;Rohdaten
2023-02-24;567,80;Rohdaten
2023-02-25;567,80;Rohdaten
2023-02-26;567,80;Rohdaten
2023-02-27;567,80;Rohdaten
2023-02-28;567,79;Rohdaten
2023-03-01;567,79;Rohdaten
2023-03-02;567,79;Rohdaten
2023-03-03;567,78;Rohdaten
2023-03-04;567,78;Rohdaten
2023-03-05;567,78;Rohdaten
2023-03-06;567,77;Rohdaten
2023-03-07;567,77;Rohdaten
2023-03-08;567,77;Rohdaten
2023-03-09;567,76;Rohdaten
2023-03-10;567,76;Rohdaten
2023-03-11;567,76;Rohdaten
2023-03-12;567,75;Rohdaten
2023-03-13;567,75;Rohdaten
2023-03-14;567,75;Rohdaten
2023-03-15;567,74;Rohdaten
2023-03-16;567,74;Rohdaten
2023-03-17;567,74;Rohdaten
2023-03-18;567,73;Rohdaten
2023-03-19;567,73;Rohdaten
2023-03-20;567,73;Rohdaten
2023-03-21;567,72;Rohdaten
2023-03-22;567,72;Rohdaten
2023-03-23;567,71;Rohdaten
2023-03-24;567,71;Rohdaten
2023-03-25;567,71;Rohdaten
2023-03-26;567,70;Rohdaten
2023-03-27;567,70;Rohdaten
2023-03-28;567,70;Rohdaten
2023-03-29;567,69;Rohdaten
2023-03-30;567,69;Rohdaten
2023-03-31;567,69;Rohdaten
2023-04-01;567,68;Rohdaten
2023-04-02;567,68;Rohdaten
2023-04-03;567,68;Rohdaten
2023-04-04;567,67;Rohdaten
2023-04-05;567,67;Rohdaten
2023-04-06;567,66;Rohdaten
2023-04-07;567,66;Rohdaten
2023-04-08;567,66;Rohdaten
2023-04-09;567,65;Rohdaten
2023-04-10;567,65;Rohdaten
2023-04-11;567,65;Rohdaten
2023-04-12;567,64;Rohdaten
2023-04-13;567,64;Rohdaten
2023-04-14;567,64;Rohdaten
2023-04-15;567,63;Rohdaten
2023-04-16;567,63;Rohdaten
2023-04-17;567,63;Rohdaten
2023-04-18;567,62;Rohdaten
2023-04-19;567,62;Rohdaten
2023-04-20;567,62;Rohdaten
2023-04-21;567,61;Rohdaten
2023-04-22;567,61;Rohdaten
2023-04-23;567,61;Rohdaten
2023-04-24;567,61;Rohdaten
2023-04-25;567,60;Rohdaten
2023-04-26;567,60;Rohdaten
2023-04-27;567,60;Rohdaten
2023-04-28;567,60;Rohdaten
2023-04-29;567,60;Rohdaten
2023-04-30;567,59;Rohdaten
2023-05-01;567,59;Rohdaten
2023-05-02;567,59;Rohdaten
2023-05-03;567,59;Rohdaten
2023-05-04;567,59;Rohdaten
2023-05-05;567,59;Rohdaten
2023-05-06;567,59;Rohdaten
2023-05-07;567,59;Rohdaten
2023-05-08;567,59;Rohdaten
2023-05-09;567,59;Rohdaten
2023-05-10;567,59;Rohdaten
2023-05-11;567,59;Rohdaten
2023-05-12;567,59;Rohdaten
2023-05-13;567,60;Rohdaten
2023-05-14;567,60;Rohdaten
2023-05-15;567,60;Rohdaten
2023-05-16;567,61;Rohdaten
2023-05-17;567,61;Rohdaten
2023-05-18;567,62;Rohdaten
2023-05-19;567,62;Rohdaten
2023-05-20;567,63;Rohdaten
2023-05-21;567,63;Rohdaten
2023-05-22;567,64;Rohdaten
2023-05-23;567,65;Rohdaten
2023-05-24;567,65;Rohdaten
2023-05-25;567,66;Rohdaten
2023-05-26;567,67;Rohdaten
2023-05-27;567,68;Rohdaten
2023-05-28;567,69;Rohdaten
2023-05-29;567,70;Rohdaten
2023-05-30;567,71;Rohdaten
2023-05-31;567,72;Rohdaten
2023-06-01;567,73;Rohdaten
2023-06-02;567,74;Rohdaten
2023-06-03;567,75;Rohdaten
2023-06-04;567,77;Rohdaten
2023-06-05;567,78;Rohdaten
2023-06-06;567,79;Rohdaten
2023-06-07;567,80;Rohdaten
2023-06-08;567,81;Rohdaten
2023-06-09;567,82;Rohdaten
2023-06-10;567,83;Rohdaten
2023-06-11;567,84;Rohdaten
2023-06-12;567,85;Rohdaten
2023-06-13;567,86;Rohdaten
2023-06-14;567,87;Rohdaten
2023-06-15;567,88;Rohdaten
2023-06-16;567,89;Rohdaten
2023-06-17;567,90;Rohdaten
2023-06-18;567,91;Rohdaten
2023-06-19;567,91;Rohdaten
2023-06-20;567,92;Rohdaten
2023-06-21;567,93;Rohdaten
2023-06-22;567,93;Rohdaten
2023-06-23;567,94;Rohdaten
2023-06-24;567,95;Rohdaten
2023-06-25;567,95;Rohdaten
2023-06-26;567,96;Rohdaten
2023-06-27;567,96;Rohdaten
2023-06-28;567,97;Rohdaten
2023-06-29;567,97;Rohdaten
2023-06-30;567,98;Rohdaten
2023-07-01;567,98;Rohdaten
2023-07-02;567,98;Rohdaten
2023-07-03;567,99;Rohdaten
2023-07-04;567,99;Rohdaten
2023-07-05;567,99;Rohdaten
2023-07-06;568,00;Rohdaten
2023-07-07;568,00;Rohdaten
2023-07-08;568,00;Rohdaten
2023-07-09;568,00;Rohdaten
2023-07-10;568,00;Rohdaten
2023-07-11;568,00;Rohdaten
2023-07-12;568,00;Rohdaten
2023-07-13;568,01;Rohdaten
2023-07-14;568,01;Rohdaten
2023-07-15;568,01;Rohdaten
2023-07-16;568,01;Rohdaten
2023-07-17;568,01;Rohdaten
2023-07-18;568,01;Rohdaten
2023-07-19;568,01;Rohdaten
2023-07-20;568,01;Rohdaten
2023-07-21;568,01;Rohdaten
2023-07-22;568,00;Rohdaten
2023-07-23;568,00;Rohdaten
2023-07-24;568,00;Rohdaten
2023-07-25;568,00;Rohdaten
2023-07-26;568,00;Rohdaten
2023-07-27;568,00;Rohdaten
2023-07-28;567,99;Rohdaten
2023-07-29;567,99;Rohdaten
2023-07-30;567,99;Rohdaten
2023-07-31;567,99;Rohdaten
2023-08-01;567,99;Rohdaten
2023-08-02;567,98;Rohdaten
2023-08-03;567,98;Rohdaten
2023-08-04;567,98;Rohdaten
2023-08-05;567,98;Rohdaten
2023-08-06;567,98;Rohdaten
2023-08-07;567,97;Rohdaten
2023-08-08;567,97;Rohdaten
2023-08-09;567,97;Rohdaten
2023-08-10;567,97;Rohdaten
2023-08-11;567,96;Rohdaten
2023-08-12;567,96;Rohdaten
2023-08-13;567,96;Rohdaten
2023-08-14;567,96;Rohdaten
2023-08-15;567,96;Rohdaten
2023-08-16;567,95;Rohdaten
2023-08-17;567,95;Rohdaten
2023-08-18;567,95;Rohdaten
2023-08-19;567,95;Rohdaten
2023-08-20;567,95;Rohdaten
2023-08-21;567,94;Rohdaten
2023-08-22;567,94;Rohdaten
2023-08-23;567,94;Rohdaten
2023-08-24;567,94;Rohdaten
2023-08-25;567,94;Rohdaten
2023-08-26;567,93;Rohdaten
2023-08-27;567,93;Rohdaten
2023-08-28;567,93;Rohdaten
2023-08-29;567,93;Rohdaten
2023-08-30;567,93;Rohdaten
2023-08-31;567,92;Rohdaten
2023-09-01;567,92;Rohdaten
2023-09-02;567,92;Rohdaten
2023-09-03;567,92;Rohdaten
2023-09-04;567,92;Rohdaten
2023-09-05;567,91;Rohdaten
2023-09-06;567,91;Rohdaten
2023-09-07;567,91;Rohdaten
2023-09-08;567,91;Rohdaten
2023-09-09;567,91;Rohdaten
2023-09-10;567,91;Rohdaten
2023-09-11;567,90;Rohdaten
2023-09-12;567,90;Rohdaten
2023-09-13;567,90;Rohdaten
2023-09-14;567,90;Rohdaten
2023-09-15;567,90;Rohdaten
2023-09-16;567,90;Rohdaten
2023-09-17;567,89;Rohdaten
2023-09-18;567,89;Rohdaten
2023-09-19;567,89;Rohdaten
2023-09-20;567,89;Rohdaten
2023-09-21;567,89;Rohdaten
2023-09-22;567,89;Rohdaten
2023-09-23;567,88;Rohdaten
2023-09-24;567,88;Rohdaten
2023-09-25;567,88;Rohdaten
2023-09-26;567,88;Rohdaten
2023-09-27;567,88;Rohdaten
2023-09-28;567,88;Rohdaten
2023-09-29;567,87;Rohdaten
2023-09-30;567,87;Rohdaten
2023-10-01;567,87;Rohdaten
2023-10-02;567,87;Rohdaten
2023-10-03;567,87;Rohdaten
2023-10-04;567,86;Rohdaten
2023-10-05;567,86;Rohdaten
2023-10-06;567,86;Rohdaten
2023-10-07;567,86;Rohdaten
2023-10-08;567,86;Rohdaten
2023-10-09;567,86;Rohdaten
2023-10-10;567,85;Rohdaten
2023-10-11;567,85;Rohdaten
2023-10-12;567,85;Rohdaten
2023-10-13;567,85;Rohdaten
2023-10-14;567,85;Rohdaten
2023-10-15;567,84;Rohdaten
2023-10-16;567,84;Rohdaten
2023-10-17;567,84;Rohdaten
2023-10-18;567,84;Rohdaten
2023-10-19;567,84;Rohdaten
2023-10-20;567,84;Rohdaten
2023-10-21;567,83;Rohdaten
2023-10-22;567,83;Rohdaten
2023-10-23;567,83;Rohdaten
2023-10-24;567,83;Rohdaten
2023-10-25;567,83;Rohdaten
2023-10-26;567,82;Rohdaten
2023-10-27;567,82;Rohdaten
2023-10-28;567,82;Rohdaten
2023-10-29;567,82;Rohdaten
2023-10-30;567,82;Rohdaten
2023-10-31;567,81;Rohdaten
