Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Aying Q 10"
Messstellen-Nr.:;16294
Ostwert:;706856;Nordwert:;5316381;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;572,30;Rohdaten
2023-01-02;572,30;Rohdaten
2023-01-03;572,30;Rohdaten
2023-01-04;572,30;Rohdaten
2023-01-05;572,30;Rohdaten
2023-01-06;572,30;Rohdaten
2023-01-07;572,30;Rohdaten
2023-01-08;572,30;Rohdaten
2023-01-09;572,30;Rohdaten
2023-01-10;572,30;Rohdaten
2023-01-11;572,29;Rohdaten
2023-01-12;572,29;Rohdaten
2023-01-13;572,29;Rohdaten
2023-01-14;572,29;Rohdaten
2023-01-15;572,29;Rohdaten
2023-01-16;572,29;Rohdaten
2023-01-17;572,29;Rohdaten
2023-01-18;572,29;Rohdaten
2023-01-19;572,28;Rohdaten
2023-01-20;572,28;Rohdaten
2023-01-21;572,28;Rohdaten
2023-01-22;572,27;Rohdaten
2023-01-23;572,27;Rohdaten
2023-01-24;572,27;Rohdaten
2023-01-25;572,27;Rohdaten
2023-01-26;572,27;Rohdaten
2023-01-27;572,26;Rohdaten
2023-01-28;572,26;Rohdaten
2023-01-29;572,26;Rohdaten
2023-01-30;572,26;Rohdaten
2023-01-31;572,26;Rohdaten
2023-02-01;572,25;Rohdaten
2023-02-02;572,25;Rohdaten
2023-02-03;572,25;Rohdaten
2023-02-04;572,25;Rohdaten
2023-02-05;572,25;Rohdaten
2023-02-06;572,24;Rohdaten
2023-02-07;572,24;Rohdaten
2023-02-08;572,24;Rohdaten
2023-02-09;572,24;Rohdaten
2023-02-10;572,24;Rohdaten
2023-02-11;572,23;Rohdaten
2023-02-12;572,23;Rohdaten
2023-02-13;572,23;Rohdaten
2023-02-14;572,23;Rohdaten
2023-02-15;572,23;Rohdaten
2023-02-16;572,23;Rohdaten
2023-02-17;572,22;Rohdaten
2023-02-18;572,22;Rohdaten
2023-02-19;572,22;Rohdaten
2023-02-20;572,22;Rohdaten
2023-02-21;572,21;Rohdaten
2023-02-22;572,21;Rohdaten
2023-02-23;572,21;Rohdaten
2023-02-24;572,21;Rohdaten
2023-02-25;572,20;Rohdaten
2023-02-26;572,20;Rohdaten
2023-02-27;572,20;Rohdaten
2023-02-28;572,19;Rohdaten
2023-03-01;572,19;Rohdaten
2023-03-02;572,19;Rohdaten
2023-03-03;572,19;Rohdaten
2023-03-04;572,18;Rohdaten
2023-03-05;572,18;Rohdaten
2023-03-06;572,18;Rohdaten
2023-03-07;572,18;Rohdaten
2023-03-08;572,17;Rohdaten
2023-03-09;572,17;Rohdaten
2023-03-10;572,17;Rohdaten
2023-03-11;572,16;Rohdaten
2023-03-12;572,16;Rohdaten
2023-03-13;572,16;Rohdaten
2023-03-14;572,16;Rohdaten
2023-03-15;572,16;Rohdaten
2023-03-16;572,15;Rohdaten
2023-03-17;572,15;Rohdaten
2023-03-18;572,15;Rohdaten
2023-03-19;572,15;Rohdaten
2023-03-20;572,15;Rohdaten
2023-03-21;572,15;Rohdaten
2023-03-22;572,15;Rohdaten
2023-03-23;572,15;Rohdaten
2023-03-24;572,15;Rohdaten
2023-03-25;572,15;Rohdaten
2023-03-26;572,15;Rohdaten
2023-03-27;572,14;Rohdaten
2023-03-28;572,14;Rohdaten
2023-03-29;572,14;Rohdaten
2023-03-30;572,14;Rohdaten
2023-03-31;572,14;Rohdaten
2023-04-01;572,14;Rohdaten
2023-04-02;572,14;Rohdaten
2023-04-03;572,14;Rohdaten
2023-04-04;572,13;Rohdaten
2023-04-05;572,13;Rohdaten
2023-04-06;572,13;Rohdaten
2023-04-07;572,13;Rohdaten
2023-04-08;572,13;Rohdaten
2023-04-09;572,13;Rohdaten
2023-04-10;572,13;Rohdaten
2023-04-11;572,13;Rohdaten
2023-04-12;572,13;Rohdaten
2023-04-13;572,12;Rohdaten
2023-04-14;572,12;Rohdaten
2023-04-15;572,12;Rohdaten
2023-04-16;572,12;Rohdaten
2023-04-17;572,12;Rohdaten
2023-04-18;572,12;Rohdaten
2023-04-19;572,12;Rohdaten
2023-04-20;572,12;Rohdaten
2023-04-21;572,11;Rohdaten
2023-04-22;572,11;Rohdaten
2023-04-23;572,11;Rohdaten
2023-04-24;572,11;Rohdaten
2023-04-25;572,11;Rohdaten
2023-04-26;572,11;Rohdaten
2023-04-27;572,11;Rohdaten
2023-04-28;572,11;Rohdaten
2023-04-29;572,11;Rohdaten
2023-04-30;572,11;Rohdaten
2023-05-01;572,11;Rohdaten
2023-05-02;572,11;Rohdaten
2023-05-03;572,10;Rohdaten
2023-05-04;572,11;Rohdaten
2023-05-05;572,11;Rohdaten
2023-05-06;572,11;Rohdaten
2023-05-07;572,11;Rohdaten
2023-05-08;572,12;Rohdaten
2023-05-09;572,12;Rohdaten
2023-05-10;572,12;Rohdaten
2023-05-11;572,13;Rohdaten
2023-05-12;572,13;Rohdaten
2023-05-13;572,14;Rohdaten
2023-05-14;572,15;Rohdaten
2023-05-15;572,16;Rohdaten
2023-05-16;572,16;Rohdaten
2023-05-17;572,17;Rohdaten
2023-05-18;572,18;Rohdaten
2023-05-19;572,19;Rohdaten
2023-05-20;572,20;Rohdaten
2023-05-21;572,21;Rohdaten
2023-05-22;572,22;Rohdaten
2023-05-23;572,23;Rohdaten
2023-05-24;572,23;Rohdaten
2023-05-25;572,24;Rohdaten
2023-05-26;572,25;Rohdaten
2023-05-27;572,26;Rohdaten
2023-05-28;572,28;Rohdaten
2023-05-29;572,29;Rohdaten
2023-05-30;572,30;Rohdaten
2023-05-31;572,31;Rohdaten
2023-06-01;572,32;Rohdaten
2023-06-02;572,32;Rohdaten
2023-06-03;572,33;Rohdaten
2023-06-04;572,34;Rohdaten
2023-06-05;572,35;Rohdaten
2023-06-06;572,36;Rohdaten
2023-06-07;572,37;Rohdaten
2023-06-08;572,37;Rohdaten
2023-06-09;572,38;Rohdaten
2023-06-10;572,39;Rohdaten
2023-06-11;572,39;Rohdaten
2023-06-12;572,40;Rohdaten
2023-06-13;572,40;Rohdaten
2023-06-14;572,41;Rohdaten
2023-06-15;572,41;Rohdaten
2023-06-16;572,41;Rohdaten
2023-06-17;572,41;Rohdaten
2023-06-18;572,41;Rohdaten
2023-06-19;572,41;Rohdaten
2023-06-20;572,41;Rohdaten
2023-06-21;572,41;Rohdaten
2023-06-22;572,41;Rohdaten
2023-06-23;572,41;Rohdaten
2023-06-24;572,41;Rohdaten
2023-06-25;572,41;Rohdaten
2023-06-26;572,41;Rohdaten
2023-06-27;572,41;Rohdaten
2023-06-28;572,41;Rohdaten
2023-06-29;572,41;Rohdaten
2023-06-30;572,42;Rohdaten
2023-07-01;572,42;Rohdaten
2023-07-02;572,42;Rohdaten
2023-07-03;572,42;Rohdaten
2023-07-04;572,42;Rohdaten
2023-07-05;572,42;Rohdaten
2023-07-06;572,42;Rohdaten
2023-07-07;572,42;Rohdaten
2023-07-08;572,42;Rohdaten
2023-07-09;572,42;Rohdaten
2023-07-10;572,42;Rohdaten
2023-07-11;572,42;Rohdaten
2023-07-12;572,42;Rohdaten
2023-07-13;572,42;Rohdaten
2023-07-14;572,42;Rohdaten
2023-07-15;572,43;Rohdaten
2023-07-16;572,42;Rohdaten
2023-07-17;572,42;Rohdaten
2023-07-18;572,42;Rohdaten
2023-07-19;572,42;Rohdaten
2023-07-20;572,42;Rohdaten
2023-07-21;572,42;Rohdaten
2023-07-22;572,42;Rohdaten
2023-07-23;572,42;Rohdaten
2023-07-24;572,43;Rohdaten
2023-07-25;572,42;Rohdaten
2023-07-26;572,42;Rohdaten
2023-07-27;572,42;Rohdaten
2023-07-28;572,42;Rohdaten
2023-07-29;572,42;Rohdaten
2023-07-30;572,42;Rohdaten
2023-07-31;572,42;Rohdaten
2023-08-01;572,43;Rohdaten
2023-08-02;572,43;Rohdaten
2023-08-03;572,42;Rohdaten
2023-08-04;572,42;Rohdaten
2023-08-05;572,42;Rohdaten
2023-08-06;572,43;Rohdaten
2023-08-07;572,42;Rohdaten
2023-08-08;572,42;Rohdaten
2023-08-09;572,42;Rohdaten
2023-08-10;572,42;Rohdaten
2023-08-11;572,42;Rohdaten
2023-08-12;572,42;Rohdaten
2023-08-13;572,42;Rohdaten
2023-08-14;572,42;Rohdaten
2023-08-15;572,42;Rohdaten
2023-08-16;572,42;Rohdaten
2023-08-17;572,42;Rohdaten
2023-08-18;572,42;Rohdaten
2023-08-19;572,42;Rohdaten
2023-08-20;572,41;Rohdaten
2023-08-21;572,41;Rohdaten
2023-08-22;572,41;Rohdaten
2023-08-23;572,41;Rohdaten
2023-08-24;572,41;Rohdaten
2023-08-25;572,40;Rohdaten
2023-08-26;572,40;Rohdaten
2023-08-27;572,40;Rohdaten
2023-08-28;572,40;Rohdaten
2023-08-29;572,40;Rohdaten
2023-08-30;572,40;Rohdaten
2023-08-31;572,40;Rohdaten
2023-09-01;572,40;Rohdaten
2023-09-02;572,39;Rohdaten
2023-09-03;572,39;Rohdaten
2023-09-04;572,39;Rohdaten
2023-09-05;572,38;Rohdaten
2023-09-06;572,38;Rohdaten
2023-09-07;572,38;Rohdaten
2023-09-08;572,37;Rohdaten
2023-09-09;572,37;Rohdaten
2023-09-10;572,37;Rohdaten
2023-09-11;572,37;Rohdaten
2023-09-12;572,37;Rohdaten
2023-09-13;572,36;Rohdaten
2023-09-14;572,36;Rohdaten
2023-09-15;572,36;Rohdaten
2023-09-16;572,36;Rohdaten
2023-09-17;572,36;Rohdaten
2023-09-18;572,36;Rohdaten
2023-09-19;572,35;Rohdaten
2023-09-20;572,36;Rohdaten
2023-09-21;572,36;Rohdaten
2023-09-22;572,36;Rohdaten
2023-09-23;572,35;Rohdaten
2023-09-24;572,35;Rohdaten
2023-09-25;572,35;Rohdaten
2023-09-26;572,35;Rohdaten
2023-09-27;572,35;Rohdaten
2023-09-28;572,35;Rohdaten
2023-09-29;572,35;Rohdaten
2023-09-30;572,35;Rohdaten
2023-10-01;572,35;Rohdaten
2023-10-02;572,35;Rohdaten
2023-10-03;572,35;Rohdaten
2023-10-04;572,35;Rohdaten
2023-10-05;572,35;Rohdaten
2023-10-06;572,35;Rohdaten
2023-10-07;572,34;Rohdaten
2023-10-08;572,34;Rohdaten
2023-10-09;572,34;Rohdaten
2023-10-10;572,34;Rohdaten
2023-10-11;572,34;Rohdaten
2023-10-12;572,34;Rohdaten
2023-10-13;572,34;Rohdaten
2023-10-14;572,34;Rohdaten
2023-10-15;572,33;Rohdaten
2023-10-16;572,33;Rohdaten
2023-10-17;572,33;Rohdaten
2023-10-18;572,33;Rohdaten
2023-10-19;572,33;Rohdaten
2023-10-20;572,33;Rohdaten
2023-10-21;572,32;Rohdaten
2023-10-22;572,32;Rohdaten
2023-10-23;572,32;Rohdaten
2023-10-24;572,32;Rohdaten
2023-10-25;572,32;Rohdaten
2023-10-26;572,32;Rohdaten
2023-10-27;572,31;Rohdaten
2023-10-28;572,31;Rohdaten
2023-10-29;572,31;Rohdaten
2023-10-30;572,31;Rohdaten
2023-10-31;572,30;Rohdaten
