Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 09:05"
Zeitbezug:;MEZ
Messstellen-Name:;"Wenzsiedlung 2"
Messstellen-Nr.:;16702
Ostwert:;689059;Nordwert:;5327916;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2000-10-04;528,08;Rohdaten
2000-10-05;528,15;Rohdaten
2000-10-06;;Rohdaten
2000-10-07;;Rohdaten
2000-10-08;;Rohdaten
2000-10-09;528,70;Rohdaten
2000-10-10;528,70;Rohdaten
2000-10-11;528,65;Rohdaten
2000-10-12;528,61;Rohdaten
2000-10-13;528,55;Rohdaten
2000-10-14;528,50;Rohdaten
2000-10-15;528,44;Rohdaten
2000-10-16;528,41;Rohdaten
2000-10-17;528,46;Rohdaten
2000-10-18;528,42;Rohdaten
2000-10-19;528,43;Rohdaten
2000-10-20;528,41;Rohdaten
2000-10-21;528,39;Rohdaten
2000-10-22;528,37;Rohdaten
2000-10-23;528,34;Rohdaten
2000-10-24;528,34;Rohdaten
2000-10-25;528,33;Rohdaten
2000-10-26;528,22;Rohdaten
2000-10-27;528,21;Rohdaten
2000-10-28;528,14;Rohdaten
2000-10-29;527,90;Rohdaten
2000-10-30;527,82;Rohdaten
2000-10-31;527,81;Rohdaten
2000-11-01;527,85;Rohdaten
2000-11-02;527,85;Rohdaten
2000-11-03;527,80;Rohdaten
2000-11-04;527,79;Rohdaten
2000-11-05;527,78;Rohdaten
2000-11-06;527,78;Rohdaten
2000-11-07;527,78;Rohdaten
2000-11-08;527,82;Rohdaten
2000-11-09;527,82;Rohdaten
2000-11-10;527,82;Rohdaten
2000-11-11;527,82;Rohdaten
2000-11-12;527,82;Rohdaten
2000-11-13;527,81;Rohdaten
2000-11-14;527,81;Rohdaten
2000-11-15;527,82;Rohdaten
2000-11-16;527,83;Rohdaten
2000-11-17;527,83;Rohdaten
2000-11-18;527,83;Rohdaten
2000-11-19;527,82;Rohdaten
2000-11-20;527,81;Rohdaten
2000-11-21;527,81;Rohdaten
2000-11-22;527,81;Rohdaten
2000-11-23;527,82;Rohdaten
2000-11-24;527,82;Rohdaten
2000-11-25;527,83;Rohdaten
2000-11-26;527,82;Rohdaten
2000-11-27;527,81;Rohdaten
2000-11-28;527,81;Rohdaten
2000-11-29;527,82;Rohdaten
2000-11-30;527,82;Rohdaten
2000-12-01;527,81;Rohdaten
2000-12-02;527,81;Rohdaten
2000-12-03;527,81;Rohdaten
2000-12-04;527,80;Rohdaten
2000-12-05;527,80;Rohdaten
2000-12-06;527,80;Rohdaten
2000-12-07;527,80;Rohdaten
2000-12-08;527,80;Rohdaten
2000-12-09;527,80;Rohdaten
2000-12-10;527,80;Rohdaten
2000-12-11;527,79;Rohdaten
2000-12-12;527,79;Rohdaten
2000-12-13;527,79;Rohdaten
2000-12-14;527,79;Rohdaten
2000-12-15;527,78;Rohdaten
2000-12-16;527,78;Rohdaten
2000-12-17;527,79;Rohdaten
2000-12-18;527,78;Rohdaten
2000-12-19;527,80;Rohdaten
2000-12-20;527,83;Rohdaten
2000-12-21;527,82;Rohdaten
