Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München U8 406"
Messstellen-Nr.:;16705
Ostwert:;691310;Nordwert:;5332450;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;512,78;Rohdaten
2023-11-02;512,78;Rohdaten
2023-11-03;512,79;Rohdaten
2023-11-04;512,79;Rohdaten
2023-11-05;512,78;Rohdaten
2023-11-06;512,77;Rohdaten
2023-11-07;512,77;Rohdaten
2023-11-08;512,76;Rohdaten
2023-11-09;512,76;Rohdaten
2023-11-10;512,75;Rohdaten
2023-11-11;512,75;Rohdaten
