Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München U8 406"
Messstellen-Nr.:;16705
Ostwert:;691310;Nordwert:;5332450;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
1972-12-24;512,55;Rohdaten
1972-12-31;512,54;Rohdaten
1973-01-06;512,54;Rohdaten
1973-01-13;512,54;Rohdaten
1973-01-20;512,54;Rohdaten
1973-01-29;512,53;Rohdaten
1973-02-03;512,55;Rohdaten
1973-02-10;512,55;Rohdaten
1973-02-16;512,56;Rohdaten
1973-02-25;512,57;Rohdaten
1973-03-03;512,58;Rohdaten
1973-03-09;512,62;Rohdaten
1973-03-17;512,62;Rohdaten
1973-03-25;512,60;Rohdaten
1973-03-31;512,56;Rohdaten
1973-04-07;512,56;Rohdaten
1973-04-13;512,54;Rohdaten
1973-04-20;512,56;Rohdaten
1973-05-07;512,58;Rohdaten
1973-05-13;512,59;Rohdaten
1973-05-19;512,59;Rohdaten
1973-05-25;512,59;Rohdaten
1973-06-01;512,58;Rohdaten
1973-06-08;512,59;Rohdaten
1973-06-15;512,60;Rohdaten
1973-06-24;512,66;Rohdaten
1973-07-02;512,67;Rohdaten
1973-07-07;512,74;Rohdaten
1973-07-14;512,80;Rohdaten
1973-07-19;512,78;Rohdaten
1973-07-27;512,75;Rohdaten
1973-08-04;512,73;Rohdaten
1973-08-12;512,71;Rohdaten
1973-08-17;512,70;Rohdaten
1973-08-26;512,71;Rohdaten
1973-08-31;512,74;Rohdaten
1973-09-07;512,74;Rohdaten
1973-09-17;512,73;Rohdaten
1973-09-23;512,72;Rohdaten
1973-09-30;512,72;Rohdaten
1973-10-06;512,71;Rohdaten
1973-10-13;512,76;Rohdaten
1973-10-20;512,61;Rohdaten
1973-10-27;512,59;Rohdaten
1973-11-03;512,66;Rohdaten
1973-11-11;512,66;Rohdaten
1973-11-17;512,66;Rohdaten
1973-11-24;512,65;Rohdaten
1973-11-30;512,63;Rohdaten
1973-12-08;512,63;Rohdaten
1973-12-15;512,63;Rohdaten
1973-12-24;512,63;Rohdaten
1973-12-30;512,62;Rohdaten
1974-01-04;512,61;Rohdaten
