Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"OBERMENZING Q 2"
Messstellen-Nr.:;16710
Ostwert:;682374;Nordwert:;5338219;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;508,50;Rohdaten
2023-11-02;508,52;Rohdaten
2023-11-03;508,53;Rohdaten
2023-11-04;508,53;Rohdaten
2023-11-05;508,53;Rohdaten
2023-11-06;508,55;Rohdaten
2023-11-07;508,54;Rohdaten
2023-11-08;508,54;Rohdaten
2023-11-09;508,52;Rohdaten
2023-11-10;508,46;Rohdaten
2023-11-11;508,46;Rohdaten
2023-11-12;508,45;Rohdaten
2023-11-13;508,45;Rohdaten
2023-11-14;508,47;Rohdaten
2023-11-15;508,49;Rohdaten
2023-11-16;508,51;Rohdaten
2023-11-17;508,52;Rohdaten
