Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"OBERMENZING Q 2"
Messstellen-Nr.:;16710
Ostwert:;682374;Nordwert:;5338219;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2009-03-06;508,84;Rohdaten
2009-03-07;508,84;Rohdaten
2009-03-08;508,85;Rohdaten
2009-03-09;508,87;Rohdaten
2009-03-10;508,88;Rohdaten
2009-03-11;508,89;Rohdaten
2009-03-12;508,91;Rohdaten
2009-03-13;508,93;Rohdaten
2009-03-14;508,96;Rohdaten
2009-03-15;508,99;Rohdaten
2009-03-16;509,02;Rohdaten
2009-03-17;509,06;Rohdaten
2009-03-18;509,09;Rohdaten
2009-03-19;509,11;Rohdaten
2009-03-20;509,13;Rohdaten
2009-03-21;509,15;Rohdaten
2009-03-22;509,16;Rohdaten
2009-03-23;509,17;Rohdaten
2009-03-24;509,19;Rohdaten
2009-03-25;509,20;Rohdaten
2009-03-26;509,21;Rohdaten
2009-03-27;509,22;Rohdaten
2009-03-28;509,24;Rohdaten
2009-03-29;509,25;Rohdaten
2009-03-30;509,26;Rohdaten
2009-03-31;509,28;Rohdaten
2009-04-01;509,29;Rohdaten
2009-04-02;509,30;Rohdaten
2009-04-03;509,30;Rohdaten
2009-04-04;509,31;Rohdaten
2009-04-05;509,32;Rohdaten
2009-04-06;509,33;Rohdaten
2009-04-07;509,34;Rohdaten
2009-04-08;509,35;Rohdaten
2009-04-09;509,36;Rohdaten
2009-04-10;509,37;Rohdaten
2009-04-11;509,38;Rohdaten
2009-04-12;509,38;Rohdaten
2009-04-13;509,38;Rohdaten
2009-04-14;509,38;Rohdaten
2009-04-15;509,38;Rohdaten
2009-04-16;509,37;Rohdaten
2009-04-17;509,36;Rohdaten
2009-04-18;509,35;Rohdaten
2009-04-19;;Rohdaten
2009-04-20;509,33;Rohdaten
2009-04-21;509,31;Rohdaten
2009-04-22;509,30;Rohdaten
2009-04-23;509,29;Rohdaten
2009-04-24;509,28;Rohdaten
2009-04-25;509,26;Rohdaten
2009-04-26;509,25;Rohdaten
2009-04-27;509,24;Rohdaten
2009-04-28;509,23;Rohdaten
2009-04-29;509,22;Rohdaten
2009-04-30;509,21;Rohdaten
2009-05-01;509,20;Rohdaten
2009-05-02;509,19;Rohdaten
2009-05-03;509,19;Rohdaten
2009-05-04;509,18;Rohdaten
2009-05-05;509,17;Rohdaten
2009-05-06;509,17;Rohdaten
2009-05-07;509,17;Rohdaten
2009-05-08;509,16;Rohdaten
2009-05-09;509,15;Rohdaten
2009-05-10;;Rohdaten
2009-05-11;509,13;Rohdaten
