Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München RSS P 144"
Messstellen-Nr.:;16810
Ostwert:;695106;Nordwert:;5335005;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;518,23;Rohdaten
2023-11-02;518,23;Rohdaten
2023-11-03;518,26;Rohdaten
2023-11-04;518,25;Rohdaten
2023-11-05;518,25;Rohdaten
2023-11-06;518,24;Rohdaten
2023-11-07;518,23;Rohdaten
2023-11-08;518,22;Rohdaten
2023-11-09;518,21;Rohdaten
2023-11-10;518,21;Rohdaten
2023-11-11;518,21;Rohdaten
2023-11-12;518,21;Rohdaten
2023-11-13;518,26;Rohdaten
2023-11-14;518,30;Rohdaten
2023-11-15;518,36;Rohdaten
2023-11-16;518,36;Rohdaten
2023-11-17;518,44;Rohdaten
