Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München RSS P 144"
Messstellen-Nr.:;16810
Ostwert:;695106;Nordwert:;5335005;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2014-11-19;518,72;Rohdaten
2014-11-20;518,71;Rohdaten
2014-11-21;518,71;Rohdaten
2014-11-22;518,70;Rohdaten
2014-11-23;518,70;Rohdaten
2014-11-24;518,69;Rohdaten
2014-11-25;518,69;Rohdaten
2014-11-26;518,68;Rohdaten
2014-11-27;518,68;Rohdaten
2014-11-28;;Rohdaten
2014-11-29;;Rohdaten
2014-11-30;;Rohdaten
2014-12-01;518,66;Rohdaten
2014-12-02;518,65;Rohdaten
2014-12-03;518,65;Rohdaten
2014-12-04;518,64;Rohdaten
2014-12-05;518,64;Rohdaten
2014-12-06;518,64;Rohdaten
2014-12-07;518,64;Rohdaten
2014-12-08;518,64;Rohdaten
2014-12-09;518,64;Rohdaten
2014-12-10;518,64;Rohdaten
2014-12-11;518,64;Rohdaten
2014-12-12;518,64;Rohdaten
2014-12-13;518,63;Rohdaten
2014-12-14;518,63;Rohdaten
2014-12-15;518,62;Rohdaten
2014-12-16;518,62;Rohdaten
2014-12-17;518,62;Rohdaten
2014-12-18;518,63;Rohdaten
2014-12-19;518,63;Rohdaten
2014-12-20;518,66;Rohdaten
2014-12-21;518,65;Rohdaten
2014-12-22;518,64;Rohdaten
2014-12-23;518,63;Rohdaten
2014-12-24;518,63;Rohdaten
2014-12-25;518,62;Rohdaten
2014-12-26;518,62;Rohdaten
2014-12-27;518,62;Rohdaten
2014-12-28;518,62;Rohdaten
2014-12-29;518,61;Rohdaten
2014-12-30;518,61;Rohdaten
2014-12-31;518,61;Rohdaten
2015-01-01;518,60;Rohdaten
2015-01-02;518,61;Rohdaten
2015-01-03;518,65;Rohdaten
2015-01-04;518,71;Rohdaten
2015-01-05;518,71;Rohdaten
2015-01-06;518,72;Rohdaten
2015-01-07;518,73;Rohdaten
2015-01-08;;Rohdaten
2015-01-09;518,75;Rohdaten
2015-01-10;518,77;Rohdaten
2015-01-11;518,78;Rohdaten
2015-01-12;518,79;Rohdaten
2015-01-13;518,80;Rohdaten
2015-01-14;518,80;Rohdaten
2015-01-15;518,80;Rohdaten
2015-01-16;518,80;Rohdaten
2015-01-17;518,80;Rohdaten
2015-01-18;518,81;Rohdaten
2015-01-19;518,81;Rohdaten
2015-01-20;518,81;Rohdaten
2015-01-21;518,80;Rohdaten
2015-01-22;518,80;Rohdaten
2015-01-23;518,79;Rohdaten
2015-01-24;518,79;Rohdaten
2015-01-25;518,78;Rohdaten
2015-01-26;518,78;Rohdaten
2015-01-27;518,78;Rohdaten
2015-01-28;518,78;Rohdaten
2015-01-29;518,79;Rohdaten
2015-01-30;518,79;Rohdaten
2015-01-31;518,78;Rohdaten
2015-02-01;518,78;Rohdaten
2015-02-02;518,77;Rohdaten
2015-02-03;518,77;Rohdaten
2015-02-04;518,76;Rohdaten
2015-02-05;518,76;Rohdaten
2015-02-06;518,75;Rohdaten
2015-02-07;518,74;Rohdaten
2015-02-08;518,74;Rohdaten
2015-02-09;518,73;Rohdaten
2015-02-10;518,73;Rohdaten
2015-02-11;518,72;Rohdaten
2015-02-12;518,72;Rohdaten
2015-02-13;518,71;Rohdaten
2015-02-14;518,71;Rohdaten
2015-02-15;518,70;Rohdaten
2015-02-16;518,70;Rohdaten
2015-02-17;518,69;Rohdaten
2015-02-18;518,69;Rohdaten
2015-02-19;518,68;Rohdaten
2015-02-20;518,68;Rohdaten
2015-02-21;518,68;Rohdaten
2015-02-22;518,67;Rohdaten
2015-02-23;518,67;Rohdaten
2015-02-24;518,68;Rohdaten
2015-02-25;518,68;Rohdaten
2015-02-26;518,67;Rohdaten
2015-02-27;518,67;Rohdaten
2015-02-28;518,67;Rohdaten
2015-03-01;518,66;Rohdaten
2015-03-02;518,67;Rohdaten
2015-03-03;518,68;Rohdaten
2015-03-04;518,67;Rohdaten
2015-03-05;518,67;Rohdaten
2015-03-06;518,67;Rohdaten
2015-03-07;518,67;Rohdaten
2015-03-08;518,67;Rohdaten
2015-03-09;518,67;Rohdaten
2015-03-10;518,67;Rohdaten
2015-03-11;518,67;Rohdaten
2015-03-12;518,66;Rohdaten
2015-03-13;518,66;Rohdaten
2015-03-14;518,66;Rohdaten
2015-03-15;518,66;Rohdaten
2015-03-16;518,65;Rohdaten
2015-03-17;518,65;Rohdaten
2015-03-18;518,65;Rohdaten
2015-03-19;518,64;Rohdaten
2015-03-20;518,64;Rohdaten
2015-03-21;518,64;Rohdaten
2015-03-22;518,65;Rohdaten
2015-03-23;518,64;Rohdaten
2015-03-24;518,64;Rohdaten
2015-03-25;518,63;Rohdaten
2015-03-26;518,63;Rohdaten
2015-03-27;518,63;Rohdaten
2015-03-28;518,62;Rohdaten
2015-03-29;518,62;Rohdaten
2015-03-30;518,65;Rohdaten
2015-03-31;518,65;Rohdaten
2015-04-01;518,67;Rohdaten
2015-04-02;518,66;Rohdaten
2015-04-03;518,67;Rohdaten
2015-04-04;518,67;Rohdaten
2015-04-05;518,67;Rohdaten
