Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München KP 16"
Messstellen-Nr.:;16811
Ostwert:;698833;Nordwert:;5333374;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2014-11-19;523,60;Rohdaten
2014-11-20;523,59;Rohdaten
2014-11-21;523,59;Rohdaten
2014-11-22;;Rohdaten
2014-11-23;523,58;Rohdaten
2014-11-24;523,58;Rohdaten
2014-11-25;523,57;Rohdaten
2014-11-26;;Rohdaten
2014-11-27;523,56;Rohdaten
2014-11-28;523,55;Rohdaten
2014-11-29;523,55;Rohdaten
2014-11-30;523,54;Rohdaten
2014-12-01;523,53;Rohdaten
2014-12-02;523,53;Rohdaten
2014-12-03;523,52;Rohdaten
2014-12-04;523,51;Rohdaten
2014-12-05;523,51;Rohdaten
2014-12-06;523,50;Rohdaten
2014-12-07;;Rohdaten
2014-12-08;;Rohdaten
2014-12-09;523,48;Rohdaten
2014-12-10;523,48;Rohdaten
2014-12-11;523,47;Rohdaten
2014-12-12;523,47;Rohdaten
2014-12-13;523,46;Rohdaten
2014-12-14;523,45;Rohdaten
2014-12-15;523,45;Rohdaten
2014-12-16;;Rohdaten
2014-12-17;523,44;Rohdaten
2014-12-18;523,45;Rohdaten
2014-12-19;523,44;Rohdaten
2014-12-20;523,47;Rohdaten
2014-12-21;;Rohdaten
2014-12-22;;Rohdaten
2014-12-23;523,45;Rohdaten
2014-12-24;523,45;Rohdaten
2014-12-25;;Rohdaten
2014-12-26;;Rohdaten
2014-12-27;523,44;Rohdaten
2014-12-28;523,44;Rohdaten
2014-12-29;523,43;Rohdaten
2014-12-30;523,43;Rohdaten
2014-12-31;523,42;Rohdaten
2015-01-01;523,42;Rohdaten
2015-01-02;523,41;Rohdaten
2015-01-03;523,44;Rohdaten
2015-01-04;523,53;Rohdaten
2015-01-05;523,58;Rohdaten
2015-01-06;523,61;Rohdaten
2015-01-07;;Rohdaten
