Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:38"
Zeitbezug:;MEZ
Messstellen-Name:;"München KP 1560"
Messstellen-Nr.:;16814
Ostwert:;685052;Nordwert:;5339991;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-11-01;501,58;Rohdaten
2023-11-02;501,58;Rohdaten
2023-11-03;501,60;Rohdaten
2023-11-04;501,60;Rohdaten
2023-11-05;501,60;Rohdaten
2023-11-06;501,59;Rohdaten
2023-11-07;501,58;Rohdaten
2023-11-08;501,57;Rohdaten
2023-11-09;501,57;Rohdaten
2023-11-10;501,56;Rohdaten
2023-11-11;501,55;Rohdaten
2023-11-12;501,54;Rohdaten
2023-11-13;501,56;Rohdaten
2023-11-14;501,59;Rohdaten
2023-11-15;501,64;Rohdaten
2023-11-16;501,68;Rohdaten
2023-11-17;501,73;Rohdaten
