Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München KPA 751"
Messstellen-Nr.:;16815
Ostwert:;695873;Nordwert:;5343278;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2023-01-01;485,76;Rohdaten
2023-01-02;485,76;Rohdaten
2023-01-03;485,76;Rohdaten
2023-01-04;485,76;Rohdaten
2023-01-05;485,75;Rohdaten
2023-01-06;485,74;Rohdaten
2023-01-07;485,73;Rohdaten
2023-01-08;485,71;Rohdaten
2023-01-09;485,68;Rohdaten
2023-01-10;485,66;Rohdaten
2023-01-11;485,65;Rohdaten
2023-01-12;485,65;Rohdaten
2023-01-13;485,66;Rohdaten
2023-01-14;485,66;Rohdaten
2023-01-15;485,66;Rohdaten
2023-01-16;485,65;Rohdaten
2023-01-17;485,64;Rohdaten
2023-01-18;485,62;Rohdaten
2023-01-19;485,61;Rohdaten
2023-01-20;485,60;Rohdaten
2023-01-21;485,60;Rohdaten
2023-01-22;485,59;Rohdaten
2023-01-23;485,58;Rohdaten
2023-01-24;485,57;Rohdaten
2023-01-25;485,57;Rohdaten
2023-01-26;485,58;Rohdaten
2023-01-27;485,60;Rohdaten
2023-01-28;485,59;Rohdaten
2023-01-29;485,59;Rohdaten
2023-01-30;485,58;Rohdaten
2023-01-31;485,58;Rohdaten
2023-02-01;485,57;Rohdaten
2023-02-02;485,57;Rohdaten
2023-02-03;485,56;Rohdaten
2023-02-04;485,56;Rohdaten
2023-02-05;485,55;Rohdaten
2023-02-06;485,54;Rohdaten
2023-02-07;485,54;Rohdaten
2023-02-08;485,54;Rohdaten
2023-02-09;485,53;Rohdaten
2023-02-10;485,52;Rohdaten
2023-02-11;485,52;Rohdaten
2023-02-12;485,51;Rohdaten
2023-02-13;485,51;Rohdaten
2023-02-14;485,51;Rohdaten
2023-02-15;485,51;Rohdaten
2023-02-16;485,51;Rohdaten
2023-02-17;485,51;Rohdaten
2023-02-18;485,50;Rohdaten
2023-02-19;485,50;Rohdaten
2023-02-20;485,50;Rohdaten
2023-02-21;485,52;Rohdaten
2023-02-22;485,52;Rohdaten
2023-02-23;485,51;Rohdaten
2023-02-24;485,51;Rohdaten
2023-02-25;485,53;Rohdaten
2023-02-26;485,58;Rohdaten
2023-02-27;485,64;Rohdaten
2023-02-28;485,68;Rohdaten
2023-03-01;485,70;Rohdaten
2023-03-02;485,70;Rohdaten
2023-03-03;485,69;Rohdaten
2023-03-04;485,69;Rohdaten
2023-03-05;485,69;Rohdaten
2023-03-06;485,69;Rohdaten
2023-03-07;485,69;Rohdaten
2023-03-08;485,70;Rohdaten
2023-03-09;485,71;Rohdaten
2023-03-10;485,72;Rohdaten
2023-03-11;485,73;Rohdaten
2023-03-12;485,73;Rohdaten
2023-03-13;485,73;Rohdaten
2023-03-14;485,73;Rohdaten
2023-03-15;485,73;Rohdaten
2023-03-16;485,74;Rohdaten
2023-03-17;485,75;Rohdaten
2023-03-18;485,75;Rohdaten
2023-03-19;485,75;Rohdaten
2023-03-20;485,76;Rohdaten
2023-03-21;485,76;Rohdaten
