Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 16:31"
Zeitbezug:;MEZ
Messstellen-Name:;"München KPA 751"
Messstellen-Nr.:;16815
Ostwert:;695873;Nordwert:;5343278;"ETRS89 / UTM Zone 32N"

Datum;"Grundwasserstand [m ü. NN]";Prüfstatus
2017-05-23;485,83;Rohdaten
2017-05-24;485,82;Rohdaten
2017-05-25;485,81;Rohdaten
2017-05-26;485,79;Rohdaten
2017-05-27;485,78;Rohdaten
2017-05-28;485,76;Rohdaten
2017-05-29;485,75;Rohdaten
2017-05-30;485,74;Rohdaten
2017-05-31;485,73;Rohdaten
2017-06-01;485,72;Rohdaten
2017-06-02;485,71;Rohdaten
2017-06-03;485,71;Rohdaten
2017-06-04;485,71;Rohdaten
2017-06-05;485,70;Rohdaten
2017-06-06;485,70;Rohdaten
2017-06-07;485,70;Rohdaten
2017-06-08;485,69;Rohdaten
2017-06-09;485,68;Rohdaten
2017-06-10;485,67;Rohdaten
2017-06-11;485,67;Rohdaten
2017-06-12;485,66;Rohdaten
2017-06-13;485,65;Rohdaten
2017-06-14;485,65;Rohdaten
2017-06-15;485,65;Rohdaten
2017-06-16;485,64;Rohdaten
2017-06-17;485,63;Rohdaten
2017-06-18;485,62;Rohdaten
2017-06-19;485,61;Rohdaten
2017-06-20;485,61;Rohdaten
2017-06-21;485,61;Rohdaten
2017-06-22;485,61;Rohdaten
2017-06-23;485,61;Rohdaten
2017-06-24;485,60;Rohdaten
2017-06-25;485,61;Rohdaten
2017-06-26;485,60;Rohdaten
2017-06-27;485,61;Rohdaten
2017-06-28;485,64;Rohdaten
2017-06-29;485,63;Rohdaten
2017-06-30;485,63;Rohdaten
2017-07-01;485,62;Rohdaten
2017-07-02;485,61;Rohdaten
2017-07-03;485,61;Rohdaten
2017-07-04;485,60;Rohdaten
2017-07-05;485,60;Rohdaten
2017-07-06;485,60;Rohdaten
2017-07-07;485,60;Rohdaten
2017-07-08;485,61;Rohdaten
2017-07-09;485,60;Rohdaten
2017-07-10;485,60;Rohdaten
2017-07-11;485,60;Rohdaten
2017-07-12;485,60;Rohdaten
2017-07-13;485,59;Rohdaten
2017-07-14;485,59;Rohdaten
2017-07-15;485,59;Rohdaten
2017-07-16;;Rohdaten
2017-07-17;485,59;Rohdaten
2017-07-18;485,60;Rohdaten
2017-07-19;485,60;Rohdaten
2017-07-20;485,60;Rohdaten
2017-07-21;485,60;Rohdaten
2017-07-22;485,60;Rohdaten
2017-07-23;485,61;Rohdaten
2017-07-24;485,61;Rohdaten
2017-07-25;485,61;Rohdaten
2017-07-26;485,65;Rohdaten
2017-07-27;485,67;Rohdaten
2017-07-28;485,69;Rohdaten
2017-07-29;485,72;Rohdaten
2017-07-30;485,74;Rohdaten
2017-07-31;485,74;Rohdaten
2017-08-01;485,73;Rohdaten
2017-08-02;485,72;Rohdaten
2017-08-03;485,71;Rohdaten
2017-08-04;485,70;Rohdaten
2017-08-05;485,68;Rohdaten
2017-08-06;485,68;Rohdaten
2017-08-07;485,67;Rohdaten
2017-08-08;485,66;Rohdaten
2017-08-09;485,66;Rohdaten
2017-08-10;485,65;Rohdaten
2017-08-11;485,65;Rohdaten
2017-08-12;485,64;Rohdaten
2017-08-13;485,63;Rohdaten
2017-08-14;485,63;Rohdaten
2017-08-15;485,62;Rohdaten
2017-08-16;485,63;Rohdaten
2017-08-17;485,63;Rohdaten
2017-08-18;485,62;Rohdaten
2017-08-19;485,67;Rohdaten
2017-08-20;485,65;Rohdaten
2017-08-21;485,64;Rohdaten
2017-08-22;485,63;Rohdaten
2017-08-23;485,61;Rohdaten
2017-08-24;485,61;Rohdaten
2017-08-25;485,60;Rohdaten
2017-08-26;485,59;Rohdaten
2017-08-27;485,59;Rohdaten
2017-08-28;485,58;Rohdaten
2017-08-29;485,58;Rohdaten
2017-08-30;485,58;Rohdaten
2017-08-31;485,58;Rohdaten
2017-09-01;485,60;Rohdaten
2017-09-02;485,60;Rohdaten
2017-09-03;485,60;Rohdaten
2017-09-04;485,59;Rohdaten
2017-09-05;485,60;Rohdaten
2017-09-06;485,61;Rohdaten
