groundwater_ID;name;east;north;municipality
16001;LAUFZORN SCHLOSS 247;690356;5320959;
16005;Haar-Eglfing Q 11;704195;5332811;
16006;EGLFING LEHRER 265B;704219;5332868;
16012;FELDMOCHING 295;687858;5343079;
16118;LOHHOF 275A;691149;5351053;
16195;DORNACH 553;700053;5336952;
16196;KIRCHHEIM I 554;704345;5339530;
16245;KREUZSTR. OSCHLH.D 38;692606;5349002;
16262;OBERHACHING D 62;693836;5322087;
16267;PLANEGG D 82;680462;5330726;
16269;OBERSCHLEISSHEIM;689543;5347649;
16272;UNTERSCHLEISSHEIM RATH;690731;5349729;
16273;Hochmutting Süd;691890;5345057;
16274;Siegertsbrunn 2;704183;5322959;
16275;Neuried 2;682903;5328804;
16277;JOHANNESKIRCHEN KPA 222;696784;5338502;
16282;GARCHING 2;695999;5347584;
16290;Grünwald Q 6;688204;5321889;
16292;Unterbiberg Q 7;696546;5328842;
16293;Sauerlach Q 9;699538;5318863;
16294;Aying Q 10;706856;5316381;
16300;München KP 294;694471;5337689;
16702;Wenzsiedlung 2;689059;5327916;
16704;München KP 95;692440;5333855;
16705;München U8 406;691310;5332450;
16710;OBERMENZING Q 2;682374;5338219;
16810;München RSS P 144;695106;5335005;
16811;München KP 16;698833;5333374;
16814;München KP 1560;685052;5339991;
16815;München KPA 751;695873;5343278;
