,name,groundwater_ID
0,Obergiesing-Fasangarten,16292.0
1,Au-Haidhausen,16704.0
2,Neuhausen-Nymphenburg,16704.0
3,Pasing-Obermenzing,16710.0
4,Feldmoching-Hasenbergl,16012.0
5,Maxvorstadt,16704.0
6,Altstadt-Lehel,16810.0
7,Schwabing-Freimann,16815.0
8,Trudering-Riem,16811.0
9,Untergiesing-Harlaching,16705.0
10,Untergiesing-Harlaching,16705.0
11,Ramersdorf-Perlach,16704.0
12,Moosach,16710.0
13,Schwabing-West,16300.0
14,Hadern,16267.0
15,Aubing-Lochhausen-Langwied,16710.0
16,Milbertshofen-Am Hart,16012.0
17,Allach-Untermenzing,16814.0
18,Sendling-Westpark,16705.0
19,Ludwigsvorstadt-Isarvorstadt,16704.0
20,Bogenhausen,16195.0
21,Bogenhausen,16277.0
22,Bogenhausen,16300.0
23,Bogenhausen,16810.0
24,Laim,16710.0
25,Berg am Laim,16810.0
26,Schwanthalerhöhe,16704.0
27,Sendling,16705.0
28,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,16702.0
29,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,16702.0
