Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 18:31"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2023-01-01;27,6;30,4;26,5;Rohdaten
2023-01-02;26,7;28;25,7;Rohdaten
2023-01-03;25,8;27,2;25;Rohdaten
2023-01-04;25,2;26,5;24,3;Rohdaten
2023-01-05;25,6;27,2;25;Rohdaten
2023-01-06;26;27,2;25;Rohdaten
2023-01-07;24,2;25;23;Rohdaten
2023-01-08;23,7;24,3;23;Rohdaten
2023-01-09;23,7;25,7;22,3;Rohdaten
2023-01-10;25,8;28;24,3;Rohdaten
2023-01-11;25,6;27,2;24,3;Rohdaten
2023-01-12;25,8;27,2;24,3;Rohdaten
2023-01-13;24,7;26,5;23;Rohdaten
2023-01-14;25,3;26,5;23,6;Rohdaten
2023-01-15;23,4;24,3;22,3;Rohdaten
2023-01-16;23,3;24,3;22,3;Rohdaten
2023-01-17;23,5;25;21,2;Rohdaten
2023-01-18;25,6;34;20,6;Rohdaten
2023-01-19;25,3;27,2;22,3;Rohdaten
2023-01-20;24,9;26,5;24,3;Rohdaten
2023-01-21;25,5;27,2;24,3;Rohdaten
2023-01-22;23,4;24,3;23;Rohdaten
2023-01-23;23;23,6;22,3;Rohdaten
2023-01-24;24,2;26,5;23;Rohdaten
2023-01-25;25,4;26,5;23,6;Rohdaten
2023-01-26;28,6;31,2;25,7;Rohdaten
2023-01-27;27,8;31,2;25;Rohdaten
2023-01-28;26;30,4;23,6;Rohdaten
2023-01-29;23,2;23,6;23;Rohdaten
2023-01-30;23,2;24,3;23;Rohdaten
2023-01-31;23,6;24,3;23;Rohdaten
2023-02-01;23,6;24,3;23;Rohdaten
2023-02-02;24,3;25;23,6;Rohdaten
2023-02-03;25,2;26,5;23,6;Rohdaten
2023-02-04;29,5;36,8;25;Rohdaten
2023-02-05;28,4;32,1;25,7;Rohdaten
2023-02-06;26,7;31,2;25;Rohdaten
2023-02-07;27,2;30,4;25,7;Rohdaten
2023-02-08;25,7;26,5;24,3;Rohdaten
2023-02-09;24,8;25,7;24,3;Rohdaten
2023-02-10;24,2;25;23,6;Rohdaten
2023-02-11;23,5;24,3;22,3;Rohdaten
2023-02-12;22,3;23;21,7;Rohdaten
2023-02-13;22;23;21,2;Rohdaten
2023-02-14;22,3;23;22,3;Rohdaten
2023-02-15;22,4;23;21,7;Rohdaten
2023-02-16;22,6;23;22,3;Rohdaten
2023-02-17;22,3;23;21,7;Rohdaten
2023-02-18;22,9;24,3;21,2;Rohdaten
2023-02-19;23,7;24,3;23,6;Rohdaten
2023-02-20;24;31,2;23;Rohdaten
2023-02-21;22,7;23;22,3;Rohdaten
2023-02-22;22,5;23;21,7;Rohdaten
2023-02-23;22,3;23;21,7;Rohdaten
2023-02-24;22,5;23,6;22,3;Rohdaten
2023-02-25;27,4;32,1;23,6;Rohdaten
2023-02-26;28,5;29,6;27,2;Rohdaten
2023-02-27;27,9;31,2;25,7;Rohdaten
2023-02-28;27,5;32,1;20,6;Rohdaten
2023-03-01;25,6;27,2;25;Rohdaten
2023-03-02;24,6;27,2;23,6;Rohdaten
2023-03-03;24,8;25,7;24,3;Rohdaten
2023-03-04;24,7;25,7;23,6;Rohdaten
2023-03-05;24,9;25,7;24,3;Rohdaten
2023-03-06;25,1;28,7;22,3;Rohdaten
2023-03-07;24,8;25,7;24,3;Rohdaten
2023-03-08;24;25;23;Rohdaten
2023-03-09;29,7;50,6;24,3;Rohdaten
2023-03-10;46,1;55,9;38,9;Rohdaten
2023-03-11;41,6;45,6;37,8;Rohdaten
2023-03-12;34,6;38,9;32,1;Rohdaten
2023-03-13;34,3;36,8;31,2;Rohdaten
2023-03-14;57,1;77,7;37,8;Rohdaten
2023-03-15;72,9;79,2;64,3;Rohdaten
2023-03-16;62,3;70,2;55,9;Rohdaten
2023-03-17;45,9;55,9;41;Rohdaten
2023-03-18;39,8;42,1;37,8;Rohdaten
2023-03-19;37,1;38,9;34,9;Rohdaten
2023-03-20;36,1;40;34;Rohdaten
2023-03-21;37,9;41;34;Rohdaten
2023-03-22;34,7;36,8;29,6;Rohdaten
2023-03-23;33,4;37,3;29,9;Rohdaten
2023-03-24;34;36,3;31,6;Rohdaten
2023-03-25;36,7;42,7;32,5;Rohdaten
2023-03-26;29,3;33,5;26,1;Rohdaten
2023-03-27;29,6;34,4;26,1;Rohdaten
2023-03-28;32,4;35,4;29,9;Rohdaten
2023-03-29;32,9;39,4;26,1;Rohdaten
2023-03-30;44;58;30,8;Rohdaten
2023-03-31;81,1;89,3;59,5;Rohdaten
2023-04-01;81,1;86,3;69,6;Rohdaten
2023-04-02;58,3;69,6;50;Rohdaten
2023-04-03;57,1;62,3;51,3;Rohdaten
2023-04-04;55,4;63,7;50;Rohdaten
2023-04-05;47,8;54;40,5;Rohdaten
2023-04-06;43;47,5;39,4;Rohdaten
2023-04-07;40,4;43,9;36,3;Rohdaten
2023-04-08;37,6;43,9;34,4;Rohdaten
2023-04-09;43,9;46,3;40,5;Rohdaten
2023-04-10;38,8;42,7;31,6;Rohdaten
2023-04-11;34,3;38,4;30,8;Rohdaten
2023-04-12;39,6;46,3;33,5;Rohdaten
2023-04-13;74,3;102;43,9;Rohdaten
2023-04-14;91,2;123;83,2;Rohdaten
2023-04-15;123;144;105;Rohdaten
2023-04-16;105;108;100;Rohdaten
2023-04-17;106;111;100;Rohdaten
2023-04-18;101;107;97,1;Rohdaten
2023-04-19;91;95,4;84,6;Rohdaten
2023-04-20;96,3;103;87,9;Rohdaten
2023-04-21;88,1;95,4;75,6;Rohdaten
2023-04-22;71,7;75,6;63,7;Rohdaten
2023-04-23;60,4;62,3;56,7;Rohdaten
2023-04-24;71,6;86,3;58;Rohdaten
2023-04-25;77,3;86,3;66,6;Rohdaten
2023-04-26;81;87,9;77,1;Rohdaten
2023-04-27;82,5;87,9;69,6;Rohdaten
2023-04-28;77,5;91;66,6;Rohdaten
2023-04-29;140;156;94,1;Rohdaten
2023-04-30;133;153;116;Rohdaten
2023-05-01;102;115;92,3;Rohdaten
2023-05-02;115;136;100;Rohdaten
2023-05-03;132;141;111;Rohdaten
2023-05-04;104;119;95,4;Rohdaten
2023-05-05;122;126;111;Rohdaten
2023-05-06;121;129;108;Rohdaten
2023-05-07;98,8;126;86,3;Rohdaten
2023-05-08;101;123;84,6;Rohdaten
2023-05-09;135;144;121;Rohdaten
2023-05-10;168;203;144;Rohdaten
2023-05-11;249;289;205;Rohdaten
2023-05-12;264;289;246;Rohdaten
2023-05-13;231;248;210;Rohdaten
2023-05-14;185;210;174;Rohdaten
2023-05-15;178;189;172;Rohdaten
2023-05-16;178;182;175;Rohdaten
2023-05-17;243;281;177;Rohdaten
2023-05-18;246;270;228;Rohdaten
2023-05-19;209;228;172;Rohdaten
2023-05-20;150;170;118;Rohdaten
2023-05-21;110;118;107;Rohdaten
2023-05-22;101;107;95,4;Rohdaten
2023-05-23;112;137;103;Rohdaten
2023-05-24;146;154;139;Rohdaten
2023-05-25;146;149;142;Rohdaten
2023-05-26;123;142;111;Rohdaten
2023-05-27;107;111;102;Rohdaten
2023-05-28;88,9;102;78,5;Rohdaten
2023-05-29;69;77,1;66,6;Rohdaten
2023-05-30;66,2;74,1;62,3;Rohdaten
2023-05-31;78,2;83,2;72,6;Rohdaten
2023-06-01;80;83,2;77,1;Rohdaten
2023-06-02;74;78,5;71,1;Rohdaten
2023-06-03;76,7;84,6;69,6;Rohdaten
2023-06-04;69,5;74,1;63,7;Rohdaten
2023-06-05;68,3;72,6;63,7;Rohdaten
2023-06-06;70,3;72,6;66,6;Rohdaten
2023-06-07;64,2;68,1;60,9;Rohdaten
2023-06-08;54;62,3;47,5;Rohdaten
2023-06-09;49,8;54;46,3;Rohdaten
2023-06-10;49,4;52,6;43,9;Rohdaten
2023-06-11;38,4;43,9;33,5;Rohdaten
2023-06-12;35,7;45;28,3;Rohdaten
2023-06-13;43,8;47,5;40,5;Rohdaten
2023-06-14;42,7;48,7;39,4;Rohdaten
2023-06-15;44;47,5;37,3;Rohdaten
2023-06-16;35,9;39,4;30,8;Rohdaten
2023-06-17;34,1;38,4;31,6;Rohdaten
2023-06-18;31;35,4;27,5;Rohdaten
2023-06-19;26,6;32,4;22,9;Rohdaten
2023-06-20;26;29,7;23,5;Rohdaten
2023-06-21;27,7;30,6;24,9;Rohdaten
2023-06-22;26,6;30,6;22,2;Rohdaten
2023-06-23;27,6;31,5;24,2;Rohdaten
2023-06-24;25,4;28,9;23,5;Rohdaten
2023-06-25;23,3;25,7;22,2;Rohdaten
2023-06-26;23,5;28;22,2;Rohdaten
2023-06-27;25,8;29,7;22,2;Rohdaten
2023-06-28;23,6;25,7;21,6;Rohdaten
2023-06-29;23,7;25,7;21,6;Rohdaten
2023-06-30;24,9;28,9;22,9;Rohdaten
2023-07-01;53,1;77,2;27,2;Rohdaten
2023-07-02;35,5;48,3;28,9;Rohdaten
2023-07-03;27,3;34,4;24,2;Rohdaten
2023-07-04;27,2;29,7;24,9;Rohdaten
2023-07-05;32,6;50,9;27,2;Rohdaten
2023-07-06;39,7;55,1;33,4;Rohdaten
2023-07-07;35,7;42;29,7;Rohdaten
2023-07-08;32,1;36,4;28,9;Rohdaten
2023-07-09;27,5;29,7;24,2;Rohdaten
2023-07-10;28,2;31,5;24,9;Rohdaten
2023-07-11;28,2;30,6;25,7;Rohdaten
2023-07-12;31,3;36,4;27,2;Rohdaten
2023-07-13;26,9;29,7;22,9;Rohdaten
2023-07-14;25,3;28;23,5;Rohdaten
2023-07-15;23,5;24,9;22,2;Rohdaten
2023-07-16;24,1;25,7;22,9;Rohdaten
2023-07-17;26;30,6;22,2;Rohdaten
2023-07-18;30,4;34,4;28,9;Rohdaten
2023-07-19;45,5;71,1;32,4;Rohdaten
2023-07-20;53,1;69,6;42;Rohdaten
2023-07-21;41,8;50,9;36,4;Rohdaten
2023-07-22;34,5;47;28,9;Rohdaten
2023-07-23;27,2;28,9;25,7;Rohdaten
2023-07-24;25,3;28;23,5;Rohdaten
2023-07-25;46,5;55,1;28;Rohdaten
2023-07-26;92,7;147;62,9;Rohdaten
2023-07-27;120;142;99,4;Rohdaten
2023-07-28;86;99,4;77,7;Rohdaten
2023-07-29;85,4;94,7;77,7;Rohdaten
2023-07-30;62,6;77,7;54,6;Rohdaten
2023-07-31;49;54,6;43,2;Rohdaten
2023-08-01;53,8;65,8;48;Rohdaten
2023-08-02;71;77,7;65,8;Rohdaten
2023-08-03;69,4;77,7;61,5;Rohdaten
2023-08-04;71,5;93;62,9;Rohdaten
2023-08-05;124;182;94,7;Rohdaten
2023-08-06;197;213;170;Rohdaten
2023-08-07;148;170;140;Rohdaten
2023-08-08;153;160;129;Rohdaten
2023-08-09;109;127;102;Rohdaten
2023-08-10;99;106;93;Rohdaten
2023-08-11;82,4;93;74,7;Rohdaten
2023-08-12;66,2;73,2;55,9;Rohdaten
2023-08-13;48,4;54,6;42,1;Rohdaten
2023-08-14;75,2;93;43,2;Rohdaten
2023-08-15;71,1;77,7;61,5;Rohdaten
2023-08-16;71,5;79,2;62,9;Rohdaten
2023-08-17;61,7;70,2;57,3;Rohdaten
2023-08-18;76,4;88,6;64,3;Rohdaten
2023-08-19;60,5;67,3;48;Rohdaten
2023-08-20;42;48;36,8;Rohdaten
2023-08-21;38,5;46,8;34,9;Rohdaten
2023-08-22;46;49,3;43,2;Rohdaten
2023-08-23;48;53,2;44,4;Rohdaten
2023-08-24;50,8;53,2;48;Rohdaten
2023-08-25;51,3;54,6;49,3;Rohdaten
2023-08-26;58,1;64,3;54,6;Rohdaten
2023-08-27;89;93;65,8;Rohdaten
2023-08-28;156;284;93;Rohdaten
2023-08-29;349;404;284;Rohdaten
2023-08-30;408;429;381;Rohdaten
2023-08-31;275;377;182;Rohdaten
2023-09-01;137;181;119;Rohdaten
2023-09-02;103;119;93;Rohdaten
2023-09-03;88,8;94,7;83,8;Rohdaten
2023-09-04;83,8;86,9;79,2;Rohdaten
2023-09-05;79,8;80,8;77,7;Rohdaten
2023-09-06;76,8;79,2;76,2;Rohdaten
2023-09-07;74,5;77,7;68,8;Rohdaten
2023-09-08;57,7;61,7;54,5;Rohdaten
2023-09-09;53,5;54,5;51,6;Rohdaten
2023-09-10;49,7;51,6;45,1;Rohdaten
2023-09-11;40,6;45,1;35,8;Rohdaten
2023-09-12;37,7;43,8;31;Rohdaten
2023-09-13;35,6;42,6;31,9;Rohdaten
2023-09-14;36,9;42,6;30,1;Rohdaten
2023-09-15;39,5;42,6;35,8;Rohdaten
2023-09-16;39,1;42,6;34,8;Rohdaten
2023-09-17;32,1;33,9;29,3;Rohdaten
2023-09-18;26,3;28,4;23,8;Rohdaten
2023-09-19;31,1;34,8;27,6;Rohdaten
2023-09-20;29,6;32,8;26,7;Rohdaten
2023-09-21;24,9;27,6;21,8;Rohdaten
2023-09-22;36;49;28,1;Rohdaten
2023-09-23;65,8;74;42;Rohdaten
2023-09-24;57,5;65,1;46,6;Rohdaten
2023-09-25;44,5;47,8;38,9;Rohdaten
2023-09-26;41,5;46,6;35,9;Rohdaten
2023-09-27;43,8;47,8;38,9;Rohdaten
2023-09-28;44;47,8;38,9;Rohdaten
2023-09-29;36,6;41;29,7;Rohdaten
2023-09-30;38,1;42;32,2;Rohdaten
2023-10-01;30,7;37,8;27,3;Rohdaten
2023-10-02;28,6;33,1;25,1;Rohdaten
2023-10-03;31,9;34,9;26,6;Rohdaten
2023-10-04;29,7;34;27,3;Rohdaten
2023-10-05;27,4;31,3;25,1;Rohdaten
2023-10-06;26,9;32,2;23,8;Rohdaten
2023-10-07;24,5;28,9;20,8;Rohdaten
2023-10-08;21,9;23,2;20,2;Rohdaten
2023-10-09;23,4;28,9;20,8;Rohdaten
2023-10-10;24,4;26,6;21,9;Rohdaten
2023-10-11;22,8;25,1;20,2;Rohdaten
2023-10-12;22,6;30,5;20,2;Rohdaten
2023-10-13;28,3;36,8;21,9;Rohdaten
2023-10-14;22,5;25,9;19,1;Rohdaten
2023-10-15;19,8;21,3;18,5;Rohdaten
2023-10-16;21,3;25,1;19,1;Rohdaten
2023-10-17;23,4;27,3;20,8;Rohdaten
2023-10-18;22,8;25,9;19,6;Rohdaten
2023-10-19;19,6;21,3;18;Rohdaten
2023-10-20;18,8;20,2;18;Rohdaten
2023-10-21;19,3;20,8;18;Rohdaten
2023-10-22;19,6;20,8;18,5;Rohdaten
2023-10-23;20,7;23,8;17,5;Rohdaten
2023-10-24;21,9;23,2;20,2;Rohdaten
2023-10-25;22,7;24,5;21,3;Rohdaten
2023-10-26;22,8;23,8;21,9;Rohdaten
2023-10-27;26,4;34;22,6;Rohdaten
2023-10-28;24,8;28,1;23,2;Rohdaten
2023-10-29;23;23,8;22,6;Rohdaten
2023-10-30;21,7;23,2;20,2;Rohdaten
2023-10-31;26,5;33,1;21,3;Rohdaten
