Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 18:31"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
1958-11-01;74,4;;;Geprueft
1958-11-02;77,9;;;Geprueft
1958-11-03;72,2;;;Geprueft
1958-11-04;93;;;Geprueft
1958-11-05;121;;;Geprueft
1958-11-06;77,9;;;Geprueft
1958-11-07;65,6;;;Geprueft
1958-11-08;61,3;;;Geprueft
1958-11-09;54,1;;;Geprueft
1958-11-10;53,1;;;Geprueft
1958-11-11;58,2;;;Geprueft
1958-11-12;62,4;;;Geprueft
1958-11-13;61,3;;;Geprueft
1958-11-14;55,1;;;Geprueft
1958-11-15;42,9;;;Geprueft
1958-11-16;42;;;Geprueft
1958-11-17;46,4;;;Geprueft
1958-11-18;43,8;;;Geprueft
1958-11-19;30,7;;;Geprueft
1958-11-20;29,9;;;Geprueft
1958-11-21;36,1;;;Geprueft
1958-11-22;36,9;;;Geprueft
1958-11-23;34,6;;;Geprueft
1958-11-24;33,8;;;Geprueft
1958-11-25;32,2;;;Geprueft
1958-11-26;33;;;Geprueft
1958-11-27;34,6;;;Geprueft
1958-11-28;36,1;;;Geprueft
1958-11-29;25,1;;;Geprueft
1958-11-30;23,8;;;Geprueft
1958-12-01;26,4;;;Geprueft
1958-12-02;29,2;;;Geprueft
1958-12-03;33,8;;;Geprueft
1958-12-04;27,1;;;Geprueft
1958-12-05;26,4;;;Geprueft
1958-12-06;32,2;;;Geprueft
1958-12-07;25,1;;;Geprueft
1958-12-08;25,1;;;Geprueft
1958-12-09;22,6;;;Geprueft
1958-12-10;21,5;;;Geprueft
1958-12-11;20,5;;;Geprueft
1958-12-12;16;;;Geprueft
1958-12-13;18;;;Geprueft
1958-12-14;19,5;;;Geprueft
1958-12-15;20;;;Geprueft
1958-12-16;22;;;Geprueft
1958-12-17;25,8;;;Geprueft
1958-12-18;26,4;;;Geprueft
1958-12-19;26,4;;;Geprueft
1958-12-20;29,2;;;Geprueft
1958-12-21;25,1;;;Geprueft
1958-12-22;17,5;;;Geprueft
1958-12-23;20;;;Geprueft
1958-12-24;22;;;Geprueft
1958-12-25;19;;;Geprueft
1958-12-26;16,5;;;Geprueft
1958-12-27;18;;;Geprueft
1958-12-28;36,1;;;Geprueft
1958-12-29;73,3;;;Geprueft
1958-12-30;85,2;;;Geprueft
1958-12-31;58,2;;;Geprueft
1959-01-01;41,2;;;Geprueft
1959-01-02;32,2;;;Geprueft
1959-01-03;33;;;Geprueft
1959-01-04;33;;;Geprueft
1959-01-05;25,1;;;Geprueft
1959-01-06;24,5;;;Geprueft
1959-01-07;43,8;;;Geprueft
1959-01-08;41,2;;;Geprueft
1959-01-09;36,9;;;Geprueft
1959-01-10;36,1;;;Geprueft
1959-01-11;31,5;;;Geprueft
1959-01-12;29,9;;;Geprueft
1959-01-13;36,9;;;Geprueft
1959-01-14;39,5;;;Geprueft
1959-01-15;41,2;;;Geprueft
1959-01-16;37,8;;;Geprueft
1959-01-17;27,8;;;Geprueft
1959-01-18;28,5;;;Geprueft
1959-01-19;28,5;;;Geprueft
1959-01-20;34,6;;;Geprueft
1959-01-21;33;;;Geprueft
1959-01-22;34,6;;;Geprueft
1959-01-23;39,5;;;Geprueft
1959-01-24;46,4;;;Geprueft
1959-01-25;39,5;;;Geprueft
1959-01-26;33,8;;;Geprueft
1959-01-27;36,1;;;Geprueft
1959-01-28;36,9;;;Geprueft
1959-01-29;36,1;;;Geprueft
1959-01-30;41,2;;;Geprueft
1959-01-31;39,5;;;Geprueft
1959-02-01;29,2;;;Geprueft
1959-02-02;32,2;;;Geprueft
1959-02-03;36,9;;;Geprueft
1959-02-04;36,9;;;Geprueft
1959-02-05;36,1;;;Geprueft
1959-02-06;30,7;;;Geprueft
1959-02-07;25,1;;;Geprueft
1959-02-08;22,6;;;Geprueft
1959-02-09;22;;;Geprueft
1959-02-10;28,5;;;Geprueft
1959-02-11;28,5;;;Geprueft
1959-02-12;31,5;;;Geprueft
1959-02-13;30,7;;;Geprueft
1959-02-14;31,5;;;Geprueft
1959-02-15;29,2;;;Geprueft
1959-02-16;31,5;;;Geprueft
1959-02-17;28,5;;;Geprueft
1959-02-18;19,5;;;Geprueft
1959-02-19;19,5;;;Geprueft
1959-02-20;20;;;Geprueft
1959-02-21;24,5;;;Geprueft
1959-02-22;25,1;;;Geprueft
1959-02-23;24,5;;;Geprueft
1959-02-24;21,5;;;Geprueft
1959-02-25;18,5;;;Geprueft
1959-02-26;19;;;Geprueft
1959-02-27;20,5;;;Geprueft
1959-02-28;23,2;;;Geprueft
1959-03-01;26,4;;;Geprueft
1959-03-02;29,2;;;Geprueft
1959-03-03;36,9;;;Geprueft
1959-03-04;45,5;;;Geprueft
1959-03-05;51,2;;;Geprueft
1959-03-06;53,1;;;Geprueft
1959-03-07;58,2;;;Geprueft
1959-03-08;98,3;;;Geprueft
1959-03-09;98,3;;;Geprueft
1959-03-10;73,3;;;Geprueft
1959-03-11;57,1;;;Geprueft
1959-03-12;63,5;;;Geprueft
1959-03-13;68,9;;;Geprueft
1959-03-14;75,5;;;Geprueft
1959-03-15;68,9;;;Geprueft
1959-03-16;60,3;;;Geprueft
1959-03-17;52,1;;;Geprueft
1959-03-18;39,5;;;Geprueft
1959-03-19;32,2;;;Geprueft
1959-03-20;32,2;;;Geprueft
1959-03-21;34,6;;;Geprueft
1959-03-22;35,3;;;Geprueft
1959-03-23;35,3;;;Geprueft
1959-03-24;45,5;;;Geprueft
1959-03-25;47,3;;;Geprueft
1959-03-26;45,5;;;Geprueft
1959-03-27;52,1;;;Geprueft
1959-03-28;33;;;Geprueft
1959-03-29;27,8;;;Geprueft
1959-03-30;20;;;Geprueft
1959-03-31;25,8;;;Geprueft
1959-04-01;39,5;;;Geprueft
1959-04-02;36,9;;;Geprueft
1959-04-03;30,7;;;Geprueft
1959-04-04;29,9;;;Geprueft
1959-04-05;25,8;;;Geprueft
1959-04-06;25,8;;;Geprueft
1959-04-07;33;;;Geprueft
1959-04-08;29,2;;;Geprueft
1959-04-09;27,8;;;Geprueft
1959-04-10;27,8;;;Geprueft
1959-04-11;27,8;;;Geprueft
1959-04-12;25,8;;;Geprueft
1959-04-13;18,5;;;Geprueft
1959-04-14;24,5;;;Geprueft
1959-04-15;25,1;;;Geprueft
1959-04-16;30,7;;;Geprueft
1959-04-17;30,7;;;Geprueft
1959-04-18;36,1;;;Geprueft
1959-04-19;125;;;Geprueft
1959-04-20;164;;;Geprueft
1959-04-21;95,7;;;Geprueft
1959-04-22;74,4;;;Geprueft
1959-04-23;70;;;Geprueft
1959-04-24;55,1;;;Geprueft
1959-04-25;52,1;;;Geprueft
1959-04-26;64,5;;;Geprueft
1959-04-27;52,1;;;Geprueft
1959-04-28;54,1;;;Geprueft
1959-04-29;52,1;;;Geprueft
1959-04-30;45,5;;;Geprueft
1959-05-01;55,1;;;Geprueft
1959-05-02;195;;;Geprueft
1959-05-03;154;;;Geprueft
1959-05-04;104;;;Geprueft
1959-05-05;90,3;;;Geprueft
1959-05-06;84;;;Geprueft
1959-05-07;74,4;;;Geprueft
1959-05-08;59,2;;;Geprueft
1959-05-09;56,1;;;Geprueft
1959-05-10;55,1;;;Geprueft
1959-05-11;51,2;;;Geprueft
1959-05-12;59,2;;;Geprueft
1959-05-13;63,5;;;Geprueft
1959-05-14;63,5;;;Geprueft
1959-05-15;76,7;;;Geprueft
1959-05-16;79,1;;;Geprueft
1959-05-17;67,8;;;Geprueft
1959-05-18;50,2;;;Geprueft
1959-05-19;53,1;;;Geprueft
1959-05-20;72,2;;;Geprueft
1959-05-21;66,7;;;Geprueft
1959-05-22;66,7;;;Geprueft
1959-05-23;70;;;Geprueft
1959-05-24;57,1;;;Geprueft
1959-05-25;42;;;Geprueft
1959-05-26;58,2;;;Geprueft
1959-05-27;59,2;;;Geprueft
1959-05-28;45,5;;;Geprueft
1959-05-29;34,6;;;Geprueft
1959-05-30;52,1;;;Geprueft
1959-05-31;55,1;;;Geprueft
1959-06-01;60,3;;;Geprueft
1959-06-02;66,7;;;Geprueft
1959-06-03;62,4;;;Geprueft
1959-06-04;45,5;;;Geprueft
1959-06-05;41,2;;;Geprueft
1959-06-06;34,6;;;Geprueft
1959-06-07;29,9;;;Geprueft
1959-06-08;34,6;;;Geprueft
1959-06-09;47,3;;;Geprueft
1959-06-10;61,3;;;Geprueft
1959-06-11;77,9;;;Geprueft
1959-06-12;85,2;;;Geprueft
1959-06-13;186;;;Geprueft
1959-06-14;351;;;Geprueft
1959-06-15;316;;;Geprueft
1959-06-16;339;;;Geprueft
1959-06-17;276;;;Geprueft
1959-06-18;143;;;Geprueft
1959-06-19;121;;;Geprueft
1959-06-20;111;;;Geprueft
1959-06-21;104;;;Geprueft
1959-06-22;88,9;;;Geprueft
1959-06-23;91,6;;;Geprueft
1959-06-24;139;;;Geprueft
1959-06-25;126;;;Geprueft
1959-06-26;101;;;Geprueft
1959-06-27;98,3;;;Geprueft
1959-06-28;110;;;Geprueft
1959-06-29;116;;;Geprueft
1959-06-30;172;;;Geprueft
1959-07-01;203;;;Geprueft
1959-07-02;237;;;Geprueft
1959-07-03;171;;;Geprueft
1959-07-04;126;;;Geprueft
1959-07-05;85,2;;;Geprueft
1959-07-06;72,2;;;Geprueft
1959-07-07;72,2;;;Geprueft
1959-07-08;80,3;;;Geprueft
1959-07-09;80,3;;;Geprueft
1959-07-10;62,4;;;Geprueft
1959-07-11;60,3;;;Geprueft
1959-07-12;63,5;;;Geprueft
1959-07-13;49,2;;;Geprueft
1959-07-14;58,2;;;Geprueft
1959-07-15;71,2;;;Geprueft
1959-07-16;293;;;Geprueft
1959-07-17;184;;;Geprueft
1959-07-18;132;;;Geprueft
1959-07-19;84;;;Geprueft
1959-07-20;77,9;;;Geprueft
1959-07-21;80,3;;;Geprueft
1959-07-22;79,1;;;Geprueft
1959-07-23;66,7;;;Geprueft
1959-07-24;68,9;;;Geprueft
1959-07-25;65,6;;;Geprueft
1959-07-26;57,1;;;Geprueft
1959-07-27;59,2;;;Geprueft
1959-07-28;51,2;;;Geprueft
1959-07-29;55,1;;;Geprueft
1959-07-30;64,5;;;Geprueft
1959-07-31;74,4;;;Geprueft
1959-08-01;85,2;;;Geprueft
1959-08-02;80,3;;;Geprueft
1959-08-03;70;;;Geprueft
1959-08-04;67,8;;;Geprueft
1959-08-05;73,3;;;Geprueft
1959-08-06;76,7;;;Geprueft
1959-08-07;82,8;;;Geprueft
1959-08-08;72,2;;;Geprueft
1959-08-09;62,4;;;Geprueft
1959-08-10;66,7;;;Geprueft
1959-08-11;71,1;;;Geprueft
1959-08-12;101;;;Geprueft
1959-08-13;186;;;Geprueft
1959-08-14;171;;;Geprueft
1959-08-15;147;;;Geprueft
1959-08-16;184;;;Geprueft
1959-08-17;171;;;Geprueft
1959-08-18;142;;;Geprueft
1959-08-19;114;;;Geprueft
1959-08-20;102;;;Geprueft
1959-08-21;104;;;Geprueft
1959-08-22;104;;;Geprueft
1959-08-23;94,3;;;Geprueft
1959-08-24;77,9;;;Geprueft
1959-08-25;77,9;;;Geprueft
1959-08-26;76,7;;;Geprueft
1959-08-27;73,3;;;Geprueft
1959-08-28;71,1;;;Geprueft
1959-08-29;70;;;Geprueft
1959-08-30;48,3;;;Geprueft
1959-08-31;50,2;;;Geprueft
1959-09-01;49,2;;;Geprueft
1959-09-02;55,1;;;Geprueft
1959-09-03;54,1;;;Geprueft
1959-09-04;49,2;;;Geprueft
1959-09-05;42;;;Geprueft
1959-09-06;35,3;;;Geprueft
1959-09-07;29,9;;;Geprueft
1959-09-08;44,6;;;Geprueft
1959-09-09;43,8;;;Geprueft
1959-09-10;44,6;;;Geprueft
1959-09-11;33,8;;;Geprueft
1959-09-12;26,4;;;Geprueft
1959-09-13;23,8;;;Geprueft
1959-09-14;20;;;Geprueft
1959-09-15;24,5;;;Geprueft
1959-09-16;36,1;;;Geprueft
1959-09-17;48,3;;;Geprueft
1959-09-18;47,3;;;Geprueft
1959-09-19;36,9;;;Geprueft
1959-09-20;58,2;;;Geprueft
1959-09-21;58,2;;;Geprueft
1959-09-22;57,1;;;Geprueft
1959-09-23;55,1;;;Geprueft
1959-09-24;57,1;;;Geprueft
1959-09-25;56,1;;;Geprueft
1959-09-26;58,2;;;Geprueft
1959-09-27;48,3;;;Geprueft
1959-09-28;51,2;;;Geprueft
1959-09-29;51,2;;;Geprueft
1959-09-30;49,2;;;Geprueft
1959-10-01;52,1;;;Geprueft
1959-10-02;50,2;;;Geprueft
1959-10-03;55,1;;;Geprueft
1959-10-04;33;;;Geprueft
1959-10-05;14,3;;;Geprueft
1959-10-06;15,1;;;Geprueft
1959-10-07;16;;;Geprueft
1959-10-08;15,1;;;Geprueft
1959-10-09;15,6;;;Geprueft
1959-10-10;15,1;;;Geprueft
1959-10-11;11,7;;;Geprueft
1959-10-12;8,63;;;Geprueft
1959-10-13;10;;;Geprueft
1959-10-14;12,4;;;Geprueft
1959-10-15;12,7;;;Geprueft
1959-10-16;13;;;Geprueft
1959-10-17;12,7;;;Geprueft
1959-10-18;16;;;Geprueft
1959-10-19;11;;;Geprueft
1959-10-20;11,7;;;Geprueft
1959-10-21;13,4;;;Geprueft
1959-10-22;18;;;Geprueft
1959-10-23;21;;;Geprueft
1959-10-24;17,5;;;Geprueft
1959-10-25;13;;;Geprueft
1959-10-26;11;;;Geprueft
1959-10-27;13;;;Geprueft
1959-10-28;14,3;;;Geprueft
1959-10-29;25,1;;;Geprueft
1959-10-30;23,2;;;Geprueft
1959-10-31;20,5;;;Geprueft
1959-11-01;17;;;Geprueft
1959-11-02;16,5;;;Geprueft
1959-11-03;15,6;;;Geprueft
1959-11-04;13,8;;;Geprueft
1959-11-05;14,3;;;Geprueft
1959-11-06;14,7;;;Geprueft
1959-11-07;15,1;;;Geprueft
1959-11-08;15,1;;;Geprueft
1959-11-09;15,6;;;Geprueft
1959-11-10;13,8;;;Geprueft
1959-11-11;13,8;;;Geprueft
1959-11-12;14,7;;;Geprueft
1959-11-13;14,7;;;Geprueft
1959-11-14;13,8;;;Geprueft
1959-11-15;13,4;;;Geprueft
1959-11-16;15,6;;;Geprueft
1959-11-17;16;;;Geprueft
1959-11-18;15,1;;;Geprueft
1959-11-19;17,5;;;Geprueft
1959-11-20;16,5;;;Geprueft
1959-11-21;15,1;;;Geprueft
1959-11-22;15,1;;;Geprueft
1959-11-23;14,3;;;Geprueft
1959-11-24;14,7;;;Geprueft
1959-11-25;21;;;Geprueft
1959-11-26;23,8;;;Geprueft
1959-11-27;24,5;;;Geprueft
1959-11-28;22;;;Geprueft
1959-11-29;15,1;;;Geprueft
1959-11-30;14,3;;;Geprueft
1959-12-01;16,5;;;Geprueft
1959-12-02;17;;;Geprueft
1959-12-03;19,5;;;Geprueft
1959-12-04;26,4;;;Geprueft
1959-12-05;21,5;;;Geprueft
1959-12-06;13,8;;;Geprueft
1959-12-07;13,4;;;Geprueft
1959-12-08;15,6;;;Geprueft
1959-12-09;15,6;;;Geprueft
1959-12-10;18;;;Geprueft
1959-12-11;19;;;Geprueft
1959-12-12;16;;;Geprueft
1959-12-13;13,4;;;Geprueft
1959-12-14;13,8;;;Geprueft
1959-12-15;22;;;Geprueft
