Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"09.11.2023 13:50"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

"Tageswerte Wasserstand [cm]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2023-01-01;88,00;92,00;87,00;Geprueft
2023-01-02;87,00;89,00;86,00;Geprueft
2023-01-03;86,00;88,00;85,00;Geprueft
2023-01-04;85,00;87,00;84,00;Geprueft
2023-01-05;86,00;88,00;85,00;Geprueft
2023-01-06;86,00;88,00;85,00;Geprueft
2023-01-07;84,00;85,00;82,00;Geprueft
2023-01-08;83,00;84,00;82,00;Geprueft
2023-01-09;83,00;86,00;81,00;Geprueft
2023-01-10;86,00;89,00;84,00;Geprueft
2023-01-11;86,00;88,00;84,00;Geprueft
2023-01-12;86,00;88,00;84,00;Geprueft
2023-01-13;84,00;87,00;82,00;Geprueft
2023-01-14;85,00;87,00;83,00;Geprueft
2023-01-15;83,00;84,00;81,00;Geprueft
2023-01-16;82,00;84,00;81,00;Geprueft
2023-01-17;83,00;85,00;79,00;Geprueft
2023-01-18;86,00;96,00;78,00;Geprueft
2023-01-19;85,00;88,00;81,00;Geprueft
2023-01-20;85,00;87,00;84,00;Geprueft
2023-01-21;86,00;88,00;84,00;Geprueft
2023-01-22;82,00;84,00;82,00;Geprueft
2023-01-23;82,00;83,00;81,00;Geprueft
2023-01-24;84,00;87,00;82,00;Geprueft
2023-01-25;85,00;87,00;83,00;Geprueft
2023-01-26;90,00;93,00;86,00;Geprueft
2023-01-27;89,00;93,00;85,00;Geprueft
2023-01-28;86,00;92,00;83,00;Geprueft
2023-01-29;82,00;83,00;82,00;Geprueft
2023-01-30;82,00;84,00;82,00;Geprueft
2023-01-31;83,00;84,00;82,00;Geprueft
2023-02-01;83,00;84,00;82,00;Geprueft
2023-02-02;84,00;85,00;83,00;Geprueft
2023-02-03;85,00;87,00;83,00;Geprueft
2023-02-04;90,00;99,00;85,00;Geprueft
2023-02-05;89,00;94,00;86,00;Geprueft
2023-02-06;87,00;93,00;85,00;Geprueft
2023-02-07;88,00;92,00;86,00;Geprueft
2023-02-08;86,00;87,00;84,00;Geprueft
2023-02-09;85,00;86,00;84,00;Geprueft
2023-02-10;84,00;85,00;83,00;Geprueft
2023-02-11;83,00;84,00;81,00;Geprueft
2023-02-12;81,00;82,00;80,00;Geprueft
2023-02-13;80,00;82,00;79,00;Geprueft
2023-02-14;81,00;82,00;81,00;Geprueft
2023-02-15;81,00;82,00;80,00;Geprueft
2023-02-16;81,00;82,00;81,00;Geprueft
2023-02-17;81,00;82,00;80,00;Geprueft
2023-02-18;82,00;84,00;79,00;Geprueft
2023-02-19;83,00;84,00;83,00;Geprueft
2023-02-20;83,00;93,00;82,00;Geprueft
2023-02-21;81,00;82,00;81,00;Geprueft
2023-02-22;81,00;82,00;80,00;Geprueft
2023-02-23;81,00;82,00;80,00;Geprueft
2023-02-24;81,00;83,00;81,00;Geprueft
2023-02-25;88,00;94,00;83,00;Geprueft
2023-02-26;89,00;91,00;88,00;Geprueft
2023-02-27;89,00;93,00;86,00;Geprueft
2023-02-28;88,00;94,00;78,00;Geprueft
2023-03-01;86,00;88,00;85,00;Geprueft
2023-03-02;84,00;88,00;83,00;Geprueft
2023-03-03;85,00;86,00;84,00;Geprueft
2023-03-04;84,00;86,00;83,00;Geprueft
2023-03-05;85,00;86,00;84,00;Geprueft
2023-03-06;85,00;90,00;81,00;Geprueft
2023-03-07;85,00;86,00;84,00;Geprueft
2023-03-08;83,00;85,00;82,00;Geprueft
2023-03-09;90,00;111,00;84,00;Geprueft
2023-03-10;107,00;115,00;101,00;Geprueft
2023-03-11;103,00;107,00;99,00;Geprueft
2023-03-12;96,00;101,00;94,00;Geprueft
2023-03-13;96,00;100,00;93,00;Geprueft
2023-03-14;115,00;130,00;100,00;Geprueft
2023-03-15;127,00;131,00;121,00;Geprueft
2023-03-16;119,00;125,00;115,00;Geprueft
2023-03-17;107,00;115,00;103,00;Geprueft
2023-03-18;102,00;104,00;100,00;Geprueft
2023-03-19;99,00;101,00;97,00;Geprueft
2023-03-20;98,00;102,00;96,00;Geprueft
2023-03-21;100,00;103,00;96,00;Geprueft
2023-03-22;97,00;99,00;91,00;Geprueft
2023-03-23;96,00;100,00;92,00;Geprueft
2023-03-24;96,00;99,00;94,00;Geprueft
2023-03-25;99,00;105,00;95,00;Geprueft
2023-03-26;91,00;96,00;87,00;Geprueft
2023-03-27;91,00;97,00;87,00;Geprueft
2023-03-28;95,00;98,00;92,00;Geprueft
2023-03-29;95,00;102,00;87,00;Geprueft
2023-03-30;106,00;118,00;93,00;Geprueft
2023-03-31;133,00;138,00;118,00;Geprueft
2023-04-01;133,00;136,00;125,00;Rohdaten
2023-04-02;117,00;125,00;111,00;Rohdaten
2023-04-03;116,00;120,00;112,00;Rohdaten
2023-04-04;115,00;121,00;111,00;Rohdaten
2023-04-05;109,00;114,00;103,00;Rohdaten
2023-04-06;105,00;109,00;102,00;Rohdaten
2023-04-07;103,00;106,00;99,00;Rohdaten
2023-04-08;100,00;106,00;97,00;Rohdaten
2023-04-09;106,00;108,00;103,00;Rohdaten
2023-04-10;101,00;105,00;94,00;Rohdaten
2023-04-11;97,00;101,00;93,00;Rohdaten
2023-04-12;102,00;108,00;96,00;Rohdaten
2023-04-13;128,00;146,00;106,00;Rohdaten
2023-04-14;139,00;159,00;134,00;Rohdaten
2023-04-15;159,00;172,00;148,00;Rohdaten
2023-04-16;148,00;150,00;145,00;Rohdaten
2023-04-17;149,00;152,00;145,00;Rohdaten
2023-04-18;145,00;149,00;143,00;Rohdaten
2023-04-19;139,00;142,00;135,00;Rohdaten
2023-04-20;142,00;147,00;137,00;Rohdaten
2023-04-21;137,00;142,00;129,00;Rohdaten
2023-04-22;126,00;129,00;121,00;Rohdaten
2023-04-23;119,00;120,00;116,00;Rohdaten
2023-04-24;126,00;136,00;117,00;Rohdaten
2023-04-25;130,00;136,00;123,00;Rohdaten
2023-04-26;133,00;137,00;130,00;Rohdaten
2023-04-27;134,00;137,00;125,00;Rohdaten
2023-04-28;130,00;139,00;123,00;Rohdaten
2023-04-29;169,00;179,00;141,00;Rohdaten
2023-04-30;165,00;177,00;155,00;Rohdaten
2023-05-01;146,00;154,00;140,00;Rohdaten
2023-05-02;154,00;167,00;145,00;Rohdaten
2023-05-03;165,00;170,00;152,00;Rohdaten
2023-05-04;147,00;157,00;142,00;Rohdaten
2023-05-05;159,00;161,00;152,00;Rohdaten
2023-05-06;158,00;163,00;150,00;Rohdaten
2023-05-07;144,00;161,00;136,00;Rohdaten
2023-05-08;145,00;159,00;135,00;Rohdaten
2023-05-09;167,00;172,00;158,00;Rohdaten
2023-05-10;186,00;206,00;172,00;Rohdaten
2023-05-11;232,00;253,00;207,00;Rohdaten
2023-05-12;240,00;253,00;230,00;Rohdaten
2023-05-13;221,00;231,00;210,00;Rohdaten
2023-05-14;195,00;210,00;189,00;Rohdaten
2023-05-15;191,00;198,00;188,00;Rohdaten
2023-05-16;192,00;194,00;190,00;Rohdaten
2023-05-17;228,00;249,00;191,00;Rohdaten
2023-05-18;230,00;243,00;220,00;Rohdaten
2023-05-19;209,00;220,00;188,00;Rohdaten
2023-05-20;175,00;187,00;156,00;Rohdaten
2023-05-21;151,00;156,00;149,00;Rohdaten
2023-05-22;146,00;149,00;142,00;Rohdaten
2023-05-23;152,00;168,00;147,00;Rohdaten
2023-05-24;173,00;178,00;169,00;Rohdaten
2023-05-25;173,00;175,00;171,00;Rohdaten
2023-05-26;159,00;171,00;152,00;Rohdaten
2023-05-27;149,00;152,00;146,00;Rohdaten
2023-05-28;138,00;146,00;131,00;Rohdaten
2023-05-29;125,00;130,00;123,00;Rohdaten
2023-05-30;123,00;128,00;120,00;Rohdaten
2023-05-31;131,00;134,00;127,00;Rohdaten
2023-06-01;132,00;134,00;130,00;Rohdaten
2023-06-02;128,00;131,00;126,00;Rohdaten
2023-06-03;130,00;135,00;125,00;Rohdaten
2023-06-04;125,00;128,00;121,00;Rohdaten
2023-06-05;124,00;127,00;121,00;Rohdaten
2023-06-06;125,00;127,00;123,00;Rohdaten
2023-06-07;121,00;124,00;119,00;Rohdaten
2023-06-08;114,00;120,00;109,00;Rohdaten
2023-06-09;111,00;114,00;108,00;Rohdaten
2023-06-10;110,00;113,00;106,00;Rohdaten
2023-06-11;101,00;106,00;96,00;Rohdaten
2023-06-12;98,00;107,00;90,00;Rohdaten
2023-06-13;106,00;109,00;103,00;Rohdaten
2023-06-14;105,00;110,00;102,00;Rohdaten
2023-06-15;106,00;109,00;100,00;Rohdaten
2023-06-16;98,00;102,00;93,00;Rohdaten
2023-06-17;97,00;101,00;94,00;Rohdaten
2023-06-18;93,00;98,00;89,00;Rohdaten
2023-06-19;93,00;100,00;88,00;Rohdaten
2023-06-20;92,00;97,00;89,00;Rohdaten
2023-06-21;95,00;98,00;91,00;Rohdaten
2023-06-22;93,00;98,00;87,00;Rohdaten
2023-06-23;94,00;99,00;90,00;Rohdaten
2023-06-24;92,00;96,00;89,00;Rohdaten
2023-06-25;89,00;92,00;87,00;Rohdaten
2023-06-26;89,00;95,00;87,00;Rohdaten
2023-06-27;92,00;97,00;87,00;Geprueft
2023-06-28;89,00;92,00;86,00;Geprueft
2023-06-29;89,00;92,00;86,00;Geprueft
2023-06-30;91,00;96,00;88,00;Geprueft
2023-07-01;117,00;134,00;94,00;Rohdaten
2023-07-02;103,00;114,00;96,00;Rohdaten
2023-07-03;94,00;102,00;90,00;Rohdaten
2023-07-04;94,00;97,00;91,00;Rohdaten
2023-07-05;100,00;116,00;94,00;Rohdaten
2023-07-06;107,00;119,00;101,00;Rohdaten
2023-07-07;103,00;109,00;97,00;Rohdaten
2023-07-08;100,00;104,00;96,00;Rohdaten
2023-07-09;94,00;97,00;90,00;Rohdaten
2023-07-10;95,00;99,00;91,00;Rohdaten
2023-07-11;95,00;98,00;92,00;Rohdaten
2023-07-12;99,00;104,00;94,00;Rohdaten
2023-07-13;94,00;97,00;88,00;Rohdaten
2023-07-14;91,00;95,00;89,00;Rohdaten
2023-07-15;89,00;91,00;87,00;Rohdaten
2023-07-16;90,00;92,00;88,00;Rohdaten
2023-07-17;92,00;98,00;87,00;Rohdaten
2023-07-18;98,00;102,00;96,00;Rohdaten
2023-07-19;111,00;130,00;100,00;Rohdaten
2023-07-20;117,00;129,00;109,00;Rohdaten
2023-07-21;109,00;116,00;104,00;Rohdaten
2023-07-22;102,00;113,00;96,00;Rohdaten
2023-07-23;94,00;96,00;92,00;Rohdaten
2023-07-24;91,00;95,00;89,00;Rohdaten
2023-07-25;112,00;119,00;95,00;Rohdaten
2023-07-26;139,00;173,00;120,00;Rohdaten
2023-07-27;157,00;170,00;144,00;Rohdaten
2023-07-28;135,00;144,00;130,00;Rohdaten
2023-07-29;135,00;141,00;130,00;Rohdaten
2023-07-30;120,00;130,00;114,00;Rohdaten
2023-07-31;110,00;114,00;105,00;Rohdaten
2023-08-01;113,00;122,00;109,00;Rohdaten
2023-08-02;125,00;130,00;122,00;Rohdaten
2023-08-03;124,00;130,00;119,00;Rohdaten
2023-08-04;126,00;140,00;120,00;Rohdaten
2023-08-05;159,00;194,00;141,00;Rohdaten
2023-08-06;202,00;211,00;187,00;Rohdaten
2023-08-07;174,00;187,00;169,00;Rohdaten
2023-08-08;177,00;181,00;162,00;Rohdaten
2023-08-09;150,00;161,00;146,00;Rohdaten
2023-08-10;144,00;148,00;140,00;Rohdaten
2023-08-11;133,00;140,00;128,00;Rohdaten
2023-08-12;122,00;127,00;115,00;Rohdaten
2023-08-13;109,00;114,00;104,00;Rohdaten
2023-08-14;128,00;140,00;105,00;Rohdaten
2023-08-15;126,00;130,00;119,00;Rohdaten
2023-08-16;126,00;131,00;120,00;Rohdaten
2023-08-17;119,00;125,00;116,00;Rohdaten
2023-08-18;129,00;137,00;121,00;Rohdaten
2023-08-19;118,00;123,00;109,00;Rohdaten
2023-08-20;104,00;109,00;99,00;Rohdaten
2023-08-21;101,00;108,00;97,00;Rohdaten
2023-08-22;107,00;110,00;105,00;Rohdaten
2023-08-23;109,00;113,00;106,00;Rohdaten
2023-08-24;111,00;113,00;109,00;Rohdaten
2023-08-25;112,00;114,00;110,00;Rohdaten
2023-08-26;117,00;121,00;114,00;Rohdaten
2023-08-27;137,00;140,00;122,00;Rohdaten
2023-08-28;177,00;250,00;140,00;Rohdaten
2023-08-29;283,00;310,00;250,00;Rohdaten
2023-08-30;312,00;322,00;299,00;Rohdaten
2023-08-31;244,00;297,00;194,00;Rohdaten
2023-09-01;167,00;193,00;156,00;Rohdaten
2023-09-02;146,00;156,00;140,00;Rohdaten
2023-09-03;137,00;141,00;134,00;Rohdaten
2023-09-04;134,00;136,00;131,00;Rohdaten
2023-09-05;131,00;132,00;130,00;Rohdaten
2023-09-06;129,00;131,00;129,00;Rohdaten
2023-09-07;128,00;130,00;124,00;Rohdaten
2023-09-08;121,00;124,00;119,00;Rohdaten
2023-09-09;118,00;119,00;117,00;Rohdaten
2023-09-10;116,00;117,00;112,00;Rohdaten
2023-09-11;108,00;112,00;104,00;Rohdaten
2023-09-12;106,00;111,00;99,00;Rohdaten
2023-09-13;104,00;110,00;100,00;Rohdaten
2023-09-14;105,00;110,00;98,00;Rohdaten
2023-09-15;107,00;110,00;104,00;Rohdaten
2023-09-16;107,00;110,00;103,00;Rohdaten
2023-09-17;100,00;102,00;97,00;Rohdaten
2023-09-18;93,00;96,00;90,00;Rohdaten
2023-09-19;99,00;103,00;95,00;Rohdaten
2023-09-20;97,00;101,00;94,00;Rohdaten
2023-09-21;92,00;95,00;87,00;Rohdaten
2023-09-22;95,00;107,00;86,00;Rohdaten
2023-09-23;119,00;125,00;101,00;Rohdaten
2023-09-24;113,00;119,00;105,00;Rohdaten
2023-09-25;103,00;106,00;98,00;Rohdaten
2023-09-26;100,00;105,00;95,00;Rohdaten
2023-09-27;103,00;106,00;98,00;Rohdaten
2023-09-28;103,00;106,00;98,00;Rohdaten
2023-09-29;96,00;100,00;88,00;Rohdaten
2023-09-30;97,00;101,00;91,00;Rohdaten
2023-10-01;89,00;97,00;85,00;Rohdaten
2023-10-02;87,00;92,00;82,00;Rohdaten
2023-10-03;91,00;94,00;84,00;Rohdaten
2023-10-04;88,00;93,00;85,00;Rohdaten
2023-10-05;85,00;90,00;82,00;Rohdaten
2023-10-06;84,00;91,00;80,00;Rohdaten
2023-10-07;81,00;87,00;75,00;Rohdaten
2023-10-08;77,00;79,00;74,00;Rohdaten
2023-10-09;79,00;87,00;75,00;Rohdaten
2023-10-10;81,00;84,00;77,00;Rohdaten
2023-10-11;78,00;82,00;74,00;Rohdaten
2023-10-12;78,00;89,00;74,00;Rohdaten
2023-10-13;86,00;96,00;77,00;Rohdaten
2023-10-14;78,00;83,00;72,00;Rohdaten
2023-10-15;73,00;76,00;71,00;Rohdaten
2023-10-16;76,00;82,00;72,00;Rohdaten
2023-10-17;79,00;85,00;75,00;Rohdaten
2023-10-18;78,00;83,00;73,00;Rohdaten
2023-10-19;73,00;76,00;70,00;Rohdaten
2023-10-20;71,00;74,00;70,00;Rohdaten
2023-10-21;72,00;75,00;70,00;Rohdaten
2023-10-22;73,00;75,00;71,00;Rohdaten
2023-10-23;75,00;80,00;69,00;Rohdaten
