Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"09.11.2023 13:50"
Zeitbezug:;MEZ
Messstellen-Name:;München
Messstellen-Nr.:;16005701
Gewässer:;Isar
Ostwert:;693161;Nordwert:;5335716;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"500,33 m NHN (DHHN2016)"

"Tageswerte Wasserstand [cm]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
1973-11-01;50,00;58,00;44,00;Geprueft
1973-11-02;45,00;53,00;43,00;Geprueft
1973-11-03;49,00;57,00;43,00;Geprueft
1973-11-04;45,00;57,00;31,00;Geprueft
1973-11-05;46,00;52,00;35,00;Geprueft
1973-11-06;49,00;54,00;43,00;Geprueft
1973-11-07;51,00;54,00;43,00;Geprueft
1973-11-08;48,00;54,00;40,00;Geprueft
1973-11-09;46,00;53,00;33,00;Geprueft
1973-11-10;43,00;50,00;38,00;Geprueft
1973-11-11;38,00;45,00;31,00;Geprueft
1973-11-12;37,00;47,00;31,00;Geprueft
1973-11-13;37,00;49,00;30,00;Geprueft
1973-11-14;56,00;91,00;35,00;Geprueft
1973-11-15;96,00;117,00;85,00;Geprueft
1973-11-16;170,00;205,00;117,00;Geprueft
1973-11-17;176,00;191,00;159,00;Geprueft
1973-11-18;134,00;159,00;118,00;Geprueft
1973-11-19;108,00;118,00;97,00;Geprueft
1973-11-20;95,00;97,00;90,00;Geprueft
1973-11-21;89,00;98,00;76,00;Geprueft
1973-11-22;72,00;76,00;68,00;Geprueft
1973-11-23;67,00;74,00;60,00;Geprueft
1973-11-24;68,00;71,00;65,00;Geprueft
1973-11-25;65,00;69,00;61,00;Geprueft
1973-11-26;71,00;80,00;65,00;Geprueft
1973-11-27;68,00;71,00;62,00;Geprueft
1973-11-28;72,00;75,00;68,00;Geprueft
1973-11-29;68,00;72,00;62,00;Geprueft
1973-11-30;63,00;69,00;57,00;Geprueft
1973-12-01;59,00;64,00;48,00;Geprueft
1973-12-02;59,00;71,00;53,00;Geprueft
1973-12-03;59,00;66,00;51,00;Geprueft
1973-12-04;60,00;65,00;55,00;Geprueft
1973-12-05;67,00;89,00;56,00;Geprueft
1973-12-06;94,00;98,00;85,00;Geprueft
1973-12-07;96,00;99,00;90,00;Geprueft
1973-12-08;99,00;106,00;95,00;Geprueft
1973-12-09;97,00;103,00;89,00;Geprueft
1973-12-10;85,00;89,00;82,00;Geprueft
1973-12-11;79,00;85,00;72,00;Geprueft
1973-12-12;70,00;75,00;63,00;Geprueft
1973-12-13;64,00;68,00;57,00;Geprueft
1973-12-14;69,00;73,00;63,00;Geprueft
1973-12-15;71,00;75,00;67,00;Geprueft
1973-12-16;66,00;71,00;59,00;Geprueft
1973-12-17;63,00;73,00;57,00;Geprueft
1973-12-18;67,00;70,00;64,00;Geprueft
1973-12-19;62,00;77,00;42,00;Geprueft
1973-12-20;59,00;68,00;47,00;Geprueft
1973-12-21;60,00;66,00;56,00;Geprueft
1973-12-22;61,00;64,00;53,00;Geprueft
1973-12-23;57,00;62,00;50,00;Geprueft
1973-12-24;53,00;58,00;47,00;Geprueft
1973-12-25;51,00;57,00;42,00;Geprueft
1973-12-26;52,00;53,00;50,00;Geprueft
1973-12-27;51,00;57,00;48,00;Geprueft
1973-12-28;56,00;57,00;54,00;Geprueft
1973-12-29;57,00;58,00;49,00;Geprueft
1973-12-30;53,00;60,00;45,00;Geprueft
1973-12-31;48,00;56,00;38,00;Geprueft
1974-01-01;46,00;54,00;38,00;Geprueft
1974-01-02;44,00;55,00;35,00;Geprueft
1974-01-03;51,00;55,00;47,00;Geprueft
1974-01-04;56,00;64,00;45,00;Geprueft
1974-01-05;53,00;57,00;33,00;Geprueft
1974-01-06;48,00;54,00;40,00;Geprueft
1974-01-07;47,00;53,00;38,00;Geprueft
1974-01-08;51,00;61,00;40,00;Geprueft
1974-01-09;51,00;56,00;45,00;Geprueft
1974-01-10;52,00;54,00;48,00;Geprueft
1974-01-11;54,00;57,00;51,00;Geprueft
1974-01-12;59,00;67,00;53,00;Geprueft
1974-01-13;56,00;61,00;41,00;Geprueft
1974-01-14;54,00;61,00;47,00;Geprueft
1974-01-15;56,00;63,00;49,00;Geprueft
1974-01-16;71,00;81,00;59,00;Geprueft
1974-01-17;75,00;81,00;70,00;Geprueft
1974-01-18;73,00;87,00;70,00;Geprueft
1974-01-19;122,00;139,00;87,00;Geprueft
1974-01-20;116,00;128,00;98,00;Geprueft
1974-01-21;95,00;104,00;89,00;Geprueft
1974-01-22;91,00;96,00;83,00;Geprueft
1974-01-23;85,00;88,00;79,00;Geprueft
1974-01-24;80,00;86,00;76,00;Geprueft
1974-01-25;78,00;79,00;75,00;Geprueft
1974-01-26;75,00;78,00;69,00;Geprueft
1974-01-27;70,00;74,00;63,00;Geprueft
1974-01-28;63,00;66,00;58,00;Geprueft
1974-01-29;64,00;67,00;58,00;Geprueft
1974-01-30;65,00;70,00;60,00;Geprueft
1974-01-31;70,00;75,00;65,00;Geprueft
1974-02-01;67,00;71,00;59,00;Geprueft
1974-02-02;67,00;69,00;64,00;Geprueft
1974-02-03;61,00;65,00;53,00;Geprueft
1974-02-04;62,00;72,00;49,00;Geprueft
1974-02-05;72,00;80,00;63,00;Geprueft
1974-02-06;72,00;76,00;69,00;Geprueft
1974-02-07;74,00;78,00;67,00;Geprueft
1974-02-08;72,00;77,00;68,00;Geprueft
1974-02-09;72,00;79,00;69,00;Geprueft
1974-02-10;68,00;77,00;56,00;Geprueft
1974-02-11;60,00;63,00;56,00;Geprueft
1974-02-12;61,00;68,00;54,00;Geprueft
1974-02-13;66,00;69,00;63,00;Geprueft
1974-02-14;66,00;72,00;56,00;Geprueft
1974-02-15;73,00;76,00;69,00;Geprueft
1974-02-16;70,00;84,00;50,00;Geprueft
1974-02-17;56,00;67,00;47,00;Geprueft
1974-02-18;52,00;58,00;43,00;Geprueft
1974-02-19;53,00;61,00;47,00;Geprueft
1974-02-20;64,00;70,00;61,00;Geprueft
1974-02-21;69,00;75,00;62,00;Geprueft
1974-02-22;73,00;75,00;72,00;Geprueft
1974-02-23;73,00;75,00;70,00;Geprueft
1974-02-24;68,00;72,00;63,00;Geprueft
1974-02-25;67,00;72,00;59,00;Geprueft
1974-02-26;66,00;69,00;62,00;Geprueft
1974-02-27;68,00;73,00;63,00;Geprueft
1974-02-28;67,00;72,00;66,00;Geprueft
1974-03-01;60,00;67,00;51,00;Geprueft
1974-03-02;57,00;60,00;52,00;Geprueft
1974-03-03;59,00;62,00;55,00;Geprueft
1974-03-04;59,00;62,00;46,00;Geprueft
1974-03-05;58,00;63,00;48,00;Geprueft
1974-03-06;55,00;59,00;49,00;Geprueft
1974-03-07;50,00;56,00;41,00;Geprueft
1974-03-08;47,00;51,00;42,00;Geprueft
1974-03-09;46,00;55,00;42,00;Geprueft
1974-03-10;44,00;50,00;39,00;Geprueft
1974-03-11;42,00;59,00;36,00;Geprueft
1974-03-12;52,00;57,00;48,00;Geprueft
1974-03-13;52,00;59,00;48,00;Geprueft
1974-03-14;54,00;63,00;46,00;Geprueft
1974-03-15;58,00;64,00;54,00;Geprueft
1974-03-16;53,00;60,00;46,00;Geprueft
1974-03-17;51,00;68,00;42,00;Geprueft
1974-03-18;65,00;74,00;53,00;Geprueft
1974-03-19;77,00;95,00;64,00;Geprueft
1974-03-20;81,00;91,00;74,00;Geprueft
1974-03-21;87,00;98,00;77,00;Geprueft
1974-03-22;87,00;98,00;79,00;Geprueft
1974-03-23;94,00;101,00;86,00;Geprueft
1974-03-24;91,00;97,00;83,00;Geprueft
1974-03-25;85,00;91,00;79,00;Geprueft
1974-03-26;79,00;85,00;74,00;Geprueft
1974-03-27;84,00;89,00;72,00;Geprueft
1974-03-28;75,00;88,00;69,00;Geprueft
1974-03-29;79,00;98,00;77,00;Geprueft
1974-03-30;94,00;108,00;74,00;Geprueft
1974-03-31;75,00;80,00;61,00;Geprueft
1974-04-01;65,00;76,00;58,00;Geprueft
1974-04-02;74,00;75,00;70,00;Geprueft
1974-04-03;70,00;71,00;66,00;Geprueft
1974-04-04;70,00;77,00;66,00;Geprueft
1974-04-05;66,00;80,00;50,00;Geprueft
1974-04-06;64,00;69,00;54,00;Geprueft
1974-04-07;56,00;63,00;50,00;Geprueft
1974-04-08;52,00;60,00;43,00;Geprueft
1974-04-09;58,00;61,00;56,00;Geprueft
1974-04-10;53,00;56,00;51,00;Geprueft
1974-04-11;55,00;59,00;47,00;Geprueft
1974-04-12;53,00;59,00;49,00;Geprueft
1974-04-13;49,00;53,00;45,00;Geprueft
1974-04-14;48,00;53,00;43,00;Geprueft
1974-04-15;44,00;47,00;40,00;Geprueft
1974-04-16;48,00;60,00;39,00;Geprueft
1974-04-17;56,00;72,00;42,00;Geprueft
1974-04-18;58,00;72,00;41,00;Geprueft
1974-04-19;58,00;60,00;56,00;Geprueft
1974-04-20;52,00;57,00;45,00;Geprueft
1974-04-21;47,00;52,00;41,00;Geprueft
1974-04-22;47,00;57,00;30,00;Geprueft
1974-04-23;55,00;64,00;44,00;Geprueft
1974-04-24;56,00;64,00;47,00;Geprueft
1974-04-25;59,00;67,00;53,00;Geprueft
1974-04-26;65,00;79,00;52,00;Geprueft
1974-04-27;57,00;63,00;47,00;Geprueft
1974-04-28;52,00;57,00;48,00;Geprueft
1974-04-29;48,00;76,00;36,00;Geprueft
1974-04-30;48,00;59,00;40,00;Geprueft
1974-05-01;87,00;110,00;51,00;Geprueft
1974-05-02;75,00;97,00;56,00;Geprueft
1974-05-03;65,00;68,00;58,00;Geprueft
1974-05-04;58,00;61,00;54,00;Geprueft
1974-05-05;73,00;107,00;56,00;Geprueft
1974-05-06;104,00;114,00;89,00;Geprueft
1974-05-07;92,00;104,00;76,00;Geprueft
1974-05-08;78,00;92,00;68,00;Geprueft
1974-05-09;67,00;76,00;60,00;Geprueft
1974-05-10;63,00;71,00;53,00;Geprueft
1974-05-11;62,00;67,00;55,00;Geprueft
1974-05-12;75,00;84,00;66,00;Geprueft
1974-05-13;62,00;69,00;52,00;Geprueft
1974-05-14;63,00;75,00;51,00;Geprueft
1974-05-15;71,00;76,00;66,00;Geprueft
1974-05-16;65,00;71,00;59,00;Geprueft
1974-05-17;62,00;68,00;56,00;Geprueft
1974-05-18;55,00;64,00;47,00;Geprueft
1974-05-19;47,00;68,00;28,00;Geprueft
1974-05-20;44,00;53,00;37,00;Geprueft
1974-05-21;45,00;47,00;40,00;Geprueft
1974-05-22;46,00;52,00;42,00;Geprueft
1974-05-23;52,00;60,00;43,00;Geprueft
1974-05-24;53,00;57,00;45,00;Geprueft
1974-05-25;55,00;61,00;49,00;Geprueft
1974-05-26;55,00;61,00;48,00;Geprueft
1974-05-27;49,00;59,00;42,00;Geprueft
1974-05-28;61,00;68,00;58,00;Geprueft
1974-05-29;66,00;69,00;63,00;Geprueft
1974-05-30;67,00;74,00;64,00;Geprueft
1974-05-31;66,00;77,00;40,00;Geprueft
1974-06-01;84,00;106,00;65,00;Geprueft
1974-06-02;87,00;102,00;67,00;Geprueft
1974-06-03;60,00;68,00;55,00;Geprueft
1974-06-04;60,00;69,00;51,00;Geprueft
1974-06-05;71,00;74,00;64,00;Geprueft
1974-06-06;75,00;86,00;70,00;Geprueft
1974-06-07;83,00;89,00;75,00;Geprueft
1974-06-08;84,00;89,00;78,00;Geprueft
1974-06-09;68,00;80,00;57,00;Geprueft
1974-06-10;77,00;92,00;70,00;Geprueft
1974-06-11;81,00;90,00;62,00;Geprueft
1974-06-12;108,00;153,00;74,00;Geprueft
1974-06-13;182,00;198,00;153,00;Geprueft
1974-06-14;175,00;201,00;142,00;Geprueft
1974-06-15;139,00;145,00;133,00;Geprueft
1974-06-16;114,00;133,00;97,00;Geprueft
1974-06-17;90,00;97,00;87,00;Geprueft
1974-06-18;110,00;156,00;90,00;Geprueft
1974-06-19;150,00;160,00;138,00;Geprueft
1974-06-20;116,00;138,00;100,00;Geprueft
1974-06-21;102,00;106,00;95,00;Geprueft
1974-06-22;101,00;104,00;97,00;Geprueft
1974-06-23;92,00;103,00;74,00;Geprueft
1974-06-24;94,00;126,00;69,00;Geprueft
1974-06-25;123,00;130,00;112,00;Geprueft
1974-06-26;108,00;117,00;98,00;Geprueft
1974-06-27;97,00;114,00;87,00;Geprueft
1974-06-28;117,00;126,00;97,00;Geprueft
1974-06-29;122,00;125,00;118,00;Geprueft
1974-06-30;125,00;135,00;117,00;Geprueft
1974-07-01;119,00;130,00;103,00;Geprueft
1974-07-02;111,00;119,00;90,00;Geprueft
1974-07-03;110,00;119,00;92,00;Geprueft
1974-07-04;102,00;106,00;98,00;Geprueft
1974-07-05;94,00;99,00;87,00;Geprueft
1974-07-06;90,00;93,00;89,00;Geprueft
1974-07-07;91,00;97,00;82,00;Geprueft
1974-07-08;91,00;97,00;82,00;Geprueft
1974-07-09;85,00;99,00;76,00;Geprueft
1974-07-10;119,00;153,00;83,00;Geprueft
1974-07-11;111,00;139,00;96,00;Geprueft
1974-07-12;90,00;96,00;86,00;Geprueft
1974-07-13;83,00;90,00;75,00;Geprueft
1974-07-14;85,00;89,00;77,00;Geprueft
1974-07-15;106,00;118,00;86,00;Geprueft
1974-07-16;102,00;113,00;88,00;Geprueft
1974-07-17;167,00;201,00;101,00;Geprueft
1974-07-18;255,00;295,00;201,00;Geprueft
1974-07-19;275,00;301,00;257,00;Geprueft
1974-07-20;254,00;273,00;238,00;Geprueft
1974-07-21;237,00;250,00;228,00;Geprueft
1974-07-22;222,00;244,00;202,00;Geprueft
1974-07-23;172,00;202,00;149,00;Geprueft
1974-07-24;142,00;149,00;135,00;Geprueft
1974-07-25;174,00;188,00;135,00;Geprueft
1974-07-26;166,00;182,00;145,00;Geprueft
1974-07-27;135,00;145,00;123,00;Geprueft
1974-07-28;111,00;123,00;94,00;Geprueft
1974-07-29;95,00;99,00;90,00;Geprueft
1974-07-30;98,00;103,00;94,00;Geprueft
1974-07-31;97,00;105,00;91,00;Geprueft
1974-08-01;89,00;91,00;85,00;Geprueft
1974-08-02;98,00;114,00;87,00;Geprueft
1974-08-03;101,00;102,00;99,00;Geprueft
1974-08-04;90,00;101,00;79,00;Geprueft
1974-08-05;104,00;114,00;84,00;Geprueft
1974-08-06;117,00;120,00;114,00;Geprueft
1974-08-07;100,00;117,00;90,00;Geprueft
1974-08-08;85,00;90,00;78,00;Geprueft
1974-08-09;94,00;104,00;85,00;Geprueft
1974-08-10;95,00;105,00;84,00;Geprueft
1974-08-11;86,00;90,00;82,00;Geprueft
1974-08-12;88,00;91,00;86,00;Geprueft
1974-08-13;87,00;89,00;82,00;Geprueft
1974-08-14;78,00;84,00;72,00;Geprueft
1974-08-15;71,00;75,00;66,00;Geprueft
1974-08-16;71,00;75,00;67,00;Geprueft
1974-08-17;74,00;79,00;67,00;Geprueft
1974-08-18;74,00;79,00;69,00;Geprueft
1974-08-19;108,00;137,00;76,00;Geprueft
1974-08-20;95,00;101,00;89,00;Geprueft
1974-08-21;85,00;90,00;78,00;Geprueft
1974-08-22;75,00;82,00;64,00;Geprueft
1974-08-23;71,00;88,00;65,00;Geprueft
1974-08-24;73,00;78,00;65,00;Geprueft
1974-08-25;73,00;85,00;66,00;Geprueft
1974-08-26;79,00;86,00;71,00;Geprueft
1974-08-27;91,00;102,00;79,00;Geprueft
1974-08-28;124,00;143,00;99,00;Geprueft
1974-08-29;120,00;131,00;108,00;Geprueft
1974-08-30;98,00;108,00;87,00;Geprueft
1974-08-31;81,00;88,00;72,00;Geprueft
