Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 18:31"
Zeitbezug:;MEZ
Messstellen-Name:;Leutstetten
Messstellen-Nr.:;16665008
Gewässer:;Würm
Ostwert:;676176;Nordwert:;5322245;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"582,53 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2023-01-01;3,97;4,01;3,91;Rohdaten
2023-01-02;3,95;4,01;3,91;Rohdaten
2023-01-03;3,96;4,01;3,91;Rohdaten
2023-01-04;3,97;4,01;3,91;Rohdaten
2023-01-05;4,01;4,01;4,01;Rohdaten
2023-01-06;3,97;4,01;3,91;Rohdaten
2023-01-07;3,92;4,01;3,91;Rohdaten
2023-01-08;3,87;3,91;3,8;Rohdaten
2023-01-09;3,88;3,91;3,8;Rohdaten
2023-01-10;3,84;3,91;3,8;Rohdaten
2023-01-11;3,83;3,91;3,8;Rohdaten
2023-01-12;3,91;3,91;3,91;Rohdaten
2023-01-13;3,87;3,91;3,8;Rohdaten
2023-01-14;3,85;3,91;3,8;Rohdaten
2023-01-15;3,83;3,91;3,7;Rohdaten
2023-01-16;3,81;3,91;3,8;Rohdaten
2023-01-17;3,79;3,91;3,7;Rohdaten
2023-01-18;3,74;3,8;3,7;Rohdaten
2023-01-19;3,71;3,8;3,7;Rohdaten
2023-01-20;3,68;3,7;3,59;Rohdaten
2023-01-21;3,67;3,7;3,59;Rohdaten
2023-01-22;3,68;3,7;3,59;Rohdaten
2023-01-23;3,61;3,7;3,59;Rohdaten
2023-01-24;3,58;3,59;3,49;Rohdaten
2023-01-25;3,58;3,59;3,49;Rohdaten
2023-01-26;3,58;3,59;3,49;Rohdaten
2023-01-27;3,54;3,59;3,49;Rohdaten
2023-01-28;3,49;3,59;3,49;Rohdaten
2023-01-29;3,48;3,49;3,39;Rohdaten
2023-01-30;3,49;3,59;3,39;Rohdaten
