Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.11.2023 18:31"
Zeitbezug:;MEZ
Messstellen-Name:;Leutstetten
Messstellen-Nr.:;16665008
Gewässer:;Würm
Ostwert:;676176;Nordwert:;5322245;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"582,53 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
1920-11-01;6,86;;;Geprueft
1920-11-02;6,74;;;Geprueft
1920-11-03;6,62;;;Geprueft
1920-11-04;6,62;;;Geprueft
1920-11-05;6,5;;;Geprueft
1920-11-06;6,39;;;Geprueft
1920-11-07;6,39;;;Geprueft
1920-11-08;6,28;;;Geprueft
1920-11-09;6,17;;;Geprueft
1920-11-10;6,17;;;Geprueft
1920-11-11;6,17;;;Geprueft
1920-11-12;6,17;;;Geprueft
1920-11-13;6,06;;;Geprueft
1920-11-14;6,06;;;Geprueft
1920-11-15;5,95;;;Geprueft
1920-11-16;6,06;;;Geprueft
1920-11-17;6,06;;;Geprueft
1920-11-18;5,95;;;Geprueft
1920-11-19;6,06;;;Geprueft
1920-11-20;5,95;;;Geprueft
1920-11-21;5,84;;;Geprueft
1920-11-22;5,51;;;Geprueft
1920-11-23;5,4;;;Geprueft
1920-11-24;5,3;;;Geprueft
1920-11-25;5,2;;;Geprueft
1920-11-26;5,1;;;Geprueft
1920-11-27;5,1;;;Geprueft
1920-11-28;5;;;Geprueft
1920-11-29;5,1;;;Geprueft
1920-11-30;5;;;Geprueft
1920-12-01;5,1;;;Geprueft
1920-12-02;5;;;Geprueft
1920-12-03;5;;;Geprueft
1920-12-04;5,1;;;Geprueft
1920-12-05;5;;;Geprueft
1920-12-06;4,9;;;Geprueft
1920-12-07;4,8;;;Geprueft
1920-12-08;4,9;;;Geprueft
1920-12-09;4,9;;;Geprueft
1920-12-10;5;;;Geprueft
1920-12-11;4,9;;;Geprueft
1920-12-12;5;;;Geprueft
1920-12-13;4,9;;;Geprueft
